"Display Order","Product Details","ASIN","URL","Image URL","Brand","Price  ₹","Sales","Variation Sales Strength (1 - 10)","Recent Purchases","Revenue","Title Char. Count","BSR","Seller Country/Region","Fees  ₹","Active Sellers","Ratings","Review Count","Images","Review velocity","Buy Box","Category","Size Tier","Fulfillment","Dimensions","Weight","ABA Most Clicked","Creation Date","Sponsored","Best Seller","Seller Age (mo)","Seller"
1.,"Generic Universal Microphone Shock Mount Cradle Holder Clip Stand Mic-57000479MG","B01FY20YFY","https://www.amazon.in/dp/B01FY20YFY?psc=1","https://m.media-amazon.com/images/I/61iqvcfi3YL._SX466_.jpg","kh",210,154,0,50,"34,550.58",80,382,"N/A",152.22,2,3.8,"1,007",9,7,"World Of World","Musical Instruments","Standard Size","FBA","15.00 x 5.40 x 13.30 cm",0.06,"N/A","May 20, 2016",,"No",117,"World Of World"
2.,"BROLAVIYA Desk Base Clamp Mount for Microphone Boom Scissor Arm, Table C Clip for Articulating arm Stand, or Mic Stand Fits Up to 1.77 inch 4.5cm Thickness.","B0CZ45B6HY","https://www.amazon.in/dp/B0CZ45B6HY?psc=1","https://m.media-amazon.com/images/I/61dQ7fVWZ6L._SY450_.jpg","BROLAVIYA",249,58,0,"N/A","17,262.96",156,497,"N/A",127.44,1,4.3,165,6,3,"ICEBERG MAKERS - BROLAVIYA®","Musical Instruments","Standard Size","FBA","13.30 x 4.20 x 10.70 cm",0.15,"N/A","Jul 17, 2023",,"No",31,"ICEBERG MAKERS - BROLAVIYA®"
3.,"Professional Microphone Holder Break resistant microphone clip (2 Pcs)","B0974VW8LF","https://www.amazon.in/dp/B0974VW8LF?psc=1","https://m.media-amazon.com/images/I/51HA9lM+VBS._SX425_.jpg","kh",199,89,0,50,"17,736.81",70,538,"N/A",150.91,2,3.7,153,3,4,"Shopn Save","Musical Instruments","Standard Size","FBA","12.70 x 3.80 x 7.20 cm",0.07,"N/A","Jun 12, 2021",,"No",56,"Shopn Save"
4.,"Powerpak Shock Mount 01 Universal Mount Holder for Studio Condenser Microphone (Silver)","B01MY137D1","https://www.amazon.in/dp/B01MY137D1?psc=1","https://m.media-amazon.com/images/I/51DhrLsLGUL._SX569_.jpg","Powerpak",425,72,0,10,"24,539.42",87,839,"N/A",129.51,1,3.5,481,6,0,"Cocoblu Retail","Musical Instruments","Standard Size","FBA","14.50 x 11.00 x 11.40 cm",0.12,"N/A","Dec 23, 2016",,"No",110,"Cocoblu Retail"
5.,"Audio Array AA-04 Metal Spider Shock Mount for Condenser Microphone | Anti Vibration, Suspension, Isolation | 4 Size Bottom Screws & Extra Replacement Elastic Bands | Recommended For Rode, Samson, etc","B0B4G7VWXD","https://www.amazon.in/dp/B0B4G7VWXD?psc=1","https://m.media-amazon.com/images/I/41kfdz+oGSL._SX466_.jpg","Audio Array","1,699",51,0,20,"84,936.62",200,901,"N/A",401.07,5,4.3,88,7,1,"Cocoblu Retail","Musical Instruments","Standard Size","FBA","15.50 x 12.70 x 13.10 cm",0.47,"N/A","Jun 18, 2022",,"No",44,"Cocoblu Retail"
6.,"Generic ABS Injection Molding Triangular Microphone Station Logo -Black","B019EUNL7U","https://www.amazon.in/dp/B019EUNL7U?psc=1","https://m.media-amazon.com/images/I/41M5Vwu4g8L._SX679_.jpg","Generic",215,30,0,20,"6,509.68",71,914,"N/A",152.81,3,3.6,102,2,1,"World of Needs®","Musical Instruments","Standard Size","FBA","10.00 x 4.60 x 10.00 cm",0.08,"N/A","Dec 16, 2015",,"No",122,"World of Needs®"
7.,"Metal Desk Clamp For Microphone Suspension Boom Scissor Arm Stand Holder with Adjustable Screw by SUNMON","B093H4C1BW","https://www.amazon.in/dp/B093H4C1BW?psc=1","https://m.media-amazon.com/images/I/61rBy2oy04L._SX569_.jpg","SUNMON",211,45,0,30,"9,530.01",104,935,"N/A",152.34,1,4.3,489,5,15,"HOJI® ACCESSORIES - Buy Safe & Make It Memorable.","Musical Instruments","Standard Size","FBA","20.30 x 3.20 x 12.50 cm",0.12,"N/A","May 30, 2021",,"No",57,"HOJI® ACCESSORIES - Buy Safe & Make It Memorable."
8.,"SHOPEE 1-Pack Black Universal Microphone Clip Holders with 5/8-Inch Male to 3/8-Inch Female Nut Adapters for Handheld Microphones","B08X2WNC6J","https://www.amazon.in/dp/B08X2WNC6J?psc=1","https://m.media-amazon.com/images/I/51MgSPbkpJL._SY450_.jpg","SHOPEE",159,40,0,"N/A","6,310.24",129,"1,124","N/A",146.19,1,3.6,90,4,0,"AGGARWAL ENTERPRISES Hub","Musical Instruments","Standard Size","FBA","7.00 x 10.00 x 10.00 cm",0.1,"N/A","Feb 20, 2021",,"No",60,"AGGARWAL ENTERPRISES Hub"
9.,"kh Microphone Gooseneck Flexible Neck Extension for Mic Stand (18- inch)","B0CBJTGCVV","https://www.amazon.in/dp/B0CBJTGCVV?psc=1","https://m.media-amazon.com/images/I/21hXVlhfq8L.jpg","kh",485,48,0,10,"22,308.73",72,"1,232","N/A","N/A",1,4.2,43,5,2,"Shopn Save","Musical Instruments","Standard Size","FBA","24.80 x 6.60 x 15.00 cm",0.38,"N/A","Jul 10, 2023",,"No",31,"Shopn Save"
10.,"Microphone Mic Holder, Adjustable Angle Clip for Stand Rubber Flexible Microphone Clip Black Wireless Clamp for Mics Stand Handheld (Black, Mic Holder Regular)","B0F4KV7JML","https://www.amazon.in/dp/B0F4KV7JML?psc=1","https://m.media-amazon.com/images/I/61dK5Jh3f-L._SY450_.jpg","CLAPONE",213,107,0,50,"22,618.15",159,"1,324","N/A",157.29,1,4.1,37,9,6,"SABMILJAYEGA","Musical Instruments","Standard Size","FBA","7.80 x 3.50 x 7.50 cm",0.08,"N/A","Aug 1, 2025",,"No",6,"SABMILJAYEGA"
11.,"kh Universal Microphone Cradle Shock Mount, Mic Clip Holder Mount for Diameter 43mm-50mm Mic Anti Vibration Adjustable High Isolation Shock Mount","B09BVZPY3Z","https://www.amazon.in/dp/B09BVZPY3Z?psc=1","https://m.media-amazon.com/images/I/51IT8X4tPOL._SX522_.jpg","kh",299,10,0,"N/A","2,898.11",145,"1,623","N/A",186.32,1,3.9,22,7,0,"Shopn Save","Musical Instruments","Standard Size","FBA","16.40 x 10.00 x 15.00 cm",0.15,"N/A","Oct 5, 2020",,"No",64,"Shopn Save"
12.,"Universal Microphone Shock Mount Cradle Holder Clip Stand Mic-57000479MG","B0BQ7998DG","https://www.amazon.in/dp/B0BQ7998DG?psc=1","https://m.media-amazon.com/images/I/418uSU+AMnL._SX569_.jpg","RODZ",297,17,0,10,"5,153.33",72,"1,651","N/A",135.35,1,3.8,58,9,0,"GOHO - RODZ - CAIRO - LUYAO","Musical Instruments","Standard Size","FBA","15.30 x 4.80 x 9.30 cm",0.05,"N/A","Dec 15, 2022",,"No",38,"GOHO - RODZ - CAIRO - LUYAO"
13.,"4Pcs Headphone Clip, Cord Clip, Wire Clips for Cords, Cable Clip, Securing Headphone Wires During Workouts, Organizing Cables at Work, Black","B0FRSL5GQC","https://www.amazon.in/dp/B0FRSL5GQC?psc=1","https://m.media-amazon.com/images/I/71-UMOycHxL._SX385_.jpg","Pmeixcy",408,46,0,20,"18,627.2",140,"1,886","N/A",193.94,1,"N/A",0,7,0,"OXOlady","Musical Instruments","Standard Size","FBA","10.10 x 1.60 x 4.70 cm",0.01,"N/A","Sep 19, 2025",,"No",5,"OXOlady"
14.,"SHOPEE Triple Mount Brackets ABS Plastic with Shoe Mount Adapter in Red & Black for BY-MM1 Mini Cardioid Shotgun Microphone and other Brand Similar Shotgun Microphones (3 pack)","B0BRZV7STN","https://www.amazon.in/dp/B0BRZV7STN?psc=1","https://m.media-amazon.com/images/I/61eEKsnGelL._SY450_.jpg","SHOPEE",299,22,0,"N/A","6,692.27",176,"2,144","N/A",127.44,1,3.4,12,9,0,"AGGARWAL ENTERPRISES Hub","Musical Instruments","Standard Size","FBA","10.00 x 10.00 x 10.00 cm",0.2,"N/A","Feb 7, 2022",,"No",48,"AGGARWAL ENTERPRISES Hub"
