"Display Order","Product Details","ASIN","URL","Image URL","Brand","Price  ₹","Sales","Variation Sales Strength (1 - 10)","Recent Purchases","Revenue","Title Char. Count","BSR","Seller Country/Region","Fees  ₹","Active Sellers","Ratings","Review Count","Images","Review velocity","Buy Box","Category","Size Tier","Fulfillment","Dimensions","Weight","ABA Most Clicked","Creation Date","Sponsored","Best Seller","Seller Age (mo)","Seller"
1.,"MAONO AU-400 Lavalier Auxiliary Omnidirectional Microphone (Black)","B07JF9B592","https://www.amazon.in/dp/B07JF9B592?psc=1","https://m.media-amazon.com/images/I/61qQrv9iAfL._SY355_.jpg","MAONO",419,"1,462",0,"1,000","612,580.59",66,10,"N/A",143.79,1,3.9,"31,824",7,74,"Cocoblu Retail","Musical Instruments","Standard Size","FBA","10.55 x 3.70 x 7.20 cm",0.05,"N/A","Oct 16, 2018",,"No",88,"Cocoblu Retail"
2.,"BOYA ByM1 Auxiliary Omnidirectional Lavalier Condenser Microphone with 20ft Audio Cable (Black)","B076B8G5D8","https://www.amazon.in/dp/B076B8G5D8?psc=1","https://m.media-amazon.com/images/I/51MHP1XXmWL._SY355_.jpg","BOYA",949,"2,180",0,"N/A","2,764,385.38",95,12,"N/A",245.03,2,4,"86,610",9,254,"Guitar-World","Musical Instruments","Standard Size","FBA","14.00 x 3.40 x 9.20 cm",0.1,"N/A","Dec 17, 2025",,"No",2,"Guitar-World"
3.,"Audio Array AM-C1 USB Condenser Microphone Kit | for Podcasting, Online Meeting, Gaming, Singing & Live Streaming | Boom Arm, Pop Filter, Mic Cover, Spider Shock Mount, Tripod & 2.5M USB Cable","B0B4DPX2J2","https://www.amazon.in/dp/B0B4DPX2J2?psc=1","https://m.media-amazon.com/images/I/51Oyw7ZrF3L._SX466_.jpg","Audio Array","2,599",777,0,600,"2,153,791.97",192,42,"N/A","N/A",4,4.2,"1,567",9,45,"Cocoblu Retail","Musical Instruments","Standard Size","FBA","42.90 x 8.10 x 21.70 cm",1.55,"N/A","Sep 4, 2024",,"No",17,"Cocoblu Retail"
4.,"DIGIMORE Condenser Mic for Singing with V8 Sound Card | Condenser Microphone Kit | Voice Changer | Studio Recording Equipments Full Set, Voice Recorder Mic, Karaoke, Gaming, Podcast & Lecture (D-430)","B0C245X8R4","https://www.amazon.in/dp/B0C245X8R4?psc=1","https://m.media-amazon.com/images/I/81EpIhjwU+L._SX569_.jpg","DIGIMORE","2,999",838,0,200,"3,580,026.17",199,77,"N/A",619.37,1,4,"1,526",8,51,"Cocoblu Retail","Musical Instruments","Standard Size","FBA","45.20 x 7.00 x 28.00 cm",1.71,"N/A","Apr 11, 2023",,"No",34,"Cocoblu Retail"
5.,"MAONO AU-A04 Condenser Microphone Kit (Black)","B07JHDKXK4","https://www.amazon.in/dp/B07JHDKXK4?psc=1","https://m.media-amazon.com/images/I/71SiDYcxEYL._SY450_.jpg","MAONO","3,989",404,0,100,"1,508,860.24",45,127,"N/A","N/A",1,4.1,"12,049",9,21,"Cocoblu Retail","Musical Instruments","Standard Size","FBA","43.80 x 8.90 x 20.80 cm",1.35,"N/A","Oct 18, 2018",,"No",88,"Cocoblu Retail"
6.,"Fifine K669B USB Microphone, Metal Condenser Recording Microphone for MAC OS, Windows, Cardioid Laptop Mic for Recording Vocals, Voice Overs, Streaming, Meeting and YouTube Videos-Black","B06XCKGLTP","https://www.amazon.in/dp/B06XCKGLTP?psc=1","https://m.media-amazon.com/images/I/51Gf9yCORmL._SX569_.jpg","FIFINE","2,390",218,0,100,"537,178.79",185,145,"N/A",461.26,3,4.1,"26,613",10,29,"Cocoblu Retail","Musical Instruments","Standard Size","FBA","17.70 x 6.20 x 14.10 cm",0.5,"N/A","Mar 11, 2017",,"No",107,"Cocoblu Retail"
7.,"HyperX Solocast-USB Condenser Gaming Unidirectional Microphone, for Pc, Ps4, and Mac, Tap-to-Mute Sensor, Cardioid Polar Pattern, Black (4P5P8AA)","B08KFL3SFV","https://www.amazon.in/dp/B08KFL3SFV?psc=1","https://m.media-amazon.com/images/I/61qh7VG4pCL._SX569_.jpg","HyperX","3,699",273,0,100,"1,363,080.42",145,167,"N/A",972.12,1,4.4,"80,816",9,374,"Clicktech Retail Private Ltd","Musical Instruments","Standard Size","FBA","30.60 x 12.30 x 23.80 cm",0.66,"N/A","Oct 19, 2020",,"No",64,"Clicktech Retail Private Ltd"
8.,"FIFINE A6T USB Gaming Microphone Kit, Plug & Play for PC, PS4/5, Condenser Cardioid Microphone Set with Mute Button, Volume Gain, RGB, Arm Stand, for Streaming, Discord, Twitch, Video, YouTube|Black","B09Q2ZZGH2","https://www.amazon.in/dp/B09Q2ZZGH2?psc=1","https://m.media-amazon.com/images/I/811EMBB42AL._SY450_.jpg","FIFINE","3,290",314,0,200,"1,034,860.57",198,179,"N/A","N/A",3,4.3,"8,249",9,109,"Cocoblu Retail","Musical Instruments","Standard Size","FBA","43.00 x 10.00 x 16.00 cm",0.94,"N/A","Feb 7, 2022",,"No",48,"Cocoblu Retail"
9.,"Humble® HB-C01 Lavalier Lapel Condenser Mic for Android, USB Type C Microphone for YouTube Vlogging Facebook Interview Livestream Video Recording and All(1.5 Meter)","B0FYP8J64R","https://www.amazon.in/dp/B0FYP8J64R?psc=1","https://m.media-amazon.com/images/I/51zUsZKEagL._SY355_.jpg","HUMBLE",329,372,0,200,"122,382.52",164,180,"N/A",187.54,1,4,63,6,21,"Clicktech Retail Private Ltd","Musical Instruments","Standard Size","FBA","10.30 x 3.90 x 9.90 cm",0.08,"N/A","Oct 31, 2025",,"No",4,"Clicktech Retail Private Ltd"
10.,"zealsound USB Microphone, Condenser Computer Mic, Plug & Play Gaming Microphone for Phone/PS4/PS5, Headphone Output, Volume Control, Mic Gain Control, Mute Button, YouTube Podcasting on Windows(Black)","B0DW8RG5NF","https://www.amazon.in/dp/B0DW8RG5NF?psc=1","https://m.media-amazon.com/images/I/615Y5Xa5ZDL._SY355_.jpg","zealsound","2,825",1,0,100,"3,010.81",200,187,"N/A",547.23,1,4.2,"8,131",7,90,"Aomeirui-India","Musical Instruments","Standard Size","FBA","21.30 x 11.10 x 13.10 cm",0.59,"N/A","Feb 6, 2025",,"No",12,"Aomeirui-India"
