"Display Order","Product Details","ASIN","URL","Image URL","Brand","Price  ₹","Sales","Variation Sales Strength (1 - 10)","Recent Purchases","Revenue","Title Char. Count","BSR","Seller Country/Region","Fees  ₹","Active Sellers","Ratings","Review Count","Images","Review velocity","Buy Box","Category","Size Tier","Fulfillment","Dimensions","Weight","ABA Most Clicked","Creation Date","Sponsored","Best Seller","Seller Age (mo)","Seller"
1.,"Kadence Mic Stand Heavy Duty Adjustable Dual Microphone Stand, Studio Microphone Stand (M30 Black)","B00YDZIQMC","https://www.amazon.in/dp/B00YDZIQMC?psc=1","https://m.media-amazon.com/images/I/51RuFGQhXGL._SY879_.jpg","Kadence",949,986,0,500,"937,795.43",98,44,"N/A",318.19,1,4,"2,797",6,20,"NoteKart","Musical Instruments","Standard Size","FBA","81.90 x 10.30 x 11.20 cm",1.74,"N/A","May 28, 2015",,"No",129,"NoteKart"
2.,"MAONO Boom Arm Microphone Stand: Adjustable Metal Suspension Mic Boom Arm for Podcast Gaming Streaming Recording, with Desk Clamp and 3/8"" to 5/8"" Screw Adapter-Max Load 1KG AU-B01 Black","B07JGQ9L5B","https://www.amazon.in/dp/B07JGQ9L5B?psc=1","https://m.media-amazon.com/images/I/610haNom-OL._SX522_.jpg","MAONO",719,792,0,300,"509,621.72",186,70,"N/A",240.13,1,4.2,"6,204",9,25,"Cocoblu Retail","Musical Instruments","Standard Size","FBA","41.10 x 5.40 x 11.90 cm",0.57,"N/A","Oct 18, 2018",,"No",88,"Cocoblu Retail"
3.,"Audio Array AA-26 Tabletop Metal Microphone Stand | Extendable height up to 22cm | Studio Sound Recording, Streaming, Podcasting, Singing | Stylish Sturdy Metal Design to last long, flat base","B0DT6T6N6B","https://www.amazon.in/dp/B0DT6T6N6B?psc=1","https://m.media-amazon.com/images/I/51fjiTreYFL._SY450_.jpg","Audio Array",549,217,0,100,"118,628.89",191,181,"N/A","N/A",1,4.2,78,4,18,"Cocoblu Retail","Musical Instruments","Standard Size","FBA","12.60 x 3.02 x 12.30 cm",0.32,"N/A","Jan 16, 2025",,"No",13,"Cocoblu Retail"
4.,"Techtest Heavy Duty Adjustable Dual Mike Stand Condenser Microphone Stand for Studio Recording Mic Stand for Singing Microphone Stand With Mobile Holder (Mic And Mobile Not Included) (Black)","B09DPHQ8P3","https://www.amazon.in/dp/B09DPHQ8P3?psc=1","https://m.media-amazon.com/images/I/41C7zJmkN8L._SX466_.jpg","TECHTEST",948,260,0,50,"166,847.26",190,220,"N/A",358.18,2,4.2,781,9,17,"Cocoblu Retail","Musical Instruments","Standard Size","FBA","89.00 x 10.00 x 11.00 cm",1.76,"N/A","Aug 19, 2021",,"No",54,"Cocoblu Retail"
5.,"Fifine CS1 Mirophone Stand, FIFINE Boom Arm with Heavy Duty Clamp, 3/8"" to 5/8"" Adapter, Adjustable Suspension Scissor Arm Stand for Voice-over, Gaming, Recording, Studio, Home Office","B09BQQTLC8","https://www.amazon.in/dp/B09BQQTLC8?psc=1","https://m.media-amazon.com/images/I/51BbmfgcCBL._SX466_.jpg","FIFINE",890,119,0,50,"107,364.94",183,262,"N/A",261.31,2,4.3,"1,526",9,54,"Cocoblu Retail","Musical Instruments","Standard Size","FBA","39.50 x 4.70 x 11.20 cm",0.53,"N/A","Dec 5, 2021",,"No",50,"Cocoblu Retail"
6.,"Amazon Basics 3 Leg Boom Heavy Duty Microphone Stand | For Studio Recording, Speeches & Live Performances | Stable and Flexible | Slip Resistant","B0CYFXN6Z5","https://www.amazon.in/dp/B0CYFXN6Z5?psc=1","https://m.media-amazon.com/images/I/41lOe7twP9L._SX466_.jpg","amazon basics",849,151,0,100,"126,791.55",144,264,"N/A",305.8,1,4,236,9,11,"Clicktech Retail Private Ltd","Musical Instruments","Standard Size","FBA","77.50 x 10.00 x 10.50 cm",1.32,"N/A","Jul 19, 2024",,"No",19,"Clicktech Retail Private Ltd"
7.,"Audio Array AA-05 Suspension Boom Scissor Microphone Arm Stand | Universal clamp with mic Holder & 3/8″ to 5/8″ Adapter for Shock mounts | Suitable for Stages, Studios, Broadcasting, TV Stations","B0BLJVJ2GN","https://www.amazon.in/dp/B0BLJVJ2GN?psc=1","https://m.media-amazon.com/images/I/71EjDPe5msL._SX466_.jpg","Audio Array",649,221,0,100,"174,958.08",194,278,"N/A",231.46,3,4.2,394,9,14,"Cocoblu Retail","Musical Instruments","Standard Size","FBA","39.79 x 4.90 x 11.40 cm",0.55,"N/A","Nov 5, 2022",,"No",39,"Cocoblu Retail"
8.,"Corslet Mike Stand Heavy Duty Adjustable Dual Microphone Stand Singing Condenser Mic Stan Condenser Microphone Stand for Studio Recording Mic Stand for Singing","B09HBG3W9Z","https://www.amazon.in/dp/B09HBG3W9Z?psc=1","https://m.media-amazon.com/images/I/51OhCdxiunL._SX679_.jpg","Corslet",899,167,0,40,"132,990.34",159,283,"N/A",238.83,1,4.2,227,9,5,"3DCloud","Musical Instruments","Standard Size","FBA","88.00 x 9.80 x 11.40 cm",1.66,"N/A","Sep 27, 2021",,"No",53,"3DCloud"
9.,"DIGIMORE D-110 Microphone Arm Stand, Adjustable Suspension Boom Scissor Mic Stand | Mic Clip | Upgraded Heavy Duty Clamp for Hyperx, Blue Yeti, Rode, Elgato","B0C2L2H3CD","https://www.amazon.in/dp/B0C2L2H3CD?psc=1","https://m.media-amazon.com/images/I/51Znay00MHL._SX569_.jpg","DIGIMORE",499,174,0,100,"86,608.39",156,296,"N/A","N/A",1,4.2,155,7,11,"Cocoblu Retail","Musical Instruments","Standard Size","FBA","42.40 x 7.20 x 17.90 cm",0.79,"N/A","Apr 15, 2023",,"No",34,"Cocoblu Retail"
10.,"FIFINE BM88 Microphone Boom Arm Stand with Desk Mount Clamp, Screw Adapter, Cable Management, Suspension Scissor Mic Stand for Boom Stick Microphone, for Podcast Streaming Gaming Studio|Black","B0C45H4WG9","https://www.amazon.in/dp/B0C45H4WG9?psc=1","https://m.media-amazon.com/images/I/51iwlWH8v0L._SY450_.jpg","FIFINE","3,772",94,0,50,"379,928.5",191,354,"N/A",719.71,3,4.5,"4,053",9,172,"Cocoblu Retail","Musical Instruments","Standard Size","FBA","35.80 x 9.60 x 11.60 cm",1.48,"N/A","May 7, 2023",,"No",33,"Cocoblu Retail"
