"Display Order","Product Details","ASIN","URL","Image URL","Brand","Price  ₹","Sales","Variation Sales Strength (1 - 10)","Recent Purchases","Revenue","Title Char. Count","BSR","Seller Country/Region","Fees  ₹","Active Sellers","Ratings","Review Count","Images","Review velocity","Buy Box","Category","Size Tier","Fulfillment","Dimensions","Weight","ABA Most Clicked","Creation Date","Sponsored","Best Seller","Seller Age (mo)","Seller"
1.,"Tribit XSound Plus 2 30W 5.3 Bluetooth Wireless Speakers, Powerful Louder Stereo Sound with Bass-Enhanced XBass Function, 24H Playtime, IPX7 Waterproof, Built in Mic, 150ft BT Range for Home/Outdoor, Black","B0CT5F1SW4","https://www.amazon.in/dp/B0CT5F1SW4?psc=1","https://m.media-amazon.com/images/I/71u1yvPoE3L._SY450_.jpg","Tribit","5,699","1,013",0,400,"5,790,510.06",205,"2,466","N/A","1,122.01",1,4.4,"2,649",6,84,"Tribit India","Electronics","Standard Size","FBA","25.10 x 7.70 x 10.50 cm",0.81,"N/A","May 1, 2024",,"No",21,"Tribit India"
2.,"ZEBRONICS 120 Watts Party Speaker with 2 Wireless Mic, 7 hrs Playtime, Karaoke & Recording Function, TWS, Bluetooth, USB, AUX, mSD, RGB Modes (Thump 700)","B0CWD1FGL2","https://www.amazon.in/dp/B0CWD1FGL2?psc=1","https://m.media-amazon.com/images/I/81stTfpLJyL._SX679_.jpg","ZEBRONICS","9,999",606,0,300,"5,996,501.07",153,"2,502","N/A","2,471.92",1,3.8,"8,853",7,37,"Clicktech Retail Private Ltd","Electronics","Standard Size","FBA","96.00 x 40.00 x 41.00 cm",11,"N/A","Feb 24, 2024",,"No",24,"Clicktech Retail Private Ltd"
3.,"ZEBRONICS AXON 100 Portable Party Bluetooth Speaker, 90W RMS, Quad Drivers + Dual Passive Radiators, IPX5, Upto 6 Hours Playback, Rapid Charging, BT | USB | AUX | TWS, Fabric Finish, RGB, Deep Bass","B0DN1WCLXG","https://www.amazon.in/dp/B0DN1WCLXG?psc=1","https://m.media-amazon.com/images/I/81yogS-OfbL._SY450_.jpg","ZEBRONICS","4,999",418,0,"N/A","2,590,725.76",197,"3,111","N/A","1,147.97",1,4,"1,012",12,18,"Clicktech Retail Private Ltd","Electronics","Standard Size","FBA","42.20 x 18.80 x 23.80 cm",3.61,"N/A","Dec 17, 2024",,"No",14,"Clicktech Retail Private Ltd"
4.,"Tribit StormBox Lava Portable Bluetooth Speaker, 80W Loud Wireless Speaker, 24H Playtime, IP67 Waterproof, Bluetooth 5.4, Custom EQ, XBass, Built-in Mic, TWS Pairing for Camping/Beach/Party/Outdoor","B0DN54MS3Y","https://www.amazon.in/dp/B0DN54MS3Y?psc=1","https://m.media-amazon.com/images/I/712uPFP3MrL._SX679_.jpg","Tribit","13,999",326,0,"N/A","4,577,499.66",197,"3,768","N/A","2,588.75",1,4.3,"10,925",9,25,"Tribit India","Electronics","Standard Size","FBA","38.10 x 19.20 x 19.20 cm",2.86,"N/A","Mar 13, 2025",,"No",11,"Tribit India"
5.,"Zebronics Metal PRO Powerful DJ Trolley Speaker with UHF Wireless mic, Karaoke, TWS, 150W RMS Output, Built-in Rechargeable Battery, 15” Driver, 2X USB Input & Remote Control","B0BT9X4GQQ","https://www.amazon.in/dp/B0BT9X4GQQ?psc=1","https://m.media-amazon.com/images/I/81zVYK5mrEL._SX522_.jpg","ZEBRONICS","24,999",26,0,"N/A","375,144.16",174,"15,557","N/A","4,206.57",1,3.8,29,7,0,,"Electronics","Heavy and Bulky","MFN","83.00 x 49.00 x 50.00 cm",23,"N/A","Jan 28, 2023",,"No",37,
6.,"Tribit StormBox Blast 2 Bluetooth Speaker, 200W Portable Speaker with Subwoofer, XBass, LED Lights, Bluetooth 5.4, IP67, Custom EQ, 30H Playtime, Karaoke Function - Perfect for Outdoor Party/Garden","B0D9Y1T6YT","https://www.amazon.in/dp/B0D9Y1T6YT?psc=1","https://m.media-amazon.com/images/I/71TZxMHhYaL._SX466_.jpg","Tribit","25,999",31,0,"N/A","812,871.52",197,"15,716","N/A","N/A",1,4.6,471,7,21,"Tribit India","Electronics","Standard Size","FBA","113.20 x 6.80 x 62.40 cm",9.16,"N/A","Jul 23, 2024",,"No",19,"Tribit India"
7.,"ZEBRONICS Roxor 100W Multi-Connectivity Bluetooth, HDMI ARC, Optical, USB, AUX in-Out Speaker with Dolby Audio, Wireless UHF MIC, and Karaoke, TWS, LED Lights, and Recording Function","B0C89JHPC5","https://www.amazon.in/dp/B0C89JHPC5?psc=1","https://m.media-amazon.com/images/I/81YhO4LMT8L._SX569_.jpg","ZEBRONICS","14,049",42,0,"N/A","615,583.77",182,"20,044","N/A","2,765.75",1,3.7,390,7,6,"Clicktech Retail Private Ltd","Electronics","Standard Size","FBA","42.00 x 23.00 x 27.00 cm",2,"N/A","Jul 12, 2023",,"No",31,"Clicktech Retail Private Ltd"
8.,"Ahuja Speaker 50Watts Outdoor/Indoor Speaker Srx 50Dx, 2-8Inch Speakers, Wired","B075GGXJL2","https://www.amazon.in/dp/B075GGXJL2?psc=1","https://m.media-amazon.com/images/I/51S9XDTtI6L.jpg","Ahuja","4,430",46,0,20,"206,471.77",78,"25,473","N/A","1,203.41",2,3.7,168,4,2,"Awazwala","Electronics","Standard Size","FBA","65.20 x 31.20 x 40.20 cm",10.3,"N/A","Sep 8, 2017",,"No",101,"Awazwala"
9.,"Blaupunkt Atomik PS30 Pro Wireless Bluetooth 30W Outdoor Party Speaker, Dual Passive Radiatori 3000Mah Battery I Dynamic RGB Lights I Karaoke With Wired Mic I EQ Button I Flexible Carrying Strap, Black","B0CMXSBS9H","https://www.amazon.in/dp/B0CMXSBS9H?psc=1","https://m.media-amazon.com/images/I/81AwuZX8gqL._SY355_.jpg","Blaupunkt","2,998",18,0,"N/A","59,492.7",201,"29,744","N/A",771.39,1,3.7,296,7,0,"Clicktech Retail Private Ltd","Electronics","Standard Size","FBA","41.10 x 16.40 x 19.00 cm",1.88,"N/A","Nov 8, 2023",,"No",27,"Clicktech Retail Private Ltd"
10.,"Tribit StormBox Blast 140W Peak Bluetooth Party Speaker, Portable Speaker 90W Loud Stereo Sound with XBass LED Light Show Bluetooth 5.3, IPX7 Waterproof Speaker, TWS, Custom EQ, 30H Playtime for Outdoor","B09XBB7H84","https://www.amazon.in/dp/B09XBB7H84?psc=1","https://m.media-amazon.com/images/I/81u3sIpgHYL._SY355_.jpg","Tribit","16,999",25,0,"N/A","433,585.08",202,"31,173","N/A","N/A",1,4.6,"3,345",7,9,"Tribit India","Electronics","Standard Size","FBA","45.29 x 20.20 x 29.30 cm",6.87,"N/A","Jan 19, 2024",,"No",25,"Tribit India"
