"Display Order","Product Details","ASIN","URL","Image URL","Brand","Price  ₹","Sales","Variation Sales Strength (1 - 10)","Recent Purchases","Revenue","Title Char. Count","BSR","Seller Country/Region","Fees  ₹","Active Sellers","Ratings","Review Count","Images","Review velocity","Buy Box","Category","Size Tier","Fulfillment","Dimensions","Weight","ABA Most Clicked","Creation Date","Sponsored","Best Seller","Seller Age (mo)","Seller"
1.,"DIGIMORE Wireless Voice Amplifier for Teachers| 12Hr Battery| 10W Speaker| BT v5.3| 3.5mm Mic Input| Type-C| Wireless Headset Mic for Tour Guides, Teachers, Factory Visits & PA System (D-1200 WL)","B0DPT2ZP69","https://www.amazon.in/dp/B0DPT2ZP69?psc=1","https://m.media-amazon.com/images/I/71ncLDIlFAL._SY355_.jpg","DIGIMORE","1,999","2,913",0,"1,000","4,850,175.64",195,7,"N/A",440.01,1,4.2,"2,022",8,74,"Cocoblu Retail","Musical Instruments","Standard Size","FBA","24.30 x 7.90 x 17.00 cm",0.58,"N/A","Dec 7, 2024",,"No",14,"Cocoblu Retail"
2.,"SHIDU S617 Mini Wireless Voice Amplifier with Wireless Headset, 16W Speaker, Mute Function, Bluetooth 5.0, AUX Input & Type C Charging Port for Teachers Tour Guides Coaches Classroom Meeting|Black","B0FPLM9P33","https://www.amazon.in/dp/B0FPLM9P33?psc=1","https://m.media-amazon.com/images/I/61MMLxdsPzL._SX466_.jpg","SHIDU","1,990",380,0,100,"648,949.58",196,161,"N/A",438.84,2,4.3,239,9,10,"Cocoblu Retail","Musical Instruments","Standard Size","FBA","19.10 x 7.90 x 18.70 cm",0.51,"N/A","Dec 7, 2022",,"No",38,"Cocoblu Retail"
3.,"Ahuja Portable PA Neckband System NBA-20Dp Rechargeable with 1 Neckband Mic with USB and SD Card Input, Black, 340gms","B015ZJ5D1G","https://www.amazon.in/dp/B015ZJ5D1G?psc=1","https://m.media-amazon.com/images/I/71cl0dfdCiL._SX425_.jpg","Ahuja","3,519",157,0,100,"553,258.41",117,217,"N/A","N/A",8,4.3,"1,794",4,10,"Cocoblu Retail","Musical Instruments","Standard Size","FBA","26.30 x 7.10 x 17.65 cm",0.65,"N/A","Sep 30, 2015",,"No",125,"Cocoblu Retail"
4.,"RENMAX Megaphone Speaker Portable Horn Recorder Player Bluetooth PA System Magic Voice Multiple Sirens Dual Battery Rechargeable USB C-Type ABS Plastic - 1 Pc (M804)","B0D8B7GLBW","https://www.amazon.in/dp/B0D8B7GLBW?psc=1","https://m.media-amazon.com/images/I/61xiVxTCKyL._SY355_.jpg","RENMAX","1,199",74,0,50,"74,789.62",165,313,"N/A",265.44,1,3.4,30,6,1,"RENMAX®","Musical Instruments","Standard Size","FBA","22.30 x 14.40 x 16.10 cm",0.59,"N/A","Jul 28, 2023",,"No",31,"RENMAX®"
5.,"Ahuja Portable PA System WP-225 with Bluetooth, Black","B0BRXRQ1FC","https://www.amazon.in/dp/B0BRXRQ1FC?psc=1","https://m.media-amazon.com/images/I/61PkbsRC+NL._SY606_.jpg","Ahuja","7,875",64,0,50,"510,852.96",53,504,"N/A","N/A",5,4.2,121,1,3,"Awazwala","Musical Instruments","Standard Size","FBA","31.50 x 17.00 x 28.90 cm",2.79,"N/A","Jan 9, 2023",,"No",37,"Awazwala"
6.,"DIGIMORE Wireless Portable Voice Amplifier | 10W Speaker w Head Mic | BT 5.0, USB MP3, FM, TF Card & Recording Feature | 10Hrs Battery | for Tour Guides, Yoga, Fitness Instructors, Colleges (D-1230)","B0DK9QXG6G","https://www.amazon.in/dp/B0DK9QXG6G?psc=1","https://m.media-amazon.com/images/I/61j1h1huwXL._SY355_.jpg","DIGIMORE",999,22,0,"N/A","22,337.94",198,540,"N/A",215.88,1,3,164,8,4,"Cocoblu Retail","Musical Instruments","Standard Size","FBA","22.80 x 8.20 x 20.00 cm",0.56,"N/A","Oct 18, 2024",,"No",16,"Cocoblu Retail"
7.,"WinBridge WB005 Wireless Voice Amplifier with Bluetooth Lapel Microphone for Teachers, Portable Speaker and Wireless Clip On Microphone System, Mini Megaphone Speaker Mic Set 15W 2600mAh","B0DHV6WJ4Y","https://www.amazon.in/dp/B0DHV6WJ4Y?psc=1","https://m.media-amazon.com/images/I/613qsEDaaFL._SX466_.jpg","W WINBRIDGE","7,100",93,0,30,"657,665.67",186,597,"N/A","N/A",1,4.2,43,7,4,"WinBridge IN","Musical Instruments","Standard Size","FBA","14.70 x 6.20 x 13.30 cm",0.27,"N/A","Sep 24, 2025",,"No",5,"WinBridge IN"
8.,"SHIDU S258 Upgraded Portable Rechargeable Voice Amplifier with Wired Neckband Microphone, Supports AUX, USB, & Micro-SD Card Input for Teachers, Tour Guides with Type C Charging Cable|Black","B07FLV88J8","https://www.amazon.in/dp/B07FLV88J8?psc=1","https://m.media-amazon.com/images/I/71IIEcshDBL._SX679_.jpg","SHIDU","1,990",100,0,50,"212,498.24",189,613,"N/A","N/A",2,4,"2,619",9,19,"Cocoblu Retail","Musical Instruments","Standard Size","FBA","18.01 x 5.79 x 14.30 cm",0.33,"N/A","Aug 5, 2018",,"No",90,"Cocoblu Retail"
9.,"MX 30 W Handheld Megaphone with Siren Alarm – Portable 6V PA Speaker for Indoor & Outdoor Use, Runs on 4×C Batteries (NOT Included), Voice Range 0.25 km, Lightweight & Durable","B0BDVGDLHW","https://www.amazon.in/dp/B0BDVGDLHW?psc=1","https://m.media-amazon.com/images/I/61HklMFANhL._SY450_.jpg","MX",760,80,0,"N/A","197,042.43",175,843,"N/A","N/A",1,3.2,28,6,0,"MX-MDR TECHNOLOGIES LIMITED","Musical Instruments","Standard Size","FBA","22.40 x 14.30 x 14.30 cm",0.52,"N/A","Sep 10, 2022",,"No",41,"MX-MDR TECHNOLOGIES LIMITED"
10.,"Ahuja Portable PA System WP-225L with Wireless Head-Band Mic, Bluetooth, Mp3 Player Etc","B0CPJ37NZX","https://www.amazon.in/dp/B0CPJ37NZX?psc=1","https://m.media-amazon.com/images/I/41kxEHXtuHL._SY355_.jpg","Ahuja","7,930",21,0,"N/A","164,278.82",87,872,"N/A","1,351.45",2,4.2,33,2,0,"Awazwala","Musical Instruments","Standard Size","FBA","31.60 x 16.90 x 28.90 cm",2.71,"N/A","Dec 5, 2023",,"No",26,"Awazwala"
11.,"DIGIMORE Wireless Gooseneck Microphone System | 24″ Adjustable Desktop Mic | 160 ft Range | 36 Channels | Ideal for Meetings, Lectures & Broadcasting (D-605)","B0FGY9KSBD","https://www.amazon.in/dp/B0FGY9KSBD?psc=1","https://m.media-amazon.com/images/I/613pPFHEWmL._SX679_.jpg","DIGIMORE","2,999",159,0,30,"382,120.62",157,377,"N/A",619.37,1,4.1,112,8,3,"Cocoblu Retail","Musical Instruments","Standard Size","FBA","48.00 x 7.80 x 22.00 cm",1.07,"N/A","Jul 7, 2025",,"No",7,"Cocoblu Retail"
