"Display Order","Product Details","ASIN","URL","Image URL","Brand","Price  ₹","Sales","Variation Sales Strength (1 - 10)","Recent Purchases","Revenue","Title Char. Count","BSR","Seller Country/Region","Fees  ₹","Active Sellers","Ratings","Review Count","Images","Review velocity","Buy Box","Category","Size Tier","Fulfillment","Dimensions","Weight","ABA Most Clicked","Creation Date","Sponsored","Best Seller","Seller Age (mo)","Seller"
1.,"3-in-1 Portable Car Vacuum Cleaner with Blower, USB Rechargeable, Black, Wireless Handheld Mini Design, Strong Suction, Washable HEPA Filter for Car, Home, Travel","B0FN4B7WRF","https://www.amazon.in/dp/B0FN4B7WRF?psc=1","https://m.media-amazon.com/images/I/51xLLJOLsoL._SX466_.jpg","Eloxee",299,357,0,"1,000","108,728.39",162,165,"N/A",127.44,1,3.7,31,8,20,"RAMDEV_SALES","Car & Motorbike","Standard Size","FBA","2.00 x 8.00 x 5.00 cm",0.35,"N/A","Aug 20, 2025",,"No",6,"RAMDEV_SALES"
2.,"4-in-1 Portable Vacuum Cleaner for Car Use, Small Handheld Vacuum Vleaners for Dust, 10000Pa Powerful Suction, Rechargeable Battery, Brushless DC Motor, Low Noise, for Home, Car","B0G7ZWD3VJ","https://www.amazon.in/dp/B0G7ZWD3VJ?psc=1","https://m.media-amazon.com/images/I/61ooqe5-YRL._SY450_.jpg","Svoko","1,599","1,998",0,"1,000","3,205,056.83",177,191,"N/A",292.56,1,4.3,"1,129",7,37,"Tuarso India","Car & Motorbike","Standard Size","FBA","22.30 x 6.90 x 18.60 cm",0.63,"N/A","Dec 17, 2025",,"No",2,"Tuarso India"
3.,"2 in 1 Portable Mini Car Vacuum Cleaner with Blower Rechargeable Wireless Handheld Vaccine Cleaner Vaccum for Home and Car, Cordless Small Air Blower for Cleaning Dust, Wet and Dry Use (Multi, Medium)","B0GK95Y5SF","https://www.amazon.in/dp/B0GK95Y5SF?psc=1","https://m.media-amazon.com/images/I/51svtFFrmvL._SX569_.jpg","GFDesign",469,619,0,"N/A","294,188.07",200,194,"N/A",143.31,1,4.4,269,8,6,"Vmoni®","Car & Motorbike","Standard Size","FBA","8.00 x 10.00 x 8.00 cm",0.43,"N/A","Jan 28, 2026",,"No",1,"Vmoni®"
4.,"Tusa Cordless Vacuum Cleaner for Car & Home | 2X Powerfull Suction, Dual Mode Battery 6000mAh & 12V DC Car Port | High Power Portable Lightweight Wireless Vacuum, Rechargeable (V1) (Black)","B08L3Q4W4H","https://www.amazon.in/dp/B08L3Q4W4H?psc=1","https://m.media-amazon.com/images/I/71pmwfKdhDL._SY450_.jpg","Tusa","3,297","1,380",0,"1,000","4,551,886.11",188,223,"N/A",560.79,1,4.1,"8,488",8,81,"TUSA Automotive","Car & Motorbike","Standard Size","FBA","39.00 x 12.86 x 14.00 cm",1.44,"N/A","Oct 12, 2020",,"No",64,"TUSA Automotive"
5.,"GoMechanic Neutron 4500 Handheld Super Suction Wet/Dry 4.5KPa Power Car Vacuum Cleaner with Anti-Bacterial Cleaning (Black)","B08PC1QKL4","https://www.amazon.in/dp/B08PC1QKL4?psc=1","https://m.media-amazon.com/images/I/61GTM22z+0S._SX679_.jpg","GoMechanic",789,"1,431",0,"1,000","1,120,360.97",123,239,"N/A",230.18,1,3.9,"2,886",5,50,"ETrade Online","Car & Motorbike","Standard Size","FBA","33.79 x 11.10 x 11.50 cm",0.64,"N/A","Nov 29, 2020",,"No",63,"ETrade Online"
6.,"3 in 1 Portable Car Vacuum Cleaner with Blower | USB Rechargeable Wireless Handheld Car Vacuum Cleaner Traveling, Camping Reusable, Portable, Rechargeable (Vacuum with Blower) (1)","B0GDFQ4WDN","https://www.amazon.in/dp/B0GDFQ4WDN?psc=1","https://m.media-amazon.com/images/I/612qEsmKhmL._SX450_.jpg","ONERIOUS",398,125,0,300,"49,750",179,243,"N/A","N/A",1,2.5,2,9,"N/A","ONERIOUS®","Car & Motorbike","Standard Size","FBA","8.00 x 20.00 x 10.00 cm",0.32,"N/A","Dec 31, 2025",,"No",2,"ONERIOUS®"
7.,"3 in 1 Portable Car Vacuum Cleaner with Blower | USB Rechargeable Wireless Handheld Car Vacuum Cleaner Traveling, Camping Reusable, Portable, Rechargeable/*- (1)","B0GCSGPSFT","https://www.amazon.in/dp/B0GCSGPSFT?psc=1","https://m.media-amazon.com/images/I/61-ElaLP1oL._SX679_.jpg","DADLM",398,1,0,300,398,161,247,"N/A",117.88,1,4.4,17,9,2,"DADLM®","Car & Motorbike","Standard Size","FBA","8.20 x 20.00 x 10.00 cm",0.33,"N/A","Dec 27, 2025",,"No",2,"DADLM®"
8.,"AGARO HVC7799 Cordless Car Vacuum Cleaner, Portable Handheld Vacuum for Car & Home Interiors, 16 kPa High Power Suction, 5000 mAh Rechargeable Battery, Steel HEPA Filter, LED Light, Multiple Nozzles","B0FFMZMHN2","https://www.amazon.in/dp/B0FFMZMHN2?psc=1","https://m.media-amazon.com/images/I/81JEDmvlL-L._SY450_.jpg","AGARO","2,699",984,0,700,"2,704,796.84",198,302,"N/A",739.67,1,4,"1,474",9,24,"ETrade Online","Car & Motorbike","Standard Size","FBA","39.29 x 8.90 x 17.10 cm",0.89,"N/A","Jun 26, 2025",,"No",8,"ETrade Online"
9.,"WOSCHER AutoVac Pro High Power Auto Car Vacuum Cleaner for Deep Cleaning, Hand Held Portable Car Vacuum with DC 12V, 140W Vacuum Motor & Powerful Suction 5000PA, Black","B07VQ1VT1P","https://www.amazon.in/dp/B07VQ1VT1P?psc=1","https://m.media-amazon.com/images/I/71op6mKBraL._SY355_.jpg","WOSCHER","1,448","1,538",0,"1,000","2,264,188.25",167,320,"N/A",375.33,2,4,"3,660",17,39,"ETrade Online","Car & Motorbike","Standard Size","FBA","39.10 x 13.31 x 14.83 cm",1.24,"N/A","Jul 27, 2019",,"No",79,"ETrade Online"
10.,"NUUK REN GO Cordless Car and Home Vacuum Cleaner | 2X More Suction, 11000 PA | 4-in-1 Functions with Air Blowing | 7 Attachments+Storage Bag | Dual Filtration with HEPA | BLDC Motor | 2 Suction Modes","B0D1K91D1Z","https://www.amazon.in/dp/B0D1K91D1Z?psc=1","https://m.media-amazon.com/images/I/61wg0yZogpL._SX425_.jpg","NUUK","3,499","1,175",0,200,"4,104,278.21",199,371,"N/A",581.05,3,4.2,"1,647",9,134,"RetailEZ Pvt Ltd","Car & Motorbike","Standard Size","FBA","36.79 x 10.20 x 14.40 cm",1.12,"N/A","Apr 12, 2024",,"No",22,"RetailEZ Pvt Ltd"
