"Display Order","Product Details","ASIN","URL","Image URL","Brand","Price  ₹","Sales","Variation Sales Strength (1 - 10)","Recent Purchases","Revenue","Title Char. Count","BSR","Seller Country/Region","Fees  ₹","Active Sellers","Ratings","Review Count","Images","Review velocity","Buy Box","Category","Size Tier","Fulfillment","Dimensions","Weight","ABA Most Clicked","Creation Date","Sponsored","Best Seller","Seller Age (mo)","Seller"
1.,"Coway Airmega 150 (Ap-1019C) Air Purifier For Home, Longest Filter Life 8500Hrs (Approx. 1.5-2 Yrs), Anti-Virus True Hepa Filter (H13), Kills Allergies, Virus, Germs & Pm 0.01 With 99.999% Efficiency, White","B08GJ57MKL","https://www.amazon.in/dp/B08GJ57MKL?psc=1","https://m.media-amazon.com/images/I/91mE+0CCnGL._SX569_.jpg","Coway","15,999","N/A",0,"1,000","N/A",206,206,"N/A","N/A",1,4.5,"8,372","N/A","N/A","Frootle India Pvt. Ltd.","Home & Kitchen","N/A","FBA","N/A","N/A","N/A","N/A",,"No","N/A","Frootle India Pvt. Ltd."
2.,"Honeywell Air Purifier for Home & Office, 3-in-1, Pre, H13 HEPA, Activated Carbon, Removes 99.99% Pollutants, Allergens, Pet Dander, Smoke, Dust & Pollens - Air touch V1","B0DB65HXZP","https://www.amazon.in/dp/B0DB65HXZP?psc=1","https://m.media-amazon.com/images/I/71ipnrfS-1L._SX466_.jpg","Honeywell","4,997","N/A",0,"3,000","N/A",169,379,"N/A","N/A",9,4,"11,285","N/A","N/A","RetailEZ Pvt Ltd","Home & Kitchen","N/A","FBA","N/A","N/A","N/A","N/A",,"No","N/A","RetailEZ Pvt Ltd"
3.,"LEVOIT Core Mini Air Purifier For Coverage Area 183 Sq Ft, H13 Truehepa Filter, Remove 99.97% Dust, Smoke, & Pollen, With Fragrance Sponge, (2 Years Warranty), White","B0CG1N11DV","https://www.amazon.in/dp/B0CG1N11DV?psc=1","https://m.media-amazon.com/images/I/61qe7hzT8SL._SY741_.jpg","LEVOIT","4,999","N/A",0,"2,000","N/A",165,400,"N/A","N/A",1,4.4,"91,202","N/A","N/A","Frootle India Pvt Ltd (FIPL)","Home & Kitchen","N/A","FBA","N/A","N/A","N/A","N/A",,"No","N/A","Frootle India Pvt Ltd (FIPL)"
4.,"Honeywell Air Purifier for Home, 4 Stage Filtration, Covers 388 sq.ft, High Efficiency Pre-Filter, H13 HEPA, Activated Carbon, Removes 99.99% Pollutants & Micro Allergens - Air touch V2","B09C64QJMS","https://www.amazon.in/dp/B09C64QJMS?psc=1","https://m.media-amazon.com/images/I/51IACRbkP-L._SX466_.jpg","Honeywell","8,389","N/A",0,500,"N/A",185,"1,305","N/A","N/A",7,3.7,"15,057","N/A","N/A","RetailEZ Pvt Ltd","Home & Kitchen","N/A","FBA","N/A","N/A","N/A","N/A",,"No","N/A","RetailEZ Pvt Ltd"
5.,"Philips AC0950 Smart Wifi Air Purifier For Home, Real Time AQI Display, Covers Upto 300 Sqft(30M2) With CADR 250 M3/H, HEPA Filter With Activa Carbon, Scheduler Feature Connected With Air + APP, White","B0DB85YDRS","https://www.amazon.in/dp/B0DB85YDRS?psc=1","https://m.media-amazon.com/images/I/51LO7GBxQTL._SX679_.jpg","Philips","10,599","N/A",0,100,"N/A",200,"2,429","N/A","N/A",2,4.2,"3,459","N/A","N/A","RetailEZ Pvt Ltd","Home & Kitchen","N/A","FBA","N/A","N/A","N/A","N/A",,"No","N/A","RetailEZ Pvt Ltd"
6.,"WEYLYN 3-in-1, Pre, H13 HEPA, Activated Carbon, Removes 99.99% Pollutants, Allergens, Pet Danger, Smoke, Dust & Pollens Air Purifier for Home & Office Air Purifier for Home & Office (VERTICAL)","B0G6MG1XMJ","https://www.amazon.in/dp/B0G6MG1XMJ?psc=1","https://m.media-amazon.com/images/I/619JLJa4QjL._SX466_.jpg","WEYLYN","1,699","N/A",0,50,"N/A",192,"4,250","N/A","N/A",1,5,19,"N/A","N/A","Weylyn.","Home & Kitchen","N/A","FBA","N/A","N/A","N/A","N/A",,"No","N/A","Weylyn."
7.,"Qubo Smart Air Purifier Q200 for Home by Hero Group | Upto 200 Sq Ft | 99.99% Allergen Removal | HEPA H13 | 9000 Hrs Filter Life | App & Voice Control | Energy Saving | Ultra-Quiet BLDC Motor","B0CMH94KPM","https://www.amazon.in/dp/B0CMH94KPM?psc=1","https://m.media-amazon.com/images/I/51+7Q1LCN6L._SX679_.jpg","Qubo","7,490","N/A",0,50,"N/A",191,"4,394","N/A","N/A",1,4.1,681,"N/A","N/A","RetailEZ Pvt Ltd","Home & Kitchen","N/A","FBA","N/A","N/A","N/A","N/A",,"No","N/A","RetailEZ Pvt Ltd"
8.,"Dyson Hushjet Purifier Compact-HJ10 | Removes 99.97% of pollutants as small as PM 0.3 | Upto 5 Yr Electrostatic filter life | Max coverage upto 1076 sq.ft. | 2 Yr Warranty (White/Silver)","B0FX51DWS4","https://www.amazon.in/dp/B0FX51DWS4?psc=1","https://m.media-amazon.com/images/I/71liDkj9GOL._SX425_.jpg","Dyson","29,900","N/A",0,100,"N/A",186,"4,423","N/A","N/A",2,4.6,52,"N/A","N/A","CloudNine India","Home & Kitchen","N/A","FBA","N/A","N/A","N/A","N/A",,"No","N/A","CloudNine India"
9.,"AIRTH AC Air Purifier [AQI <300, Summer Version] with Time Indicator | IIT Bombay Technology | Upgrades AC into Air Purifier | PM2.5, Germ & Allergy Protection | HEPA Filter for Home & Office","B0FVFWXXRQ","https://www.amazon.in/dp/B0FVFWXXRQ?psc=1","https://m.media-amazon.com/images/I/61YLqXb+p5L._SX569_.jpg","AiRTH","2,499","N/A",0,200,"N/A",191,"4,048","N/A","N/A",2,3.8,"1,019","N/A","N/A","AiRTH","Home & Kitchen","N/A","FBA","N/A","N/A","N/A","N/A",,"No","N/A","AiRTH"
10.,"Philips Smart Air Purifier Ac1711 - Purifies Rooms Up To 36 M² - Removes 99.97% Of Pollen, Allergies Dust And, Hepa Filter, Ideal For Bedrooms. -","B0CW1SZV6L","https://www.amazon.in/dp/B0CW1SZV6L?psc=1","https://m.media-amazon.com/images/I/71PUoytURBL._SY355_.jpg","Philips","12,699","N/A",0,800,"N/A",145,"9,687","N/A","N/A",2,4.1,"5,641","N/A","N/A","RetailEZ Pvt Ltd","Home & Kitchen","N/A","FBA","N/A","N/A","N/A","N/A",,"No","N/A","RetailEZ Pvt Ltd"
11.,"CUCKOO Respure Air Purifier For Home | Biggest True HEPA Filter Cleans 570 Sqft in 15min | 8 Yrs Warranty on Motor | | Suitable For Heavy Pollution Allergies & Pet Hair | RedDot Award Winner","B0DHW4H1CV","https://www.amazon.in/dp/B0DHW4H1CV?psc=1","https://m.media-amazon.com/images/I/61u0t+n41-L._SY450_.jpg","CUCKOO","14,490","N/A",0,200,"N/A",190,"11,094","N/A","N/A",2,4.4,"1,152","N/A","N/A","RetailEZ Pvt Ltd","Home & Kitchen","N/A","FBA","N/A","N/A","N/A","N/A",,"No","N/A","RetailEZ Pvt Ltd"
12.,"Small Air Purifiers for Bedroom Home with H13 HEPA Filters, Quiet HEPA Filter Cleaner with Aromatherapy for Better Sleep, Air Frenshener, Allergies, Dust, Pet Dander, Odour, Smoke, Office","B0GJMSC7D9","https://www.amazon.in/dp/B0GJMSC7D9?psc=1","https://m.media-amazon.com/images/I/51OLpKn6HFL._SY679_.jpg","SEAHELTON","1,799","N/A",0,200,"N/A",187,"11,264","N/A","N/A",2,4.2,16,"N/A","N/A","UNICRON","Home & Kitchen","N/A","FBA","N/A","N/A","N/A","N/A",,"No","N/A","UNICRON"
13.,"Dr Trust USA Zurich Portable Room Air Purifier, HEPA Filter UV 4 Stage Filtration & Air Quality Monitoring, Low Noise, 360° Air Inlet Removes 99.97% Pollutants Dust, Smoke, Bacterial Particles (Black)","B0DM9FYBX9","https://www.amazon.in/dp/B0DM9FYBX9?psc=1","https://m.media-amazon.com/images/I/71Z9jFurdAL._SX679_.jpg","Dr Trust","5,699","N/A",0,100,"N/A",200,"12,660","N/A","N/A",2,3.9,143,"N/A","N/A","RetailEZ Pvt Ltd","Home & Kitchen","N/A","FBA","N/A","N/A","N/A","N/A",,"No","N/A","RetailEZ Pvt Ltd"
14.,"Eureka Forbes 270 Air Purifier for Home |True HEPA H13 Filter & Real-time AQI Indicator |1.5-2 Yrs Filter Life* | Removes 99.97% PM2.5, Dust, Allergens, Bacteria & Pollen | Covers up to 365 Sq.Ft","B0FN45MT9C","https://www.amazon.in/dp/B0FN45MT9C?psc=1","https://m.media-amazon.com/images/I/51l3nUQtfNL._SY741_.jpg","Eureka Forbes","7,999","N/A",0,50,"N/A",195,"16,923","N/A","N/A",3,3.2,344,"N/A","N/A","RetailEZ Pvt Ltd","Home & Kitchen","N/A","FBA","N/A","N/A","N/A","N/A",,"No","N/A","RetailEZ Pvt Ltd"
