"Display Order","Product Details","ASIN","URL","Image URL","Brand","Price  ₹","Sales","Variation Sales Strength (1 - 10)","Recent Purchases","Revenue","Title Char. Count","BSR","Seller Country/Region","Fees  ₹","Active Sellers","Ratings","Review Count","Images","Review velocity","Buy Box","Category","Size Tier","Fulfillment","Dimensions","Weight","ABA Most Clicked","Creation Date","Sponsored","Best Seller","Seller Age (mo)","Seller"
1.,"Mop Heavy Quality Floor Mop with Bucket, Flexible Kitchen tap Flat Squeeze Cleaning Supplies 360 Flexible Head/2 Reusable Pads Clean Home Floor Cleaners","B0CBCMMPGZ","https://www.amazon.in/dp/B0CBCMMPGZ?psc=1","https://m.media-amazon.com/images/I/41YKYqPe4aL._SX466_.jpg","Swiffer",698,"N/A",0,"1,000","N/A",152,31,"N/A","N/A",1,4.8,"64,639","N/A","N/A","JENIL CREATION Mart","Home Improvement","N/A","FBA","N/A","N/A","N/A","N/A",,"No","N/A","JENIL CREATION Mart"
2.,"Spotzero By Milton Spin Mop Spares Set Handle with Microfibers Refill(Compatible with Prime, E-Elite, Classic, Ace Mops)","B07GLZ22LZ","https://www.amazon.in/dp/B07GLZ22LZ?psc=1","https://m.media-amazon.com/images/I/613CchtgGsL._SY450_.jpg","Spotzero By Milton",549,"N/A",0,"N/A","N/A",120,32,"N/A","N/A",2,3.6,"9,590","N/A","N/A","Clicktech Retail Private Ltd","Home Improvement","N/A","FBA","N/A","N/A","N/A","N/A",,"No","N/A","Clicktech Retail Private Ltd"
3.,"Inuvik Microfiber Wet & Dry Cotton Pad Floor Mop 75x14x6(18-Inch Head) with 4 Feet Telescopic handle Floor Cleaning Mop Home Office Hotels Hospitals(Set of 1)(18 INCH Full Set)","B0CK5MJNXG","https://www.amazon.in/dp/B0CK5MJNXG?psc=1","https://m.media-amazon.com/images/I/61nJIzFfUGL._SY355_.jpg","Inuvik",498.99,"N/A",0,"1,000","N/A",176,126,"N/A","N/A",1,4.2,"1,172","N/A","N/A","LIVRONIC®","Home Improvement","N/A","FBA","N/A","N/A","N/A","N/A",,"No","N/A","LIVRONIC®"
4.,"AGARO Delite Spray Mop for Dry and Wet Floor Cleaning with Washable Microfiber Pad - with 800ml Refillable Bottle for Wooden Floor, Hardwood, Marble, Laminate, Ceramic Tiles, and for Dust Cleaning","B0FZVMV3X3","https://www.amazon.in/dp/B0FZVMV3X3?psc=1","https://m.media-amazon.com/images/I/51RYTEibd+L._SX569_.jpg","AGARO",899,"N/A",0,"1,000","N/A",196,134,"N/A","N/A",2,4.4,42,"N/A","N/A","Clicktech Retail Private Ltd","Home Improvement","N/A","FBA","N/A","N/A","N/A","N/A",,"No","N/A","Clicktech Retail Private Ltd"
5.,"Livronic® Plastic Wet and Dry Cotton Floor Mop with 4Ft Long Handle with 360 Degree Movement Which Allows You to Clean Every Corners Easily with 3 Extra Microfiber Refill (Head 18-in, L) 3Extra Pad","B092F47Y2C","https://www.amazon.in/dp/B092F47Y2C?psc=1","https://m.media-amazon.com/images/I/81Vwd7bt5EL._SX425_.jpg","Livronic",797.99,"N/A",0,"1,000","N/A",197,143,"N/A","N/A",1,4.2,"1,241","N/A","N/A","LIVRONIC®","Home Improvement","N/A","FBA","N/A","N/A","N/A","N/A",,"No","N/A","LIVRONIC®"
6.,"Esquire 360° Bucket Spin Mop Stick (Blue) with Microfiber Refill","B0B6JH8P5B","https://www.amazon.in/dp/B0B6JH8P5B?psc=1","https://m.media-amazon.com/images/I/51fgqTcyrpL._SY355_.jpg","Esquire",379,"N/A",0,"1,000","N/A",64,172,"N/A","N/A",1,3.8,"2,380","N/A","N/A","Clicktech Retail Private Ltd","Home Improvement","N/A","FBA","N/A","N/A","N/A","N/A",,"No","N/A","Clicktech Retail Private Ltd"
7.,"Amazon Brand – Presto! Clean Steel Spin Mop | Plastic & Stainless Steel | 2 Microfiber Refills | Big Wheels with Drag Handle | 360° Spin | Telescopic Handle | Chestnut","B0FG35W5PT","https://www.amazon.in/dp/B0FG35W5PT?psc=1","https://m.media-amazon.com/images/I/61bwsdToxnL._SY355_.jpg","Presto!","1,149","N/A",0,400,"N/A",167,16,"N/A","N/A",1,4,"6,540","N/A","N/A","Clicktech Retail Private Ltd","Home Improvement","N/A","FBA","N/A","N/A","N/A","N/A",,"No","N/A","Clicktech Retail Private Ltd"
8.,"Chakaachak Swift Deck Mop for Floor Cleaning | Lightweight for Wet & Dry Use | Heavy-Duty | with Long Handle | Best Mop for Home, Office, Tile, Marble & Wooden Floor Cleaning","B0C8BLLJHV","https://www.amazon.in/dp/B0C8BLLJHV?psc=1","https://m.media-amazon.com/images/I/51kf+3UCe0L._SX466_.jpg","Chakaachak",179,"N/A",0,"2,000","N/A",174,202,"N/A","N/A",1,3.8,495,"N/A","N/A","Clicktech Retail Private Ltd","Home Improvement","N/A","FBA","N/A","N/A","N/A","N/A",,"No","N/A","Clicktech Retail Private Ltd"
9.,"Premium Microfiber Floor Cleaning Mop | 360° Spin Twist Mop with Adjustable Handle | Super Absorbent Cotton Head for Wet & Dry Cleaning | Reusable & Easy to Wash (D02)","B0GLJYDXDK","https://www.amazon.in/dp/B0GLJYDXDK?psc=1","https://m.media-amazon.com/images/I/713uFx+88jL._SX466_.jpg","DIVIDEX STORE",299,"N/A",0,"N/A","N/A",167,212,"N/A","N/A",1,4.1,30,"N/A","N/A","TADHANI ENTERPRISE","Home Improvement","N/A","FBA","N/A","N/A","N/A","N/A",,"No","N/A","TADHANI ENTERPRISE"
10.,"Raxon Innovation Stainless Steel Microfiber Floor Cleaning Spin Mop with Removable Washable Cleaning Pad and Integrated Water Mechanism for Floor, Multicolour","B0CX8W68P3","https://www.amazon.in/dp/B0CX8W68P3?psc=1","https://m.media-amazon.com/images/I/61YT6h-pDBL._SX522_.jpg","Raxon Innovation",494,"N/A",0,500,"N/A",158,262,"N/A","N/A",1,3.6,540,"N/A","N/A","Clicktech Retail Private Ltd","Home Improvement","N/A","FBA","N/A","N/A","N/A","N/A",,"No","N/A","Clicktech Retail Private Ltd"
11.,"Gala PVA Sponge Squeeze Mop – Built-In Squeegee, Super Absorbent Roller, Telescopic Handle for Kitchen, Bathroom & Floor Cleaning","B00INQMR4U","https://www.amazon.in/dp/B00INQMR4U?psc=1","https://m.media-amazon.com/images/I/51j6us2EWiL._SY450_.jpg","Gala",799,"N/A",0,"1,000","N/A",129,287,"N/A","N/A",2,3.9,"6,664","N/A","N/A","Clicktech Retail Private Ltd","Home Improvement","N/A","FBA","N/A","N/A","N/A","N/A",,"No","N/A","Clicktech Retail Private Ltd"
12.,"YOUSHANGJIA Spin Mop Stick for Floor Cleaning Without Bucket with 360 Degree Stick Mop & 42 Inch Extendable Handle Rod Replace Old Pocha with Easy Mopping Cleaner for Home, Kitchen(Multicolor)","B0GNKHXVY7","https://www.amazon.in/dp/B0GNKHXVY7?psc=1","https://m.media-amazon.com/images/I/61dJI5+dNoL._SY450_.jpg","YOUSHANGJIA",298,"N/A",0,"N/A","N/A",192,311,"N/A","N/A",1,4.5,"1,976","N/A","N/A","DD Group","Home Improvement","N/A","FBA","N/A","N/A","N/A","N/A",,"No","N/A","DD Group"
13.,"MinuteToCleanIt Flat Mop for Floor Cleaning with Built in Spray | Floor Cleaner Magic Mop for Glass, Wall, Tile and Home | Wet & Dry Use | 360° Rotation | 2 Microfiber Refill Pads | 34 Cm Head, Blue","B0CV5NPP2S","https://www.amazon.in/dp/B0CV5NPP2S?psc=1","https://m.media-amazon.com/images/I/71f+G4mJ5iL._SY355_.jpg","MinuteToCleanIt","1,397","N/A",0,500,"N/A",198,433,"N/A","N/A",2,4,781,"N/A","N/A","MinuteToCleanIt","Home Improvement","N/A","FBA","N/A","N/A","N/A","N/A",,"No","N/A","MinuteToCleanIt"
14.,"Primeway® Stainless Steel Spin Mop Replacement Floor Cleaning Spares Set | 127cm Extendable Handle/Stick Rod with Microfibre Refill | 38cm | Grey","B0G5Q7Y4ND","https://www.amazon.in/dp/B0G5Q7Y4ND?psc=1","https://m.media-amazon.com/images/I/51gs4MFnXtL._SX466_.jpg","Primeway",499,"N/A",0,500,"N/A",145,426,"N/A","N/A",1,4.2,42,"N/A","N/A","Prime World","Home Improvement","N/A","FBA","N/A","N/A","N/A","N/A",,"No","N/A","Prime World"
15.,"SR Microfiber Twist Mop for Floor Cleaning, Squeeze Twist Mop Stick, Durable Dust Easy to Use Floor Cleaner, Effective for Hardwood, Tile, and Laminate (Pack of 1)","B0G3KQNQDN","https://www.amazon.in/dp/B0G3KQNQDN?psc=1","https://m.media-amazon.com/images/I/510hbybv7JL._SY450_.jpg","THE SR BRAND",319,"N/A",0,500,"N/A",163,455,"N/A","N/A",1,4.3,117,"N/A","N/A","Clicktech Retail Private Ltd","Home Improvement","N/A","FBA","N/A","N/A","N/A","N/A",,"No","N/A","Clicktech Retail Private Ltd"
16.,"Gala Chandra Deck Mop, mop stick for floor cleaning, Mop Stick (Blue)","B0753JTZ5B","https://www.amazon.in/dp/B0753JTZ5B?psc=1","https://m.media-amazon.com/images/I/61yU2t1epDL._SX679_.jpg","Gala",210,"N/A",0,500,"N/A",69,466,"N/A","N/A",1,3.4,"5,362","N/A","N/A","Clicktech Retail Private Ltd","Home Improvement","N/A","FBA","N/A","N/A","N/A","N/A",,"No","N/A","Clicktech Retail Private Ltd"
17.,"AGARO Regency Electric Spin Mop for Floor Cleaning, Mopping, Automatic Wet Mopper, Cordless, Adjustable Handle, Water Sprayer, Lightweight, for Wooden, Tiles & Hard Floors, Home, Kitchen & Office use","B0CMWY4XHQ","https://www.amazon.in/dp/B0CMWY4XHQ?psc=1","https://m.media-amazon.com/images/I/71b34IlbyCL._SX522_.jpg","AGARO","3,799","N/A",0,500,"N/A",199,485,"N/A","N/A",3,3.8,"1,789","N/A","N/A","Clicktech Retail Private Ltd","Home Improvement","N/A","FBA","N/A","N/A","N/A","N/A",,"No","N/A","Clicktech Retail Private Ltd"
