"Display Order","Product Details","ASIN","URL","Image URL","Brand","Price  ₹","Sales","Variation Sales Strength (1 - 10)","Recent Purchases","Revenue","Title Char. Count","BSR","Seller Country/Region","Fees  ₹","Active Sellers","Ratings","Review Count","Images","Review velocity","Buy Box","Category","Size Tier","Fulfillment","Dimensions","Weight","ABA Most Clicked","Creation Date","Sponsored","Best Seller","Seller Age (mo)","Seller"
1.,"NutriPro Juicer Mixer Grinder - Smoothie Maker - 500 Watts (2 Jars & 1 Blade, Silver) - 2 Year Warranty","B09J2T124D","https://www.amazon.in/dp/B09J2T124D?psc=1","https://m.media-amazon.com/images/I/71rH4vEE4nL._SY450_.jpg","nutripro","1,599","N/A",0,"10,000","N/A",103,8,"N/A","N/A",1,4.4,"26,573","N/A","N/A","Appliance E-shop","Home & Kitchen","N/A","FBA","N/A","N/A","N/A","N/A",,"No","N/A","Appliance E-shop"
2.,"Wonderchef Nutri-blend 500W Mixer Grinder, 22000 RPM Motor, Smoothie Maker, Masala Grinder, Chutney Blender, 3 Unbreakable Jars, Recipe Book by Chef Sanjeev Kapoor, 2 Yr Warranty, Black","B00W56GLOQ","https://www.amazon.in/dp/B00W56GLOQ?psc=1","https://m.media-amazon.com/images/I/61ahYEIq8aL._SX679_.jpg","Wonderchef","2,299","N/A",0,"1,000","N/A",185,465,"N/A","N/A",2,3.9,"42,219","N/A","N/A","RetailEZ Pvt Ltd","Home & Kitchen","N/A","FBA","N/A","N/A","N/A","N/A",,"No","N/A","RetailEZ Pvt Ltd"
3.,"Portable Blender Electric Juicers Fruit Mixers USB Rechargeable Smoothie Mini Personal Juicer 6 Blades 3Gears With 1500 Mah Rechargeable Battery-Smoothie Blender (Style1)","B0GP18D64R","https://www.amazon.in/dp/B0GP18D64R?psc=1","https://m.media-amazon.com/images/I/715bLTUaxAL._SY355_.jpg","BELOXY",599,"N/A",0,"N/A","N/A",170,870,"N/A","N/A",1,5,13,"N/A","N/A","JAY  BHAVANI  ENTERPRISE","Home & Kitchen","N/A","FBA","N/A","N/A","N/A","N/A",,"No","N/A","JAY  BHAVANI  ENTERPRISE"
4.,"Sujata Powermatic Maxima Juicer Mixer Grinder|900 Watts Double Ball Bearing Motor|22000 RPM|Non-Stop 90 Mins Running|3 Jars including 1750ml Blender, 1000ml Grinder, 500ml Chutney Jar| (White)","B0CKHQC9YM","https://www.amazon.in/dp/B0CKHQC9YM?psc=1","https://m.media-amazon.com/images/I/51sy8+JlqAL._SX679_.jpg","Sujata","6,840","N/A",0,"2,000","N/A",192,903,"N/A","N/A",11,4.5,"9,827","N/A","N/A","CloudNine India","Home & Kitchen","N/A","FBA","N/A","N/A","N/A","N/A",,"No","N/A","CloudNine India"
5.,"Blender Mixer Grinder | Mini Blender for Smoothies & Juices | 2-Jar Capacity (500ml*2) | 230W | 6 Blade || Type-C Charging & Battery Indicator | Auto-Stop After 40s (White)","B0G2LMNQVJ","https://www.amazon.in/dp/B0G2LMNQVJ?psc=1","https://m.media-amazon.com/images/I/71tV3Us4pNL._SY450_.jpg","SUPERSTUD",999,"N/A",0,900,"N/A",172,966,"N/A","N/A",1,4.3,172,"N/A","N/A","AENTERPRISE","Home & Kitchen","N/A","FBA","N/A","N/A","N/A","N/A",,"No","N/A","AENTERPRISE"
6.,"Portable 6-Blade Juicer Blender with Built-In Jar Juice Mixer Bottle, Fruit Juice Machine, USB Rechargeable Personal Size Juicer Grinder for Juices, Kitchen Appliance for Milk Shakes (Multi Colour)","B0GDFBGBHJ","https://www.amazon.in/dp/B0GDFBGBHJ?psc=1","https://m.media-amazon.com/images/I/611LMxKWrML._SX679_.jpg","Generic",299,"N/A",0,100,"N/A",197,"1,424","N/A","N/A",1,5,13,"N/A","N/A","ADALINES WARDROBE","Home & Kitchen","N/A","FBA","N/A","N/A","N/A","N/A",,"No","N/A","ADALINES WARDROBE"
7.,"Sujata Multimix Juicer Mixer Grinder|900 Watts Double Ball Bearing Motor|22000 RPM|Non-Stop 90 Mins Running|3 Jars including 1750ml Blender with Coconut Milk Extractor, 1000ml, 500ml Jar| (White)","B07QSBVGFH","https://www.amazon.in/dp/B07QSBVGFH?psc=1","https://m.media-amazon.com/images/I/51-Zt0r-OwL._SY355_.jpg","Sujata","7,840","N/A",0,800,"N/A",195,"1,704","N/A","N/A",4,4.5,"3,537","N/A","N/A","CloudNine India","Home & Kitchen","N/A","FBA","N/A","N/A","N/A","N/A",,"No","N/A","CloudNine India"
8.,"Wonderchef Nutri-blend Activ Mixer Grinder Blender, Smoothie Maker, 500W 22000 RPM 100% Full Copper Motor, 2 Unbreakable Jars, SS Blades, 2 Year Warranty, Recipe book by Chef Sanjeev Kapoor, Red","B0CRVSFL3T","https://www.amazon.in/dp/B0CRVSFL3T?psc=1","https://m.media-amazon.com/images/I/61Z152Va5oL._SY355_.jpg","Wonderchef","1,799","N/A",0,500,"N/A",194,"1,719","N/A","N/A",2,3.7,"2,639","N/A","N/A","RetailEZ Pvt Ltd","Home & Kitchen","N/A","FBA","N/A","N/A","N/A","N/A",,"No","N/A","RetailEZ Pvt Ltd"
9.,"Sujata Powermatic Plus Juicer Mixer Grinder|900 Watts Double Ball Bearing Motor|22000 RPM|Non-Stop 90 Mins Running|2 Jars including 1750ml Blender, 1000ml Grinder Jar| (White)","B071113J7M","https://www.amazon.in/dp/B071113J7M?psc=1","https://m.media-amazon.com/images/I/51pM9wCDRiL._SX466_.jpg","Sujata","6,290","N/A",0,600,"N/A",175,"1,777","N/A","N/A",14,4.4,"14,697","N/A","N/A","Trust Retail","Home & Kitchen","N/A","FBA","N/A","N/A","N/A","N/A",,"No","N/A","Trust Retail"
10.,"Etekcity Portable Nail Drill Professional Portable 380ML 6 Blade J-u-!-c-e-r with Home Outdoor USB Rechargeable Mini Hand Fruit for Home Outdoor","B0GCNMYJ7H","https://www.amazon.in/dp/B0GCNMYJ7H?psc=1","https://m.media-amazon.com/images/I/71VwgnuCtWL._SX466_.jpg","Etekcity",349,"N/A",0,700,"N/A",144,"2,068","N/A","N/A",3,4.6,"51,382","N/A","N/A","DIPU TRADER","Home & Kitchen","N/A","FBA","N/A","N/A","N/A","N/A",,"No","N/A","DIPU TRADER"
11.,"AGARO Regal Nutri Blender with 3 Jars, 400 Watts Personal Blender with 100% Copper Motor, 2 Stainless Steel Blades, Smoothie Maker, Masala Grinder, Use for Milkshakes, Juices & Chutney, Red & Black","B0C6TWHVLZ","https://www.amazon.in/dp/B0C6TWHVLZ?psc=1","https://m.media-amazon.com/images/I/71vCBEGEQjL._SX466_.jpg","AGARO","2,099","N/A",0,900,"N/A",197,"2,271","N/A","N/A",5,3.9,835,"N/A","N/A","Online_megastore","Home & Kitchen","N/A","FBA","N/A","N/A","N/A","N/A",,"No","N/A","Online_megastore"
12.,"Preethi MiniBlend - Compact Blender & Juicer for Lump Free Purees & Smoothies | 25, 000 RPM | Two Razor sharp Ninja blades, Two Leak-proof Jars with Sipper & Storage Lids | Free Lifelong Service","B08L46ZKKZ","https://www.amazon.in/dp/B08L46ZKKZ?psc=1","https://m.media-amazon.com/images/I/61qNGrsRiKL._SY450_.jpg","‎Preethi","2,299","N/A",0,600,"N/A",194,"2,646","N/A","N/A",2,4,290,"N/A","N/A","RetailEZ Pvt Ltd","Home & Kitchen","N/A","FBA","N/A","N/A","N/A","N/A",,"No","N/A","RetailEZ Pvt Ltd"
13.,"Kilig Vortex Next 380W Three Blend Modes Portable Blender for Smoothie and Juices, 6000 mAh Battery, 2in1 700ml Jar, 22000RPM, 6 Sided Blade, USB Type C, Juicer, Mixer, Blender Machine for Kitchen","B0FNMQN17Y","https://www.amazon.in/dp/B0FNMQN17Y?psc=1","https://m.media-amazon.com/images/I/619RErN0JLL._SX466_.jpg","KILIG","2,490","N/A",0,300,"N/A",196,"2,828","N/A","N/A",1,4.2,479,"N/A","N/A","RetailEZ Pvt Ltd","Home & Kitchen","N/A","FBA","N/A","N/A","N/A","N/A",,"No","N/A","RetailEZ Pvt Ltd"
14.,"OWNAIR Portable Blender | Smoothie & Juice Maker | 180W Blender Mixer Grinder | 5000mAh Rechargeable Portable Juicer | 450ml High Borosilicate Glass Jar | Baby Food & Smoothie Maker | Grey & Purple","B0D3F873GH","https://www.amazon.in/dp/B0D3F873GH?psc=1","https://m.media-amazon.com/images/I/71pdO5Q126L._SY450_.jpg","OWNAIR","2,698","N/A",0,400,"N/A",197,"3,142","N/A","N/A",1,4.7,"1,226","N/A","N/A","OWNAIR LIFESTYLE PVT LTD","Home & Kitchen","N/A","FBA","N/A","N/A","N/A","N/A",,"No","N/A","OWNAIR LIFESTYLE PVT LTD"
15.,"Kuvings New 2025 Nutri Blender PRO 2.0 Ferrari Red, Powerful 1000 W Motor, Upgraded 2 Blade Set for Wet & Dry, 2 Jars, Longest Warranty 7 Yrs, Mixer/Grinder/Smoothie Maker","B0FNQS4RRD","https://www.amazon.in/dp/B0FNQS4RRD?psc=1","https://m.media-amazon.com/images/I/71NP07gkDCL._SX450_.jpg","kuvings","4,999","N/A",0,700,"N/A",171,"2,687","N/A","N/A",1,4.7,"2,734","N/A","N/A","Frootle India Pvt. Ltd.","Home & Kitchen","N/A","FBA","N/A","N/A","N/A","N/A",,"No","N/A","Frootle India Pvt. Ltd."
