"Display Order","Product Details","ASIN","URL","Image URL","Brand","Price  ₹","Sales","Variation Sales Strength (1 - 10)","Recent Purchases","Revenue","Title Char. Count","BSR","Seller Country/Region","Fees  ₹","Active Sellers","Ratings","Review Count","Images","Review velocity","Buy Box","Category","Size Tier","Fulfillment","Dimensions","Weight","ABA Most Clicked","Creation Date","Sponsored","Best Seller","Seller Age (mo)","Seller"
1.,"AGARO Signify Handheld Garment Steamer, Wrinkle Remover, Iron, Fast Heat, Ceramic Steam Nozzle, 1500W, 260 ML Water Tank, Detachable Fabric Brush","B0B97VX3TB","https://www.amazon.in/dp/B0B97VX3TB?psc=1","https://m.media-amazon.com/images/I/71RMc2gIneL._SY355_.jpg","AGARO","2,253","N/A",0,500,"N/A",145,"1,228","N/A","N/A",3,3.7,"2,207","N/A","N/A","RetailEZ Pvt Ltd","Home & Kitchen","N/A","FBA","N/A","N/A","N/A","N/A",,"No","N/A","RetailEZ Pvt Ltd"
2.,"Portable Micro Steam iron, green iron Handheld Garment Steamer, Dry And Wet Wrinkles Removing Lightweight Steamer for Home Office, Fast Heat Mini Ironing Machine","B0GCDF18CP","https://www.amazon.in/dp/B0GCDF18CP?psc=1","https://m.media-amazon.com/images/I/51l0FG6rSLL._SY355_.jpg","SHRI BAJRANG",399,"N/A",0,100,"N/A",161,"9,299","N/A","N/A",1,3,2,"N/A","N/A","SHRI BAJRANG AGENCY","Home & Kitchen","N/A","FBA","N/A","N/A","N/A","N/A",,"No","N/A","SHRI BAJRANG AGENCY"
3.,"AGARO Regal Mini Garment Steamer, 1200 Watts, Wrinkle Remover, Fast Heating, Scratch Resistant Titanium Coated Plate, 2In1 Horizontal Vertical Use","B0DP51299C","https://www.amazon.in/dp/B0DP51299C?psc=1","https://m.media-amazon.com/images/I/51PR3uXMn5L._SY450_.jpg","AGARO","1,899","N/A",0,300,"N/A",146,"10,851","N/A","N/A",3,3.9,174,"N/A","N/A","RetailEZ Pvt Ltd","Home & Kitchen","N/A","FBA","N/A","N/A","N/A","N/A",,"No","N/A","RetailEZ Pvt Ltd"
4.,"Black+Decker Steam Iron | 2 Years Warranty | Garment Steamer for Clothes, 1500-Watt, 260ml Water Tank, Steamer for Ironing Clothes, Steam Press for Clothes, Handheld Portable Garment Steamer (Violet)","B07WVQG8WZ","https://www.amazon.in/dp/B07WVQG8WZ?psc=1","https://m.media-amazon.com/images/I/61VaVR7zvcL._SY879_.jpg","BLACK+DECKER","2,440","N/A",0,200,"N/A",199,"13,257","N/A","N/A",3,3.8,"2,254","N/A","N/A","@ BuyBox","Home & Kitchen","N/A","FBA","N/A","N/A","N/A","N/A",,"No","N/A","@ BuyBox"
5.,"AGARO Regency Handheld Garment Steamer, Wrinkle Remover, Iron, Fast Heat, 1200W, 250 ml Water Tank, Detachable Fabric Brush","B0DJMDJBMG","https://www.amazon.in/dp/B0DJMDJBMG?psc=1","https://m.media-amazon.com/images/I/61nPKJ5sfDL._SY450_.jpg","AGARO","1,899","N/A",0,400,"N/A",123,"14,277","N/A","N/A",2,4,139,"N/A","N/A","RetailEZ Pvt Ltd","Home & Kitchen","N/A","FBA","N/A","N/A","N/A","N/A",,"No","N/A","RetailEZ Pvt Ltd"
6.,"XECH Steamgun Garment Steamer for Clothes | Steam Iron for Travel & Home | Standing Hand Steamer with Vertical & Horizontal Ironing | 1200W Fabric Steaming Machine | Stainless Steel Plate, 170ml Tank","B0D6YSC98P","https://www.amazon.in/dp/B0D6YSC98P?psc=1","https://m.media-amazon.com/images/I/51l5ZT+TEGL._SY450_.jpg","Xech","1,549","N/A",0,50,"N/A",199,"16,467","N/A","N/A",1,4.1,233,"N/A","N/A","XECH TECHNOLOGIES PVT LTD","Home & Kitchen","N/A","FBA","N/A","N/A","N/A","N/A",,"No","N/A","XECH TECHNOLOGIES PVT LTD"
7.,"Bear® Professional Garment Steamer, Steam Iron for Clothes 1300 Watts Fast Heat-up Portable Steam Iron Cloth Wrinkles Remover Built-in Aromatherapy Box with Brush","B0C6ZFNVRZ","https://www.amazon.in/dp/B0C6ZFNVRZ?psc=1","https://m.media-amazon.com/images/I/51Kjrb0jqKL._SX466_.jpg","Bear","2,499","N/A",0,50,"N/A",162,"22,642","N/A","N/A",1,3.9,"6,674","N/A","N/A","Bear indian Store","Home & Kitchen","N/A","FBA","N/A","N/A","N/A","N/A",,"No","N/A","Bear indian Store"
8.,"2 in 1 Handheld Steamer Iron for Clothes for Home and Facial Steamer Portable (multi color)","B07VT17CB1","https://www.amazon.in/dp/B07VT17CB1?psc=1","https://m.media-amazon.com/images/I/41h+3sBu78L._SX466_.jpg","Hetarmi",599,"N/A",0,50,"N/A",91,"23,089","N/A","N/A",1,3.1,11,"N/A","N/A","Hetarmi Enterprise","Home & Kitchen","N/A","FBA","N/A","N/A","N/A","N/A",,"No","N/A","Hetarmi Enterprise"
9.,"NexLev Handheld Garment Steamer | 1500 Watts | 300 ML| Standing & Horizontal Iron Press | Damage Free Steaming for all Cloth Types | 25s Quick Heat |Upto 5 Clothes in One Fill | Travel Friendly |GS-02","B0CDPMX152","https://www.amazon.in/dp/B0CDPMX152?psc=1","https://m.media-amazon.com/images/I/71+RZvglJ7L._SY450_.jpg","nexlev","2,199","N/A",0,100,"N/A",200,"17,347","N/A","N/A",2,4,453,"N/A","N/A","Cambium Retail Pvt. Ltd.","Home & Kitchen","N/A","FBA","N/A","N/A","N/A","N/A",,"No","N/A","Cambium Retail Pvt. Ltd."
10.,"Xiaomi Handheld Garment Steamer, Foldable travel steam iron for clothes, Vertical and Horizontal, Powerful 1300 Watt fast heat up, Kills 99.9%* bacteria, White","B0D1CM3SMP","https://www.amazon.in/dp/B0D1CM3SMP?psc=1","https://m.media-amazon.com/images/I/51s7jGvWfoL._SX425_.jpg","XIAOMI","N/A","N/A",0,"N/A","N/A",159,"33,853","N/A","N/A",1,4.1,"1,230","N/A","N/A",,"Home & Kitchen","N/A","N/A","N/A","N/A","N/A","N/A",,"No","N/A",
11.,"Portable Travel Garment Steamer, Steam Iron, Wrinkle Remover Machine For Cloths, 700 Watts, 700 Watts","B0F32G2BQW","https://www.amazon.in/dp/B0F32G2BQW?psc=1","https://m.media-amazon.com/images/I/41kMJ00uQWL._SX466_.jpg","AxrParv",797,"N/A",0,20,"N/A",101,"43,167","N/A","N/A",1,3.8,25,"N/A","N/A","homeki store","Home & Kitchen","N/A","FBA","N/A","N/A","N/A","N/A",,"No","N/A","homeki store"
12.,"2.6 L Sauna Steamer, Portable Sauna Generator for Sauna, Home SPA Fumigation Steam Machine with Touch Button, Timer Display and Remote Control","B0B6V975K8","https://www.amazon.in/dp/B0B6V975K8?psc=1","https://m.media-amazon.com/images/I/61b4q1vHZ4L._SX466_.jpg","HIGOSPRO","2,599","N/A",0,20,"N/A",142,"53,382","N/A","N/A",1,4.4,11,"N/A","N/A","veer teja enterprise ⭐⭐⭐⭐⭐","Home & Kitchen","N/A","FBA","N/A","N/A","N/A","N/A",,"No","N/A","veer teja enterprise ⭐⭐⭐⭐⭐"
13.,"Portable Handheld Steam Iron Machine, Ironing Mini Handheld Press Support Dry And Wet Cloths, Micro Steam Iron For Fabric Clothes, Garments For Home & Travel, Wrinkles Removing Steamer","B0DL5H1GJC","https://www.amazon.in/dp/B0DL5H1GJC?psc=1","https://m.media-amazon.com/images/I/61H1ean5WFL._SX569_.jpg","SHREE HANS CREATION",499,"N/A",0,"N/A","N/A",184,"77,098","N/A","N/A",3,2.1,11,"N/A","N/A","DS*ENTERPRISE","Home & Kitchen","N/A","FBA","N/A","N/A","N/A","N/A",,"No","N/A","DS*ENTERPRISE"
14.,"ROSSMANN Steam Iron, Powerful 1800 Watts Garment Steamer, Auto-Shutoff, Horizontal & Vertical Use, Heated Ceramic Sole Plate, 300 ML Removeable Water Tank, 2 Level Digital Touch Control (BG545)","B0DYPD9R6D","https://www.amazon.in/dp/B0DYPD9R6D?psc=1","https://m.media-amazon.com/images/I/51tCKK99W4L._SY606_.jpg","ROSSMANN","2,699","N/A",0,"N/A","N/A",193,"79,408","N/A","N/A",1,4,644,"N/A","N/A","Rossmann® India","Home & Kitchen","N/A","FBA","N/A","N/A","N/A","N/A",,"No","N/A","Rossmann® India"
15.,"AHP Steam Generator for Steam Therapy & Sauna – 2.6L Home Spa Portable Steam Pot with Timer & Digital Display, Body Detox Fumigation Machine for Steam Bath Box, Wooden Barrel & Bathtub","B0GGTNPX3L","https://www.amazon.in/dp/B0GGTNPX3L?psc=1","https://m.media-amazon.com/images/I/61TKtDGsCqL._SX679_.jpg","AHP-Acupressure Health Point","N/A","N/A",0,"N/A","N/A",184,"88,608","N/A","N/A",1,2.5,2,"N/A","N/A",,"Home & Kitchen","N/A","N/A","N/A","N/A","N/A","N/A",,"No","N/A",
