"Display Order","Product Details","ASIN","URL","Image URL","Brand","Price  ₹","Sales","Variation Sales Strength (1 - 10)","Recent Purchases","Revenue","Title Char. Count","BSR","Seller Country/Region","Fees  ₹","Active Sellers","Ratings","Review Count","Images","Review velocity","Buy Box","Category","Size Tier","Fulfillment","Dimensions","Weight","ABA Most Clicked","Creation Date","Sponsored","Best Seller","Seller Age (mo)","Seller"
1.,"pTron Newly Launched Fusion Tunes 10W Mini Bluetooth Speaker with Wireless Karaoke Mic, 8Hrs Playtime, Vivid RGB Lights, Voice Effects, Multi-Play Modes BT5.1/TF Card & Type-C Charging Port (Black)","B0D772K8X8","https://www.amazon.in/dp/B0D772K8X8?psc=1","https://m.media-amazon.com/images/I/61Lgfcc+o-L._SX466_.jpg","pTron",899,"16,432",0,"3,000","15,643,107.3",197,147,"N/A","N/A",1,4,"5,203",8,241,"Clicktech Retail Private Ltd","Electronics","Standard Size","FBA","15.00 x 8.90 x 14.10 cm",0.49,"N/A","Jun 15, 2024",,"No",20,"Clicktech Retail Private Ltd"
2.,"UltraProlink Sing Along Portable Bluetooth Karaoke Mixer | with Recording | with Karaoke Microphone & Bluetooth Receiver Amplifier with Echo for Mobile Phones | Sing Along | UM1002","B07XGRH6S9","https://www.amazon.in/dp/B07XGRH6S9?psc=1","https://m.media-amazon.com/images/I/51mIrBP3dnL._SX466_.jpg","ULTRAPROLINK","2,499",296,0,100,"938,425.51",180,218,"N/A",504.91,1,3.7,"2,112",6,15,"Add Ons","Musical Instruments","Standard Size","FBA","26.50 x 5.90 x 20.70 cm",0.5,"N/A","Sep 7, 2019",,"No",77,"Add Ons"
3.,"Portronics 25W Apollo 20 Wireless Bluetooth Portable Speaker with Dual Wireless Karaoke Mic, 5 Hour Playtime, RGB LED Light, Bluetooth V5.4, Easy Grab Handle, USB-A Port, Type C Charging(Black)","B0FGDJLJ2R","https://www.amazon.in/dp/B0FGDJLJ2R?psc=1","https://m.media-amazon.com/images/I/71l8r-DUxPL._SX522_.jpg","Portronics","2,549",492,0,200,"1,276,992.6",193,244,"N/A",707.21,3,3.5,278,8,17,"Clicktech Retail Private Ltd","Musical Instruments","Standard Size","FBA","27.90 x 13.70 x 17.50 cm",1.63,"N/A","Jul 2, 2025",,"No",7,"Clicktech Retail Private Ltd"
4.,"Audio Array AM-W18 Wireless Karaoke Speaker with Microphone | Portable Bluetooth Speaker for Singing & Gifting with Voice Changer | Upto 8+ Hours of Playback | Bluetooth v5.3, SD Card & AUX in (Pink)","B0CM9HYVDM","https://www.amazon.in/dp/B0CM9HYVDM?psc=1","https://m.media-amazon.com/images/I/718tpQCKZzL._SX522_.jpg","Audio Array","1,196",227,0,100,"263,990.77",199,258,"N/A",335.78,3,4.4,216,9,12,"Cocoblu Retail","Musical Instruments","Standard Size","FBA","14.70 x 9.60 x 11.00 cm",0.47,"N/A","Nov 1, 2023",,"No",27,"Cocoblu Retail"
5.,"Mini Karaoke Machine for Kids Adults, Portable Bluetooth Speaker with 2 Wireless Microphones, Christmas Birthday Gifts Toys for Girls Ages 4, 5, 6, 7, 8, 9, 10, 11, 12+ Years Old Toddler(Light Pink)","B0DM1XBDMS","https://www.amazon.in/dp/B0DM1XBDMS?psc=1","https://m.media-amazon.com/images/I/81jD+9PrYbL._SY355_.jpg","BONAOK","1,799",248,0,30,"482,868.14",198,448,"N/A",581.54,1,4.2,858,9,23,"BONAOK-IN","Musical Instruments","Standard Size","FBA","14.30 x 10.10 x 11.60 cm",0.52,"N/A","Nov 5, 2024",,"No",15,"BONAOK-IN"
6.,"Karaoke Machine, Portable Bluetooth Speaker with 2 Wireless Microphones for Adults & Kids with Lights, Karaoke Microphone with PA System Supports USB/TF/FM/AUX for Home Party Home System Packages","B0FPMDDZBT","https://www.amazon.in/dp/B0FPMDDZBT?psc=1","https://m.media-amazon.com/images/I/81hPxYWQL6L._SY355_.jpg","BONAOK","5,999",99,0,50,"595,049.9",195,547,"N/A","1,054.79",1,4.2,440,9,3,"BONAOK-IN Direct","Musical Instruments","Standard Size","FBA","31.50 x 16.30 x 26.00 cm",1.96,"N/A","Sep 3, 2025",,"No",5,"BONAOK-IN Direct"
7.,"Portronics Rumble 25W Portable Bluetooth Speaker with Wired Karaoke Mic, Upto 5 Hours Playtime, Bluetooth V5.3, Dual Dynamic Driver, TF Card Slot, AUX in/USB in Port, Type C Fast Charging(Black)","B0FLQJZMSG","https://www.amazon.in/dp/B0FLQJZMSG?psc=1","https://m.media-amazon.com/images/I/7148FjYxMnL._SX522_.jpg","Portronics","1,699",141,0,50,"239,424.34",194,577,"N/A",441.23,3,2.7,11,8,7,"Clicktech Retail Private Ltd","Musical Instruments","Standard Size","FBA","43.70 x 16.00 x 17.70 cm",1.74,"N/A","Aug 8, 2025",,"No",6,"Clicktech Retail Private Ltd"
8.,"Karaoke Machine, Portable Bluetooth Karaoke Speaker with 2 Wireless Microphones, PA System for Adults Kids with LED Lights & Echo Adjustment, Supports TWS/TF/USB/AUX for Home Party","B0FPQQ3QHR","https://www.amazon.in/dp/B0FPQQ3QHR?psc=1","https://m.media-amazon.com/images/I/81P-wFz-IYL._SX425_.jpg","BONAOK","6,999",75,0,30,"521,316.32",180,862,"N/A","1,276.63",1,4.4,812,9,8,"BONAOK-IN Direct","Musical Instruments","Standard Size","FBA","43.40 x 16.60 x 27.80 cm",3.02,"N/A","Sep 4, 2025",,"No",5,"BONAOK-IN Direct"
9.,"Wembley Karaoke Mic with Speaker for Singing Rechargeable Wireless Mini Portable Bluetooth Speaker Karaoke System for Home with Microphone & LED Lights Birthday Gift for Kids Toys for Girls Boys Adult","B0DRPCK38G","https://www.amazon.in/dp/B0DRPCK38G?psc=1","https://m.media-amazon.com/images/I/61DKJh1jxSL._SX679_.jpg","Wembley",599,4,0,50,"2,468.43",200,894,"N/A","N/A",1,4,47,8,5,"Whole9Yards","Musical Instruments","Standard Size","FBA","13.80 x 7.70 x 13.40 cm",0.54,"N/A","Dec 27, 2024",,"No",14,"Whole9Yards"
10.,"ZEBRONICS GINOX Plus Party Trolley DJ Speaker, 160W, Upto 10H Battery, Karaoke, BT V5.0 | TWS | USB | Msd | 2X Mic & Guitar Input | Aux in/Out, RGB LED, 12Full Range Driver, with 2X UHF Wireless Mic, Black","B0DG8NC5P1","https://www.amazon.in/dp/B0DG8NC5P1?psc=1","https://m.media-amazon.com/images/I/81W2k6dJDoL._SX679_.jpg","ZEBRONICS","19,999",58,0,"N/A","1,167,271.01",205,962,"N/A","3,274.37",1,3.9,30,7,2,"Clicktech Retail Private Ltd","Musical Instruments","Standard Size","FBA","72.50 x 39.00 x 39.50 cm",17.85,"N/A","Sep 6, 2024",,"No",17,"Clicktech Retail Private Ltd"
