"Display Order","Product Details","ASIN","URL","Image URL","Brand","Price  ₹","Sales","Variation Sales Strength (1 - 10)","Recent Purchases","Revenue","Title Char. Count","BSR","Seller Country/Region","Fees  ₹","Active Sellers","Ratings","Review Count","Images","Review velocity","Buy Box","Category","Size Tier","Fulfillment","Dimensions","Weight","ABA Most Clicked","Creation Date","Sponsored","Best Seller","Seller Age (mo)","Seller"
1.,"DIGIMORE Professional Cardioid Dynamic Microphone | Wired Mic with 20ft XLR Cable & Mic Holder | for Vocals, Singing, Karaoke, Live Performance, Studio, PA System, Stage, Recording (D-1020)","B0F6D49DNK","https://www.amazon.in/dp/B0F6D49DNK?psc=1","https://m.media-amazon.com/images/I/61y2seKd8XL._SX466_.jpg","DIGIMORE",699,"1,543",0,700,"1,333,082.75",189,18,"N/A","N/A",1,4,461,9,45,"Cocoblu Retail","Musical Instruments","Standard Size","FBA","25.80 x 7.90 x 13.90 cm",0.64,"N/A","Apr 25, 2025",,"No",10,"Cocoblu Retail"
2.,"MAONO XLR/USB Dynamic Microphone for Gaming PC, RGB Podcast Mic for YouTube with Software, Mute, Gain Knob, Volume Control, Boom Arm for YouTube Gaming, Singing, Recording, Streaming, PD200XS Black","B0D1YCG46T","https://www.amazon.in/dp/B0D1YCG46T?psc=1","https://m.media-amazon.com/images/I/61KTMJfv0hL._SX425_.jpg","MAONO","4,819",752,0,300,"3,528,442.95",197,43,"N/A",855.61,1,4.2,"3,004",9,86,"Cocoblu Retail","Musical Instruments","Standard Size","FBA","42.40 x 10.00 x 16.30 cm",1.1,"N/A","Apr 17, 2024",,"No",22,"Cocoblu Retail"
3.,"Zebronics MP100, Wired Microphone, 6.3mm, High Sensitivity Dynamic Mic, Cardioid Polar Pattern, for Karaoke | Speech | Stage | Wedding, 2.9 Meter Cable Length","B09ZKV5HSJ","https://www.amazon.in/dp/B09ZKV5HSJ?psc=1","https://m.media-amazon.com/images/I/61dSaGxfFHL._SX466_.jpg","ZEBRONICS",401,902,0,500,"339,849.85",158,66,"N/A",201.98,2,3.6,788,7,49,"Clicktech Retail Private Ltd","Musical Instruments","Standard Size","FBA","22.80 x 5.90 x 8.70 cm",0.27,"N/A","May 5, 2022",,"No",45,"Clicktech Retail Private Ltd"
4.,"PERSANG PK702 Wired Microphone for Karaoke, PA System, Dynamic Microphone, Clear Vocal Sound, Mic for Karaoke, Speech, Stage, Wedding | 2.5 Meter Cable Length with On/Off Switch (PK-702)","B0GD193LST","https://www.amazon.in/dp/B0GD193LST?psc=1","https://m.media-amazon.com/images/I/41iwAyTNWSL._SX466_.jpg","PERSANG",149,488,0,100,"96,242.43",186,103,"N/A",112.03,1,2.9,19,4,11,"PERSANG INDIA","Musical Instruments","Standard Size","FBA","25.70 x 6.10 x 11.50 cm",0.27,"N/A","Dec 29, 2025",,"No",2,"PERSANG INDIA"
5.,"Kreo Kast Dynamic Mic, XLR/USB, for Podcasting, Gaming, Streaming, Recording, Durable All Metal Body with Dynamic Mic with Cardioid Pickup Pattern, Focused Recording, Noise Filtering (Kast, Black)","B0D8TDZWTV","https://www.amazon.in/dp/B0D8TDZWTV?psc=1","https://m.media-amazon.com/images/I/61bE3t46lRL._SY450_.jpg","Kreo","4,999",240,0,50,"1,337,475.12",196,126,"N/A",877.79,2,4.3,160,9,3,"Clicktech Retail Private Ltd","Musical Instruments","Standard Size","FBA","32.60 x 12.00 x 25.10 cm",1.3,"N/A","Jul 4, 2024",,"No",19,"Clicktech Retail Private Ltd"
6.,"JBL Commercial CSHM10 Handheld Dynamic XLR Unidirectional Microphone With On/Off Switch (Cable Not Included) Black, Medium","B08SB7KG83","https://www.amazon.in/dp/B08SB7KG83?psc=1","https://m.media-amazon.com/images/I/61SyNfDoR8L._SX522_.jpg","JBL","1,499",333,0,200,"504,384.1",122,133,"N/A","N/A",2,4,"2,815",5,19,"Avyona","Musical Instruments","Standard Size","FBA","23.70 x 6.20 x 10.70 cm",0.32,"N/A","Jan 7, 2021",,"No",61,"Avyona"
7.,"Kadence K111 Wired Microphone with 10ft Cable & On/Off Switch | Cardioid Polar Pattern Mic for Karaoke, Singing, Speech & Stage Performances (6.3mm Jack)","B0F8B6KQ2H","https://www.amazon.in/dp/B0F8B6KQ2H?psc=1","https://m.media-amazon.com/images/I/61hhStaY9pL._SY450_.jpg","Kadence",199,201,0,100,"52,058.84",153,141,"N/A",141.53,1,3.3,116,6,11,"NoteKart","Musical Instruments","Standard Size","FBA","26.80 x 7.40 x 9.10 cm",0.32,"N/A","May 12, 2025",,"No",9,"NoteKart"
8.,"Sennheiser XS1 Dynamic Cardioid Vocal Microphone | Black | On/Off Switch | XLR Output | Includes Mic Clip & Protective Pouch | Ideal for Live Performances, Presentations & Rehearsals","B07GCHX2YS","https://www.amazon.in/dp/B07GCHX2YS?psc=1","https://m.media-amazon.com/images/I/418fKUPLFXL._SY741_.jpg","Sennheiser","2,790",295,0,200,"823,296.02",182,175,"N/A","N/A",3,4.3,"1,255",3,26,"Cocoblu Retail","Musical Instruments","Standard Size","FBA","22.60 x 6.20 x 7.40 cm",0.45,"N/A","Aug 11, 2018",,"No",90,"Cocoblu Retail"
9.,"HUMBLE Clip-On Lapel Collar Mic, Dynamic 3.5mm Microphone for Clear Voice Recording, Ideal for YouTube, Interviews & Vlogging, Compatible with Smartphones, PC & Laptop – 1.5 Meter","B08HD7JQHX","https://www.amazon.in/dp/B08HD7JQHX?psc=1","https://m.media-amazon.com/images/I/61UW-tMaoFL._SX466_.jpg","HUMBLE",199,210,0,100,"44,560.84",179,193,"N/A",139.16,1,3.4,"5,602",6,18,"Clicktech Retail Private Ltd","Musical Instruments","Standard Size","FBA","15.50 x 2.10 x 8.50 cm",0.01,"N/A","Sep 3, 2020",,"No",65,"Clicktech Retail Private Ltd"
10.,"FDUCE SL40+ Dynamic Podcast Microphone, USB/XLR Microphone kit for podcasting, Gaming&Streaming, Boom Arm Stand Dynamic Mic, Built-in Headphone Output, Mute Button, gain Button","B0CRYM5NLS","https://www.amazon.in/dp/B0CRYM5NLS?psc=1","https://m.media-amazon.com/images/I/61tXcBivvAL._SX679_.jpg","FDUCE","5,299",266,0,100,"1,452,987.89",176,200,"N/A",917.91,1,4.3,"2,520",9,55,"FDUCE IN","Musical Instruments","Standard Size","FBA","40.00 x 10.70 x 15.60 cm",1.41,"N/A","Jan 17, 2024",,"No",25,"FDUCE IN"
