"Display Order","Product Details","ASIN","URL","Image URL","Brand","Price  ₹","Sales","Variation Sales Strength (1 - 10)","Recent Purchases","Revenue","Title Char. Count","BSR","Seller Country/Region","Fees  ₹","Active Sellers","Ratings","Review Count","Images","Review velocity","Buy Box","Category","Size Tier","Fulfillment","Dimensions","Weight","ABA Most Clicked","Creation Date","Sponsored","Best Seller","Seller Age (mo)","Seller"
1.,"Boat 2025 Launch Rockerz 411, 40Ms Low Latency, 40Hrs Battery, 40Mm Drivers, ENx Tech, Stream Ad Free Music via App Support, Bluetooth Headphones, Wireless Over Ear Headphone with Mic (Active Black)","B0FC2Y8XYF","https://www.amazon.in/dp/B0FC2Y8XYF?psc=1","https://m.media-amazon.com/images/I/71QdB7hDCAL._SX679_.jpg","boAt","1,199","6,767",0,"2,000","8,306,219.27",198,136,"N/A","N/A",1,4.1,"27,741",8,174,"Clicktech Retail Private Ltd","Electronics","Standard Size","FBA","27.60 x 11.20 x 22.70 cm",0.28,"N/A","Jun 5, 2025",,"No",8,"Clicktech Retail Private Ltd"
2.,"pTron Studio Evo 70hrs Playtime Wireless Over Ear Headphones with HD Mic, Low-Latency Game/Movie/Music Modes, Punchy Bass, BT5.3, Dual Device Pairing, Voice Assistant & Type-C Fast Charging (Black)","B0DQ212KP4","https://www.amazon.in/dp/B0DQ212KP4?psc=1","https://m.media-amazon.com/images/I/51ZX74-s9DL._SX425_.jpg","pTron",799,"6,075",0,"2,000","4,852,786.62",197,137,"N/A",265.3,1,4,"1,175",9,148,"Cocoblu Retail","Electronics","Standard Size","FBA","14.80 x 9.40 x 13.70 cm",0.24,"N/A","Dec 10, 2024",,"No",14,"Cocoblu Retail"
3.,"Boat New Launch Rockerz 650 Pro, Touch/Swipe Controls, Dolby Audio, 80Hrs Battery, 2Mics ENx, Fast Charge, App Support, Dual Pair, Bluetooth Over Ear Headphones with Mic (Iris Black)","B0DV5J28LW","https://www.amazon.in/dp/B0DV5J28LW?psc=1","https://m.media-amazon.com/images/I/61-XNG5lPBL._SY450_.jpg","boAt","2,899","6,498",0,"N/A","16,931,094.21",182,170,"N/A",796.29,2,4.1,"3,023",14,208,"Clicktech Retail Private Ltd","Electronics","Standard Size","FBA","23.30 x 5.70 x 22.00 cm",0.42,"N/A","Jan 26, 2026",,"No",1,"Clicktech Retail Private Ltd"
4.,"Boat Bassheads 900 Pro Wired Headphones with 40Mm Drivers, Lightweight Foldable Design, Over Ear, Remote Control, Unidirectional Retractable Mic, Adjustable Headband & USB Type-A Compatibility(Black)","B0DHDDF5J2","https://www.amazon.in/dp/B0DHDDF5J2?psc=1","https://m.media-amazon.com/images/I/71Yid63OspL._SX466_.jpg","boAt",849,"5,475",0,"3,000","4,746,155.17",199,152,"N/A",302.76,2,4.1,"99,831",6,146,"Clicktech Retail Private Ltd","Electronics","Standard Size","FBA","16.40 x 4.70 x 13.50 cm",0.21,"N/A","Jan 31, 2026",,"No",1,"Clicktech Retail Private Ltd"
5.,"pTron Studio Xtreme, 70hrs Playtime, 40ms Low-Latency, Wireless Over Ear Headphones w/Detachable Mic & TruTalk ENC Calls, 40mm Drivers, RGB Lights, BT5.4, Dual Device Pairing & Type-C Charging (Beige)","B0G35411J6","https://www.amazon.in/dp/B0G35411J6?psc=1","https://m.media-amazon.com/images/I/51zRmESiXxL._SY355_.jpg","pTron","1,199",160,0,"N/A","192,293.71",200,409,"N/A",432.85,1,4.2,33,10,15,"Clicktech Retail Private Ltd","Electronics","Standard Size","FBA","5.30 x 18.80 x 21.90 cm",0.3,"N/A","Nov 20, 2025",,"No",3,"Clicktech Retail Private Ltd"
6.,"GOBOULT Fluid X Headphones Bluetooth Wireless with 60H Playtime, 40mm Drivers, Zen ENC Mic, Type-C Charging, Combat™ Gaming, BTv 5.4, Headphones Wireless with mic (Jet Black)","B0FNNB4C7B","https://www.amazon.in/dp/B0FNNB4C7B?psc=1","https://m.media-amazon.com/images/I/61OGCbKb5VL._SX569_.jpg","GOBOULT","1,799","2,006",0,500,"3,878,300.09",174,434,"N/A",606.3,1,3.9,"6,159",14,223,"Clicktech Retail Private Ltd","Electronics","Standard Size","FBA","23.62 x 9.40 x 21.84 cm",0.48,"N/A","Aug 25, 2025",,"No",6,"Clicktech Retail Private Ltd"
7.,"Sony WH-CH720N Active Noise Cancellation Wireless Bluetooth Over Ear Headphones with Mic, Adaptive Sound Control, Quick Charge, Up to 35Hrs Battery, Customized EQ- Black Model : YY2966","B0BS1QCFHX","https://www.amazon.in/dp/B0BS1QCFHX?psc=1","https://m.media-amazon.com/images/I/51rpbVmi9XL._SX466_.jpg","Sony","8,259","1,218",0,"N/A","10,153,881.61",184,440,"N/A","1,934.75",3,4.2,"14,718",13,265,"Clicktech Retail Private Ltd","Electronics","Standard Size","FBA","22.50 x 5.59 x 20.70 cm",0.42,"N/A","Jan 31, 2026",,"No",1,"Clicktech Retail Private Ltd"
8.,"Boat Rockerz 551ANC Bluetooth Hybrid Active Noise Cancellation Over Ear Headphones with Up to 100H Playtime, ASAP Charge, Ambient Sound Mode &Dual EQ Modes, Enx Technology(Stellar Black)","B0BZHRB9J1","https://www.amazon.in/dp/B0BZHRB9J1?psc=1","https://m.media-amazon.com/images/I/61BrerJ+yML._SX679_.jpg","boAt","2,099","12,920",0,"1,000","25,002,350.87",186,427,"N/A",675.93,1,4,"350,073",10,266,"Clicktech Retail Private Ltd","Electronics","Standard Size","FBA","27.80 x 7.50 x 26.50 cm",0.39,"N/A","Dec 22, 2023",,"No",26,"Clicktech Retail Private Ltd"
9.,"GOBOULT Newly Launched Soniq Over Ear Bluetooth Headphones with 70H Playtime, 40mm Bass Drivers, Zen™ ENC Mic, Type-C Fast Charging, Dual Pairing, AUX, Wireless Headphones (White)","B0F9YWD4Z3","https://www.amazon.in/dp/B0F9YWD4Z3?psc=1","https://m.media-amazon.com/images/I/71CzM6hiu6L._SY450_.jpg","GOBOULT","1,799","2,643",0,"N/A","5,143,102.61",179,497,"N/A",533.15,1,3.8,"1,049",15,80,"Clicktech Retail Private Ltd","Electronics","Standard Size","FBA","19.00 x 6.20 x 19.00 cm",0.37,"N/A","May 28, 2025",,"No",9,"Clicktech Retail Private Ltd"
10.,"Boat 2025 Launch Rockerz 421, 60H Battery, Low Latency(40Ms), 40Mm Drivers, Enx Tech, Stream Ad Free Music via App Support, Bluetooth Headphones, Wireless Over Ear Headphone with Mic (Black Sabre)","B0F7M3Q8DV","https://www.amazon.in/dp/B0F7M3Q8DV?psc=1","https://m.media-amazon.com/images/I/71bUXVCt5EL._SY450_.jpg","boAt","1,399","3,033",0,"1,000","3,776,935.34",196,504,"N/A",435.21,1,3.9,"1,660",8,129,"Clicktech Retail Private Ltd","Electronics","Standard Size","FBA","22.70 x 8.20 x 20.00 cm",0.43,"N/A","May 6, 2025",,"No",9,"Clicktech Retail Private Ltd"
