"Display Order","Product Details","ASIN","URL","Image URL","Brand","Price  ₹","Sales","Variation Sales Strength (1 - 10)","Recent Purchases","Revenue","Title Char. Count","BSR","Seller Country/Region","Fees  ₹","Active Sellers","Ratings","Review Count","Images","Review velocity","Buy Box","Category","Size Tier","Fulfillment","Dimensions","Weight","ABA Most Clicked","Creation Date","Sponsored","Best Seller","Seller Age (mo)","Seller"
1.,"Yamaha PSR-F52 Portable Keyboard – 61 Keys, Lightweight & Compact, Built-in Voices & Styles, USB Connectivity, Ideal for Beginners & Home Use","B09N75RFX1","https://www.amazon.in/dp/B09N75RFX1?psc=1","https://m.media-amazon.com/images/I/71UJHUtcirL._SX425_.jpg","Yamaha","7,765",614,0,400,"4,760,562.65",141,84,"N/A","1,122.71",8,4.3,"1,232",7,34,"Cocoblu Retail","Musical Instruments","Standard Size","FBA","101.00 x 8.60 x 32.40 cm",4.1,"N/A","Jul 25, 2025",,"No",7,"Cocoblu Retail"
2.,"Yamaha PSS-F30 Portable Mini Keyboard – 37 Keys, Black, Built-in Rhythms, Songs & Smart Chord, Lightweight & Compact, Ideal for Kids & Beginner Musicians","B07ZG1C8YL","https://www.amazon.in/dp/B07ZG1C8YL?psc=1","https://m.media-amazon.com/images/I/61OBGRe1dWS._SY355_.jpg","Yamaha","4,467",529,0,300,"2,362,959.42",153,111,"N/A",651.78,10,4.4,"1,607",10,18,"Cocoblu Retail","Musical Instruments","Standard Size","FBA","55.00 x 6.20 x 22.00 cm",1.64,"N/A","Jul 2, 2025",,"No",7,"Cocoblu Retail"
3.,"JUAREZ Octavé JRK661 61-Key Electronic Keyboard Piano with LED Display | Adapter | Key Note Stickers | Mic |Music Sheet Stand | 255 Rhythms | 255 Timbres | 24 Demos | 8 Percussions","B08GJT1WQX","https://www.amazon.in/dp/B08GJT1WQX?psc=1","https://m.media-amazon.com/images/I/71Tlz0z7jbL._SX569_.jpg","JUAREZ","3,799",941,0,400,"3,522,765.13",180,125,"N/A","N/A",1,4.1,"3,265",10,36,"Cocoblu Retail","Musical Instruments","Standard Size","FBA","89.10 x 14.22 x 39.04 cm",4.32,"N/A","Aug 23, 2020",,"No",66,"Cocoblu Retail"
4.,"VikriDA Portable Electronic Keyboard - 61 Keys Keyboard for Beginner & Professional, with LCD Display & Microphone for Kids & Adults","B09RK85YSY","https://www.amazon.in/dp/B09RK85YSY?psc=1","https://m.media-amazon.com/images/I/714HglgpE5L._SX522_.jpg","VikriDA","1,512",363,0,200,"549,286.95",132,129,"N/A",481.3,1,3.6,475,7,11,"AVNEEET GLOBAL SALES","Musical Instruments","Standard Size","FBA","65.20 x 7.00 x 27.60 cm",1.3,"N/A","Jan 31, 2022",,"No",49,"AVNEEET GLOBAL SALES"
5.,"Casio CT-S300 Casiotone 61-Key Touch Sensitive Portable Keyboard (Black)","B07ZTRJDNG","https://www.amazon.in/dp/B07ZTRJDNG?psc=1","https://m.media-amazon.com/images/I/51wl4C1KAfL._SX466_.jpg","Casio","10,345",308,0,200,"3,215,557.15",72,212,"N/A","1,452.85",2,4.5,"3,169",6,34,"Cocoblu Retail","Musical Instruments","Standard Size","FBA","99.60 x 14.40 x 31.60 cm",5.09,"N/A","Oct 31, 2019",,"No",76,"Cocoblu Retail"
6.,"Casio CTK-3500 61-Key Portable Keyboard, Black","B06XWRKN6C","https://www.amazon.in/dp/B06XWRKN6C?psc=1","https://m.media-amazon.com/images/I/511i9LqTpJL._SX466_.jpg","Casio","10,763",125,0,100,"1,364,014.25",46,231,"N/A","1,492.24",3,4.4,"1,491",5,5,"Cocoblu Retail","Musical Instruments","Standard Size","FBA","99.06 x 12.70 x 35.56 cm",5.04,"N/A","Aug 11, 2025",,"No",6,"Cocoblu Retail"
7.,"Casio CT-S200 Casiotone 61-Key Portable Keyboard (Black)","B07YPF66ZZ","https://www.amazon.in/dp/B07YPF66ZZ?psc=1","https://m.media-amazon.com/images/I/41E1OMNTijL._SX425_.jpg","Casio","9,020",171,0,50,"1,490,565.52",56,334,"N/A","1,306.01",5,4.5,"4,706",6,24,"Cocoblu Retail","Musical Instruments","Standard Size","FBA","98.00 x 13.00 x 31.24 cm",4.99,"N/A","Jul 11, 2025",,"No",7,"Cocoblu Retail"
8.,"Yamaha PSS-E30 Remie Portable Mini Keyboard – 37 Keys, White, Built-in Songs, Sound Effects & Quiz Mode, Lightweight, Ideal for Kids & Early Learners","B08232VZ84","https://www.amazon.in/dp/B08232VZ84?psc=1","https://m.media-amazon.com/images/I/61IKWgG1FPS._SX425_.jpg","Yamaha","4,441",127,0,100,"559,243.32",149,338,"N/A",647.35,6,4.4,922,9,3,"Cocoblu Retail","Musical Instruments","Standard Size","FBA","54.40 x 7.20 x 22.10 cm",1.66,"N/A","Jul 2, 2025",,"No",7,"Cocoblu Retail"
9.,"Akkord 37 Keys Music Keyboard – Black Edition | MIDI USB-C, Touch Response, 200 Rhythms, Tones & 40 Demos, LED Display, Portable Beginner Piano Compatible with GarageBand.","B0F5Q8RRK7","https://www.amazon.in/dp/B0F5Q8RRK7?psc=1","https://m.media-amazon.com/images/I/710Lrv6lQlL._SX679_.jpg","AKKORD","3,299",120,0,40,"392,072.29",171,353,"N/A",587.54,1,4.4,62,10,5,"Cocoblu Retail","Musical Instruments","Standard Size","FBA","59.40 x 8.50 x 22.40 cm",1.47,"N/A","Apr 21, 2025",,"No",10,"Cocoblu Retail"
10.,"Yamaha PSR-I510 61-Key Portable Keyboard, Upgraded Version of PSR-I500, Indian & Western Tones, Enhanced Songs & Styles, Built-in Rhythms, Lesson Function, Power Adapter Included","B0GHQJJTPR","https://www.amazon.in/dp/B0GHQJJTPR?psc=1","https://m.media-amazon.com/images/I/71Gg832c7QL._SY355_.jpg","Yamaha","24,534",133,0,100,"3,222,192.23",178,388,"N/A","3,073.57",8,"N/A",0,9,0,"Cocoblu Retail","Musical Instruments","Standard Size","FBA","105.92 x 21.34 x 50.29 cm",10.46,"N/A","Jan 20, 2026",,"No",1,"Cocoblu Retail"
