"Display Order","Product Details","ASIN","URL","Image URL","Brand","Price  ₹","Sales","Variation Sales Strength (1 - 10)","Recent Purchases","Revenue","Title Char. Count","BSR","Seller Country/Region","Fees  ₹","Active Sellers","Ratings","Review Count","Images","Review velocity","Buy Box","Category","Size Tier","Fulfillment","Dimensions","Weight","ABA Most Clicked","Creation Date","Sponsored","Best Seller","Seller Age (mo)","Seller"
1.,"LUMONY Hot Water Bag Care Heating Bag Gel For Pain Relief Heat Pad Electric For Pain Relief Electric Heating Pad For Back Pain Men & Women With Charging Cord(Multicolour)","B0D9S1V9QY","https://www.amazon.in/dp/B0D9S1V9QY?psc=1","https://m.media-amazon.com/images/I/815qwRZR3uL._SX569_.jpg","LUMONY",199,"N/A",0,"10,000","N/A",170,143,"N/A","N/A",1,3.9,"6,543","N/A","N/A","Electronics Bazaar  Store","Health & Personal Care","N/A","FBA","N/A","N/A","N/A","N/A",,"No","N/A","Electronics Bazaar  Store"
2.,"Careforce Hot Water Bag for Pain Relief Heat Pack Heating Pad for Periods Cramps, Muscle Aches, Shoulder, Back, Neck and Full Body Relief - Pink","B0G44FVKFR","https://www.amazon.in/dp/B0G44FVKFR?psc=1","https://m.media-amazon.com/images/I/717VSNhXIoL._SX569_.jpg","Careforce - The Force Behind Your Health",199,"N/A",0,"1,000","N/A",144,723,"N/A","N/A",1,4.6,122,"N/A","N/A","RK World Infocom Pvt Ltd","Health & Personal Care","N/A","FBA","N/A","N/A","N/A","N/A",,"No","N/A","RK World Infocom Pvt Ltd"
3.,"TEKCOOL heating bag, hot water bags for pain relief, heating bag electric, Heating Pad-Heat Pouch Hot Water Bottle Bag, Electric Hot Water Bag, Heating Pad For Pain Relief, multicolor","B0DK19N6GL","https://www.amazon.in/dp/B0DK19N6GL?psc=1","https://m.media-amazon.com/images/I/71Y9yc6-fpS._SX569_.jpg","TEKCOOL",220,"N/A",0,"1,000","N/A",183,758,"N/A","N/A",1,4.1,"3,464","N/A","N/A","Electronics Bazaar  Store","Health & Personal Care","N/A","FBA","N/A","N/A","N/A","N/A",,"No","N/A","Electronics Bazaar  Store"
4.,"Ross Electric Hot Water Bag & Heating Pad | Rechargeable Gel Hot Bag for Pain Relief, Back Pain, Cramps, Muscle Aches & Winter Warmth | Fast Heating, No Water Filling Needed, Soft Fabric | Men & Women","B0DP6FY6KJ","https://www.amazon.in/dp/B0DP6FY6KJ?psc=1","https://m.media-amazon.com/images/I/71wmBgrwO5L._SX425_.jpg","Ross",199,"N/A",0,"1,000","N/A",200,824,"N/A","N/A",1,4,"3,809","N/A","N/A","Electronics Bazaar  Store","Health & Personal Care","N/A","FBA","N/A","N/A","N/A","N/A",,"No","N/A","Electronics Bazaar  Store"
5.,"Flamingo Orthopaedic Electric Heating Pad - XL SIZE | Pain Relief Heating Belt with Temperature Controller for Lower Back, Knee, Shoulder, Cramps, and Neck | Back Pain Relief | 34cm X 25cm |","B09HMRGV5S","https://www.amazon.in/dp/B09HMRGV5S?psc=1","https://m.media-amazon.com/images/I/61pPL5It8LL._SX466_.jpg","Flamingo","N/A","N/A",0,"N/A","N/A",190,866,"N/A","N/A",1,4.1,"4,280","N/A","N/A",,"Health & Personal Care","N/A","N/A","N/A","N/A","N/A","N/A",,"No","N/A",
6.,"MEDTECH 2 In 1 Orthopaedic Electric Heating Pad For Back Pain + Period Cramps Relief|Large Size|With Temperature Controller For Lower Back, Knee, Shoulder, Cramps, And Neck Pain Relief|Velvet Black","B0CVS59BXG","https://www.amazon.in/dp/B0CVS59BXG?psc=1","https://m.media-amazon.com/images/I/61ZZFS6fRvL._SY450_.jpg","MEDTECH",865,"N/A",0,"2,000","N/A",197,905,"N/A","N/A",1,4.1,"1,995","N/A","N/A","MEDTECH LIFE","Health & Personal Care","N/A","FBA","N/A","N/A","N/A","N/A",,"No","N/A","MEDTECH LIFE"
7.,"Antil's Soft Velvet Electric Rechargeable hot Water Heating Bag/Hot Bottle Pouch Pad with Auto Cut for Pain Relief and Body Warming (Multi-Color)","B0CNY17TTZ","https://www.amazon.in/dp/B0CNY17TTZ?psc=1","https://m.media-amazon.com/images/I/71IqyPaOrvL._SX466_.jpg","ANTIL'S",199,"N/A",0,"2,000","N/A",145,956,"N/A","N/A",1,4.3,359,"N/A","N/A","RK World Infocom Pvt Ltd","Health & Personal Care","N/A","FBA","N/A","N/A","N/A","N/A",,"No","N/A","RK World Infocom Pvt Ltd"
8.,"Careforce Electric Hot Water Bag for Pain Relief Heat Pack Heating Pad for Periods Cramps, Muscle Aches Hand Warmer for Shoulder, Back, Neck and Full Body Relief - Grey","B0CDRMF7WD","https://www.amazon.in/dp/B0CDRMF7WD?psc=1","https://m.media-amazon.com/images/I/71doGTXUQjL._SX466_.jpg","Careforce - The Force Behind Your Health",349,"N/A",0,"2,000","N/A",168,"1,169","N/A","N/A",1,4,"2,520","N/A","N/A","Electronics Bazaar  Store","Health & Personal Care","N/A","FBA","N/A","N/A","N/A","N/A",,"No","N/A","Electronics Bazaar  Store"
9.,"Flamingo Orthopaedic Electric Heating Pad | Pain Relief Heating Belt with Temperature Controller for Lower Back, Knee, Shoulder, Cramps, and Neck | Back Pain Relief (Regular)","B09HMP3R79","https://www.amazon.in/dp/B09HMP3R79?psc=1","https://m.media-amazon.com/images/I/61pPL5It8LL._SX466_.jpg","Flamingo",974,"N/A",0,"1,000","N/A",174,"1,281","N/A","N/A",1,4,"2,203","N/A","N/A","Ascent Meditech Limited (Flamingo)","Health & Personal Care","N/A","FBA","N/A","N/A","N/A","N/A",,"No","N/A","Ascent Meditech Limited (Flamingo)"
10.,"Portable Cordless Heating Pad for Menstrual Cramps Relief, for Stomach, 3-Speed Temperature Adjustment and 4-Speed Massage Modes, Back and Belly Heating Pad for Women Pink Color","B09XMJBK8V","https://www.amazon.in/dp/B09XMJBK8V?psc=1","https://m.media-amazon.com/images/I/511KgXdTdIL._SX466_.jpg","aGIOGIO",568.99,"N/A",0,"2,000","N/A",177,"1,288","N/A","N/A",1,4,"2,099","N/A","N/A","Enliwish International","Health & Personal Care","N/A","FBA","N/A","N/A","N/A","N/A",,"No","N/A","Enliwish International"
