"Display Order","Product Details","ASIN","URL","Image URL","Brand","Price  ₹","Sales","Variation Sales Strength (1 - 10)","Recent Purchases","Revenue","Title Char. Count","BSR","Seller Country/Region","Fees  ₹","Active Sellers","Ratings","Review Count","Images","Review velocity","Buy Box","Category","Size Tier","Fulfillment","Dimensions","Weight","ABA Most Clicked","Creation Date","Sponsored","Best Seller","Seller Age (mo)","Seller"
1.,"Akiara - Makes life easy Mini Sewing Machine with Table Set | Tailoring Machine | Hand Sewing Machine with extension table, foot pedal, adapter, White (With KIT)","B0BY1V1JX9","https://www.amazon.in/dp/B0BY1V1JX9?psc=1","https://m.media-amazon.com/images/I/91EpUwv-v5L._SX425_.jpg","akiara - Makes life easy","1,699","N/A",0,"2,000","N/A",161,302,"N/A","N/A",2,4.2,"5,614","N/A","N/A","MixPrime TradeCom Pvt Ltd","Home & Kitchen","N/A","FBA","N/A","N/A","N/A","N/A",,"No","N/A","MixPrime TradeCom Pvt Ltd"
2.,"PANCA Handy Stitch Mini Hand Sewing Machine | Portable Stapler Style Silai Machine for Quick Repairs & Home Tailoring | Lightweight Handheld Stitching Tool (Mini Stitch)","B0GD7DJJML","https://www.amazon.in/dp/B0GD7DJJML?psc=1","https://m.media-amazon.com/images/I/61erXsh0tJL._SX569_.jpg","PANCA",399,"N/A",0,300,"N/A",169,904,"N/A","N/A",1,3.7,94,"N/A","N/A","Regal utility","Home & Kitchen","N/A","FBA","N/A","N/A","N/A","N/A",,"No","N/A","Regal utility"
3.,"Usha Janome Dream Stitch Automatic Zig-Zag Electric Sewing Machine (White and Blue) 32.5 Quart","B00E9OFCZQ","https://www.amazon.in/dp/B00E9OFCZQ?psc=1","https://m.media-amazon.com/images/I/512Nz0UlyUL._SY355_.jpg","USHA","10,499","N/A",0,600,"N/A",94,"3,259","N/A","N/A",1,4.3,"16,132","N/A","N/A","RetailEZ Pvt Ltd","Home & Kitchen","N/A","FBA","N/A","N/A","N/A","N/A",,"No","N/A","RetailEZ Pvt Ltd"
4.,"SINGER Tailor Mate Straight Stitch Sewing Machine with Free Arm | LED Light, Foot Pedal & Extension Table | 3 Stitch Length Options | 1-Year Warranty","B0GL833V7K","https://www.amazon.in/dp/B0GL833V7K?psc=1","https://m.media-amazon.com/images/I/51Tks3vp0BL._SX466_.jpg","SINGER","4,499","N/A",0,"N/A","N/A",149,"3,810","N/A","N/A",1,4,457,"N/A","N/A","SINGER INDIA LTD","Home & Kitchen","N/A","FBA","N/A","N/A","N/A","N/A",,"No","N/A","SINGER INDIA LTD"
5.,"Electric Handheld Mini Portable Hand Sewing Machine Stapler Style Silai Machine Electric Handy Stitch Mini Machine Home Tailoring Hand Sewing Machine Emergency Stitching(A+1)","B0GKQ99PSC","https://www.amazon.in/dp/B0GKQ99PSC?psc=1","https://m.media-amazon.com/images/I/31qtkAL6VfL.jpg","StonSell",589,"N/A",0,"N/A","N/A",174,"4,798","N/A","N/A",1,4.8,6,"N/A","N/A","PrimeSpot","Home & Kitchen","N/A","FBA","N/A","N/A","N/A","N/A",,"No","N/A","PrimeSpot"
6.,"Akiara - Makes Life Easy Stitching Machine With 12 Stitch Patterns, Sewing Machine For Home Tailoring With Zig Zag, Pico, Single Needle Sewing, Automatic Thread Rewind-Ideal For Home Use - White","B0CNR4HXB6","https://www.amazon.in/dp/B0CNR4HXB6?psc=1","https://m.media-amazon.com/images/I/711CBn4XwNL._SX466_.jpg","akiara - Makes life easy","5,998","N/A",0,500,"N/A",194,"4,135","N/A","N/A",1,4.2,"2,200","N/A","N/A","MixPrime TradeCom Pvt Ltd","Home & Kitchen","N/A","FBA","N/A","N/A","N/A","N/A",,"No","N/A","MixPrime TradeCom Pvt Ltd"
7.,"Electric Handy Stitch Mini Hand Sewing Machine Stapler Style Mini Machine Home Tailoring Silai Machine Emergency Stitching Handheld Sewing Machine For Emergency Stitching (A1+)","B0GKQ4MT2Q","https://www.amazon.in/dp/B0GKQ4MT2Q?psc=1","https://m.media-amazon.com/images/I/61UzFX9mKJL._SX466_.jpg","StonSell",569,"N/A",0,"N/A","N/A",176,"7,715","N/A","N/A",1,3.3,8,"N/A","N/A","Chauhan goods","Home & Kitchen","N/A","FBA","N/A","N/A","N/A","N/A",,"No","N/A","Chauhan goods"
8.,"2026 Mini Sewing Machine With Table Set I Electric Silai Machine With Extension Table, Foot Pedal, Adapter (D-1)","B0GM58DNS5","https://www.amazon.in/dp/B0GM58DNS5?psc=1","https://m.media-amazon.com/images/I/61XZJWJfCwL._SX425_.jpg","JAXHOM","1,399","N/A",0,"N/A","N/A",112,"7,975","N/A","N/A",1,5,4,"N/A","N/A","AARAMBH TRADERS LLP","Home & Kitchen","N/A","FBA","N/A","N/A","N/A","N/A",,"No","N/A","AARAMBH TRADERS LLP"
9.,"PANCA Handy Stitch Mini Hand Sewing Machine | Stapler-Style Portable Silai Machine for Home Tailoring, Quick Repairs & Emergency Stitching | Lightweight Handheld Sewing Tool (1 Piece)","B0FPD5RWTK","https://www.amazon.in/dp/B0FPD5RWTK?psc=1","https://m.media-amazon.com/images/I/61o9lHd6PtL._SX466_.jpg","PANCA",599,"N/A",0,300,"N/A",183,"8,762","N/A","N/A",2,3.2,155,"N/A","N/A","Regal utility","Home & Kitchen","N/A","FBA","N/A","N/A","N/A","N/A",,"No","N/A","Regal utility"
10.,"Singer Promise 1408 Automatic Zig-Zag Electric Sewing Machine (White), Metal Frame","B00FSC9PBK","https://www.amazon.in/dp/B00FSC9PBK?psc=1","https://m.media-amazon.com/images/I/61Hh8cb-ysL._SY450_.jpg","SINGER","9,990","N/A",0,200,"N/A",82,"9,038","N/A","N/A",1,4.2,"18,650","N/A","N/A","Hardtrac","Home & Kitchen","N/A","FBA","N/A","N/A","N/A","N/A",,"No","N/A","Hardtrac"
