"Display Order","Product Details","ASIN","URL","Image URL","Brand","Price  ₹","Sales","Variation Sales Strength (1 - 10)","Recent Purchases","Revenue","Title Char. Count","BSR","Seller Country/Region","Fees  ₹","Active Sellers","Ratings","Review Count","Images","Review velocity","Buy Box","Category","Size Tier","Fulfillment","Dimensions","Weight","ABA Most Clicked","Creation Date","Sponsored","Best Seller","Seller Age (mo)","Seller"
1.,"AGARO Royal Stand Mixer 1000W with 5L SS Bowl and 8 Speed Setting I Includes Whisking Cone, Mixing Beater & Dough Hook, and Splash Guard, 2 Years Warranty, (Black)","B0977CGNJJ","https://www.amazon.in/dp/B0977CGNJJ?psc=1","https://m.media-amazon.com/images/I/61A-nKQFtDL._SX466_.jpg","AGARO","6,499","N/A",0,"1,000","N/A",163,"1,870","N/A","N/A",3,4.2,"3,479","N/A","N/A","RetailEZ Pvt Ltd","Home & Kitchen","N/A","FBA","N/A","N/A","N/A","N/A",,"No","N/A","RetailEZ Pvt Ltd"
2.,"Glen Automatic Electric Atta Maker Machine, 3 Litre, 650W, Dough Kneader, Dough Mixer with Large Stainless Steel Bowl with Lid, Hands-free kneading - White (SA3032DM)","B0DWTGKDCQ","https://www.amazon.in/dp/B0DWTGKDCQ?psc=1","https://m.media-amazon.com/images/I/71c51MtdxLL._SX569_.jpg","Glen","3,999","N/A",0,400,"N/A",166,"5,980","N/A","N/A",2,4,854,"N/A","N/A","RetailEZ Pvt Ltd","Home & Kitchen","N/A","FBA","N/A","N/A","N/A","N/A",,"No","N/A","RetailEZ Pvt Ltd"
3.,"Clearline Automatic Electric Atta Kneader Dough Maker with Stainless Steel, Smart Atta Kneader Mixer and Dough Kneader Machine, Dough Mixer Machine with 650 Watts Power","B08LG2GF44","https://www.amazon.in/dp/B08LG2GF44?psc=1","https://m.media-amazon.com/images/I/71xZTazNRXL._SX425_.jpg","Clearline","4,149","N/A",0,200,"N/A",168,"9,074","N/A","N/A",3,4.2,"1,048","N/A","N/A","Clearline Appliances (Manufacturer)","Home & Kitchen","N/A","FBA","N/A","N/A","N/A","N/A",,"No","N/A","Clearline Appliances (Manufacturer)"
4.,"INALSA Stand Mixer 1200W|Pure Copper Motor|5.3L SS Bowl With Splash Guard|Metal Gears for Extra Durability|Accessories Included|Dishwasher Safe|Baking, Cake Mixer, Kneading-Kratos Plus (Black)","B0CX4T932R","https://www.amazon.in/dp/B0CX4T932R?psc=1","https://m.media-amazon.com/images/I/61wzrDhTCML._SY450_.jpg","Inalsa","6,929","N/A",0,100,"N/A",192,"9,198","N/A","N/A",1,4.1,882,"N/A","N/A","Cloud Eleven Etailers","Home & Kitchen","N/A","FBA","N/A","N/A","N/A","N/A",,"No","N/A","Cloud Eleven Etailers"
5.,"iBELL 4500MPRO Stand Mixer with Tilt-up Head, 1500Watt, 8 Speed Control, 100% Copper Motor, 5L Stainless Steel Bowl with Planetary Rotation, Multipurpose Food Mixer (Black)","B0B5X7W674","https://www.amazon.in/dp/B0B5X7W674?psc=1","https://m.media-amazon.com/images/I/71b1+QU7WSL._SY355_.jpg","IBELL","5,638","N/A",0,200,"N/A",172,"9,606","N/A","N/A",1,3.9,886,"N/A","N/A","Greens Industries","Home & Kitchen","N/A","FBA","N/A","N/A","N/A","N/A",,"No","N/A","Greens Industries"
6.,"AGARO Elegant Stand Mixer, 1400W with 5.5L SS Bowl, 10 Speed Settings, Pulse Function, 100% Copper Motor, Includes Whisker, Beater, Dough Hook, Dark Grey","B0B3T927SQ","https://www.amazon.in/dp/B0B3T927SQ?psc=1","https://m.media-amazon.com/images/I/71zHvsWCWgL._SX679_.jpg","AGARO","7,999","N/A",0,200,"N/A",153,"10,682","N/A","N/A",4,4.2,858,"N/A","N/A","RetailEZ Pvt Ltd","Home & Kitchen","N/A","FBA","N/A","N/A","N/A","N/A",,"No","N/A","RetailEZ Pvt Ltd"
7.,"INALSA Professional Stand Mixer-Heavy Duty 1600 Watt Pure Copper Motor| 5.4L SS Bowl & 4.8 L Bowl|Touch Control with Digital Display|Includes Whisking Cone, Mixing Beater & Dough Hook, MixMaster Touch","B0FND1K8PQ","https://www.amazon.in/dp/B0FND1K8PQ?psc=1","https://m.media-amazon.com/images/I/71H2NzAwp+L._SX679_.jpg","Inalsa","10,498.95","N/A",0,100,"N/A",200,"11,556","N/A","N/A",2,4.2,648,"N/A","N/A","RetailEZ Pvt Ltd","Home & Kitchen","N/A","FBA","N/A","N/A","N/A","N/A",,"No","N/A","RetailEZ Pvt Ltd"
8.,"Basics Coffee Beater Pro-Automatic|Whipped Butter|Egg Beater|Pancake Mixer|Pakoda Batter, Electric 40 W, White","B0BGLMD3S4","https://www.amazon.in/dp/B0BGLMD3S4?psc=1","https://m.media-amazon.com/images/I/51WnPTrCU-L._SX466_.jpg","Basics - We Know Your Needs!","1,250","N/A",0,200,"N/A",110,"3,494","N/A","N/A",1,4.3,"1,373","N/A","N/A","BASICS SHOP","Home & Kitchen","N/A","FBA","N/A","N/A","N/A","N/A",,"No","N/A","BASICS SHOP"
9.,"Rossmann Stand Mixer, Professional 2000 Watts 100% Pure Copper Motor, 8 Lit removeable SS Bowl, 4 Safety Features, Metal Gears & Planetary Rotation, Teflon Coated Accessories (Tableware, 8 Liter)","B0CMGRKZRT","https://www.amazon.in/dp/B0CMGRKZRT?psc=1","https://m.media-amazon.com/images/I/61FJc9pPM+L._SX522_.jpg","ROSSMANN","11,994","N/A",0,100,"N/A",195,"14,169","N/A","N/A",1,4.2,234,"N/A","N/A","Rossmann® India","Home & Kitchen","N/A","FBA","N/A","N/A","N/A","N/A",,"No","N/A","Rossmann® India"
10.,"Rossmann Stand Mixer, Professional 2000 Watts 100% Pure Copper Motor, 6 Lit removeable SS Bowl, 4 Safety Features, Metal Gears & Planetary Rotation, Teflon Coated Accessories, Black","B09KYBBQ63","https://www.amazon.in/dp/B09KYBBQ63?psc=1","https://m.media-amazon.com/images/I/61oHdFNlkVL._SX355_.jpg","ROSSMANN","9,991","N/A",0,100,"N/A",181,"15,556","N/A","N/A",1,4.3,625,"N/A","N/A","Rossmann® India","Home & Kitchen","N/A","FBA","N/A","N/A","N/A","N/A",,"No","N/A","Rossmann® India"
