"Display Order","Product Details","ASIN","URL","Image URL","Brand","Price  ₹","Sales","Variation Sales Strength (1 - 10)","Recent Purchases","Revenue","Title Char. Count","BSR","Seller Country/Region","Fees  ₹","Active Sellers","Ratings","Review Count","Images","Review velocity","Buy Box","Category","Size Tier","Fulfillment","Dimensions","Weight","ABA Most Clicked","Creation Date","Sponsored","Best Seller","Seller Age (mo)","Seller"
1.,"amazon basics Monitor Stand, Height Adjustable Arm Mount- Steel","B07DHK5DHN","https://www.amazon.in/dp/B07DHK5DHN?psc=1","https://m.media-amazon.com/images/I/51b30XjHGbL._SX355_.jpg","amazon basics","1,699","3,112",0,"1,000","5,473,586.21",63,191,"N/A",657.06,1,4.2,"17,808",7,91,"Clicktech Retail Private Ltd","Computers & Accessories","Standard Size","FBA","42.60 x 15.39 x 19.30 cm",3.24,"N/A","Aug 14, 2018",,"No",91,"Clicktech Retail Private Ltd"
2.,"STRIFF Single Monitor Stand with Full Motion Arm | 360° Rotation & Height Adjustable Desk Table Mount | Universal VESA Bracket with C-Clamp | Fits 13–32 Inch Computer/LCD Screens | Holds 4.4–19.8 lbs","B0G2LVDNZ3","https://www.amazon.in/dp/B0G2LVDNZ3?psc=1","https://m.media-amazon.com/images/I/41bXj8wgbxL._SY355_.jpg","STRIFF","1,799",242,0,50,"393,034.57",199,"1,963","N/A","N/A",1,4,52,7,10,"Clicktech Retail Private Ltd","Electronics","Standard Size","FBA","42.50 x 12.30 x 26.60 cm",2.79,"N/A","Nov 17, 2025",,"No",4,"Clicktech Retail Private Ltd"
3.,"MOUNTUP Single Monitor Desk Mount, Adjustable Gas Spring Monitor Arm Support Max 32 Inch Screen, Computer Monitors Stand with Clamp/Grommet Mounting Base, VESA Mounts Fit 4.4-17.6lbs Computer, Black","B07Z7ZGHD5","https://www.amazon.in/dp/B07Z7ZGHD5?psc=1","https://m.media-amazon.com/images/I/617NYHnRQQL._SY355_.jpg","MOUNTUP","2,999","1,251",0,300,"3,817,442.95",198,"2,220","N/A",923.74,1,4.4,"13,965",9,89,"MOUNTUP-IN","Electronics","Standard Size","FBA","43.00 x 14.70 x 24.40 cm",2.34,"N/A","Nov 30, 2019",,"No",76,"MOUNTUP-IN"
4.,"MOUNTUP Dual Monitor Stand for Desk, Gas Spring Monitor Arms for 32 27 24 22 Inches, Height Adjustable Double Monitors Mount, VESA Mount with C-Clamp & Grommet Base, Holds 4.4-17.6lbs","B07Z7ZM8CJ","https://www.amazon.in/dp/B07Z7ZM8CJ?psc=1","https://m.media-amazon.com/images/I/71+Tz+2ZmaL._SY355_.jpg","MOUNTUP","4,899",313,0,200,"1,386,618.78",183,"3,646","N/A","1,257.68",1,4.4,"6,336",9,66,"MOUNTUP-IN","Electronics","Standard Size","FBA","40.79 x 14.40 x 23.60 cm",3.88,"N/A","Dec 26, 2019",,"No",75,"MOUNTUP-IN"
5.,"BonKaso Dual Monitor Stand for Desk | Height Adjustable Alloy Steel Arm Mount for 13”–27” Screens | 360° Rotation, Tilt & Swivel, Cable Management, Space-Saving Dual Arm Monitor Mount (Black & White)","B0F9FV5DRF","https://www.amazon.in/dp/B0F9FV5DRF?psc=1","https://m.media-amazon.com/images/I/51-m+zPMJfL._SY355_.jpg","BonKaso","1,849",638,0,200,"1,180,984.8",199,"4,317","N/A","N/A",1,4.9,33,7,9,"Clicktech Retail Private Ltd","Electronics","Standard Size","FBA","43.79 x 13.70 x 14.10 cm",3.03,"N/A","May 21, 2025",,"No",10,"Clicktech Retail Private Ltd"
6.,"Artikel Vertical Dual Monitor Desk Mount | Adjustable Heavy Duty Dual Monitor Arm | VESA Mount with C-Clamp & Grommet Mounting Base | Computer Monitor Stand | Table Mounted - Black","B0C6YGTBK5","https://www.amazon.in/dp/B0C6YGTBK5?psc=1","https://m.media-amazon.com/images/I/71kuTOwK8RL._SY355_.jpg","ARTIKEL","3,399",250,0,"N/A","509,879.04",180,"5,826","N/A","N/A",1,4.3,521,8,1,"The Prafazos Company","Electronics","Standard Size","FBA","42.00 x 12.70 x 20.50 cm",3.87,"N/A","Jun 1, 2023",,"No",33,"The Prafazos Company"
7.,"Jin Office Silver Alloy Gas Spring Monitor Arm | Supports 13-32"" Screen | Height Adjustable Desk Mount| 10kg Weight Capacity, 1 Year Warranty| Tilt, Rotation, Swivel Feature | Ergonomic Articulation","B0DCVRKB5H","https://www.amazon.in/dp/B0DCVRKB5H?psc=1","https://m.media-amazon.com/images/I/61CQzYJLEhL._SX355_.jpg","JIN OFFICE","3,190",260,0,100,"812,526.8",198,"6,061","N/A","N/A",1,4.6,479,9,16,"JIN OFFICE SOLUTIONS","Electronics","Standard Size","FBA","41.60 x 10.90 x 15.40 cm",2.57,"N/A","Sep 30, 2019",,"No",78,"JIN OFFICE SOLUTIONS"
8.,"iVOOMi Power Duo Black Dual Monitor Stand for Desk with VESA Mount, Adjustable Mechanical Monitor arm with Grommet Mounting Base for 15-34'' 2-22 kgs Screens, VESA Compliant Up to 100 x 100mm","B0FGJY1SVW","https://www.amazon.in/dp/B0FGJY1SVW?psc=1","https://m.media-amazon.com/images/I/61oZh0Jk59L._SY355_.jpg","iVOOMi","2,220",216,0,"N/A","557,004.03",191,"6,131","N/A",767.47,1,3.9,275,8,15,"Clicktech Retail Private Ltd","Electronics","Standard Size","FBA","44.50 x 11.50 x 15.30 cm",3.16,"N/A","Jul 3, 2025",,"No",8,"Clicktech Retail Private Ltd"
9.,"HEYMIX LIFE Single Monitor Arm, Ergonomic Monitor Stand VESA Mount, Computer Screen Arm Gas Spring, VESA Arm, Monitor Mount & 2 Grommet Mounting Base For 13-32'' 2-9 Kgs Sceens","B0CH4X2FVM","https://www.amazon.in/dp/B0CH4X2FVM?psc=1","https://m.media-amazon.com/images/I/71fbKuoA-XL._SY355_.jpg","HEYMIX LIFE","2,499",175,0,100,"441,072.57",176,"7,102","N/A",512.03,1,4.1,"1,042",8,11,"HEYMIX LIFE","Electronics","Standard Size","FBA","37.50 x 9.90 x 25.00 cm",2.24,"N/A","Sep 1, 2023",,"No",30,"HEYMIX LIFE"
10.,"Dyazo Dual Monitor Desk Mount with Laptop Tray | Fits 13–32"" Monitors & 10–15.6” Laptops | Fully Adjustable Arms with Height Adjustment & 360° Rotation | Dual Mount with C-Clamp/Grommet Base (Black)","B0GGSD7T5X","https://www.amazon.in/dp/B0GGSD7T5X?psc=1","https://m.media-amazon.com/images/I/61ifftXzGoL._SY355_.jpg","Dyazo","2,199",19,0,"N/A","41,781",198,"7,979","N/A","N/A",1,"N/A",0,8,0,"Clicktech Retail Private Ltd","Electronics","Standard Size","FBA","45.00 x 45.00 x 5.00 cm",2.1,"N/A","Jan 14, 2026",,"No",2,"Clicktech Retail Private Ltd"
