"Display Order","Product Details","ASIN","URL","Image URL","Brand","Price  ₹","Sales","Variation Sales Strength (1 - 10)","Recent Purchases","Revenue","Title Char. Count","BSR","Seller Country/Region","Fees  ₹","Active Sellers","Ratings","Review Count","Images","Review velocity","Buy Box","Category","Size Tier","Fulfillment","Dimensions","Weight","ABA Most Clicked","Creation Date","Sponsored","Best Seller","Seller Age (mo)","Seller"
1.,"Callas ST-40 Wooden Study Table with Hutch & Bottom Storage – Multi-Purpose Office Desk for Laptop, Computer, Writing & Study – Durable Engineered Wood Workstation for Home & Office (Walnut, ST-40)","B0F3XMWPMK","https://www.amazon.in/dp/B0F3XMWPMK?psc=1","https://m.media-amazon.com/images/I/61Z9yq4WD2L._SY355_.jpg","Callas","2,459","3,095",0,"1,000","7,825,232.8",197,655,"N/A","1,018.47",1,3.6,769,9,81,"RetailEZ Pvt Ltd","Home & Kitchen","Standard Size","FBA","95.80 x 10.00 x 54.80 cm",19.88,"N/A","Apr 7, 2025",,"No",11,"RetailEZ Pvt Ltd"
2.,"Lukzer Engineered Wood Computer Desk with One Tier Shelves | ST-004/Oak Brown | Laptop Study Table for Office Home Workstation Writing Modern Desk (90 x 50 x 75 cm)","B0BPYBT4TB","https://www.amazon.in/dp/B0BPYBT4TB?psc=1","https://m.media-amazon.com/images/I/81yFTE58J4L._SY355_.jpg","Lukzer","1,892","1,547",0,300,"3,330,668.88",164,880,"N/A","N/A",1,3.9,"2,851",8,36,"Lukzer","Home & Kitchen","Standard Size","FBA","98.20 x 9.20 x 54.00 cm",14.2,"N/A","Dec 13, 2022",,"No",39,"Lukzer"
3.,"QARA Wood Laminated Study Table, Computer Table for Home, Office Table, Desktop, Laptop Table, Office Desk (White)","B0CRHKCNVQ","https://www.amazon.in/dp/B0CRHKCNVQ?psc=1","https://m.media-amazon.com/images/I/715HPsS6s6L._SY355_.jpg","QARA","2,849","1,888",0,700,"5,662,855.58",114,"1,039","N/A","N/A",1,4.6,"2,203",8,93,"Craftcenter","Home & Kitchen","Standard Size","FBA","10.00 x 100.00 x 64.00 cm",11.9,"N/A","Jan 4, 2024",,"No",26,"Craftcenter"
4.,"Torche Multipurpose Foldable & Portable Study Table, Computer Desk, Foldable for Office Work, Laptop Desk, 2 Seater Dining Table for Home and Office (Windsor-Pearl White), Wood","B0DJQPPF47","https://www.amazon.in/dp/B0DJQPPF47?psc=1","https://m.media-amazon.com/images/I/81aY30jj4jL._SY355_.jpg","Torche","2,178","2,124",0,700,"4,655,593.44",176,"1,132","N/A",940.11,1,4.6,"1,087",9,70,"Craftcenter","Home & Kitchen","Standard Size","FBA","10.00 x 100.00 x 64.00 cm",10.5,"N/A","Oct 9, 2024",,"No",17,"Craftcenter"
5.,"Callas Engineered Wood Computer Desk – Small Modern Writing Desk for Home Office, Bedroom, or Living Room – Sturdy & Simple Laptop Table (CB-ST-03-Brown)","B0DRNTT5LW","https://www.amazon.in/dp/B0DRNTT5LW?psc=1","https://m.media-amazon.com/images/I/61PBeEEXYbL._SY355_.jpg","Callas","2,259.09","1,953",0,20,"6,517,881.32",153,"1,158","N/A","1,076.24",1,3.6,798,8,69,"RetailEZ Pvt Ltd","Home & Kitchen","Standard Size","FBA","109.80 x 15.00 x 48.20 cm",21.96,"N/A","Dec 27, 2024",,"No",15,"RetailEZ Pvt Ltd"
6.,"wow craft Multipurpose Foldable & Portable Study Table | Laptop & Computer Desk for Home & Office | 2-Seater Dining Table | Engineered Wood Top & Metal Frame | Windsor-Pearl White","B0FTW5NP8N","https://www.amazon.in/dp/B0FTW5NP8N?psc=1","https://m.media-amazon.com/images/I/61BDn5pZB7L._SY355_.jpg","wow craft","2,088","2,113",0,300,"4,414,490.98",179,"1,374","N/A",923.6,1,4.3,"5,585",8,55,"Wowcraft","Home & Kitchen","Standard Size","FBA","10.00 x 96.00 x 66.00 cm",10,"N/A","Oct 4, 2025",,"No",5,"Wowcraft"
7.,"Foldable Wooden Mini Laptop Table for Bed, Study Table with Drawer, Mobile Holder(COTTED Black)","B0G2YMY9VF","https://www.amazon.in/dp/B0G2YMY9VF?psc=1","https://m.media-amazon.com/images/I/41bPcTZIPsL._SX342_.jpg","Hemu Enterprise",150,91,0,100,"14,454.44",95,"1,518","N/A",151.04,1,5,17,8,0,"RAMEV ENTERPRISE INDIA","Home & Kitchen","Standard Size","FBA","5.00 x 15.00 x 10.00 cm",0.46,"N/A","Jul 15, 2025",,"No",8,"RAMEV ENTERPRISE INDIA"
8.,"Callas Engineered Wood Computer Desk with Shelf – Modern Laptop Study Table for Home Office, Workstation & Writing Desk for Students and Professionals (ST-09-White)","B0DDH4F8W7","https://www.amazon.in/dp/B0DDH4F8W7?psc=1","https://m.media-amazon.com/images/I/61hqJefnC9L._SY355_.jpg","Callas","1,969","2,117",0,600,"4,089,820.72",164,"1,786","N/A",901.76,1,3.6,"1,438",8,58,"RetailEZ Pvt Ltd","Home & Kitchen","Standard Size","FBA","97.20 x 7.25 x 54.50 cm",12.5,"N/A","Aug 17, 2024",,"No",19,"RetailEZ Pvt Ltd"
9.,"QARA (31 x 18.5 inches Wood Wall Mounted Round Corner Folding Wall Study Table with Cup Holder | Wall Mount Table with Drawer | Foldable Laptop Desk for Home and Office Computer- White","B09J3L3KC4","https://www.amazon.in/dp/B09J3L3KC4?psc=1","https://m.media-amazon.com/images/I/81qNXu4KVbL._SY355_.jpg","QARA","2,081","1,418",0,300,"2,882,880.31",184,"1,913","N/A","N/A",1,4.5,"1,974",8,33,"Craftcenter","Home & Kitchen","Standard Size","FBA","75.00 x 7.00 x 51.00 cm",6.8,"N/A","Oct 9, 2021",,"No",53,"Craftcenter"
10.,"Computer Home/Office Desk | Writing Study | Laptop Table | Modern Simple Desk | Small Desks for Small Spaces | Sturdy Desk for Home, Office, Bedroom, Living Room (ST-09-White)","B0FG91N1WG","https://www.amazon.in/dp/B0FG91N1WG?psc=1","https://m.media-amazon.com/images/I/61s5+09b0HL._SY355_.jpg","Wudyhub","2,040","1,603",0,700,"3,345,696.32",175,"2,660","N/A",936.48,2,4.1,231,6,69,"RetailEZ Pvt Ltd","Home & Kitchen","Standard Size","FBA","95.00 x 6.00 x 55.00 cm",13.55,"N/A","Jun 26, 2025",,"No",9,"RetailEZ Pvt Ltd"
