"Display Order","Product Details","ASIN","URL","Image URL","Brand","Price  ₹","Sales","Variation Sales Strength (1 - 10)","Recent Purchases","Revenue","Title Char. Count","BSR","Seller Country/Region","Fees  ₹","Active Sellers","Ratings","Review Count","Images","Review velocity","Buy Box","Category","Size Tier","Fulfillment","Dimensions","Weight","ABA Most Clicked","Creation Date","Sponsored","Best Seller","Seller Age (mo)","Seller"
1.,"HAYDEN HY-A4 4-Channel Mixer – Professional Audio Mixing Console with Bluetooth, USB Sound Card, 48V Phantom Power, MP3, Phone Live Out, Recording, Podcast, Karaoke, DJ, Streaming & Live Performance","B0DVC68X7H","https://www.amazon.in/dp/B0DVC68X7H?psc=1","https://m.media-amazon.com/images/I/71+7UouOrEL._SX466_.jpg","hayden","2,399",256,0,100,"660,119.42",198,131,"N/A",491.93,3,4,167,9,15,"HAYDEN AUDIO","Musical Instruments","Standard Size","FBA","25.20 x 7.20 x 22.20 cm",0.7,"N/A","Jan 29, 2025",,"No",13,"HAYDEN AUDIO"
2.,"Audio Array AI-13 2026 Edition 4-Channel Hybrid USB Summing Mixer 4 Analog+2 Digital, 48kHz/16-Bit, 2XLR Mic Inputs, TRS Stereo In, 48V Phantom, Hi-Z, 2 Band EQ, Monitoring, Amp Out, USB-C Power","B0G53H49BS","https://www.amazon.in/dp/B0G53H49BS?psc=1","https://m.media-amazon.com/images/I/71OXRoQuHGL._SY450_.jpg","Audio Array","2,699",176,0,"N/A","475,146.14",194,280,"N/A",530.87,3,4.6,8,8,5,"Cocoblu Retail","Musical Instruments","Standard Size","FBA","25.40 x 7.60 x 22.60 cm",0.72,"N/A","Dec 4, 2025",,"No",2,"Cocoblu Retail"
3.,"hayden HY-8FX 10-Channel DJ Mixer With 99 DSP Reverb, 7-Band EQ, USB, Bluetooth, 48V Phantom, One-Click Mute Pro Sound Console For Recording, Stage, Studio, And Live Performance, Black","B0F6K2CGZT","https://www.amazon.in/dp/B0F6K2CGZT?psc=1","https://m.media-amazon.com/images/I/81uxQKmM-IL._SY355_.jpg","hayden","8,499",134,0,50,"1,193,409.14",184,413,"N/A","1,476.05",2,4.5,89,9,8,"HAYDEN AUDIO","Musical Instruments","Standard Size","FBA","46.40 x 10.20 x 46.00 cm",4.74,"N/A","Jun 8, 2024",,"No",20,"HAYDEN AUDIO"
4.,"DIGIMORE Professional 12 Channel Mixer | 8 XLR + 6.35MM Input Ports | USB MP3 & BT Support | 48V Phantom Power | Delay & Repeat FX | Stereo Output | Control Room, Headphone, Aux, EFF Outs (D-285)","B0DJRJC1XW","https://www.amazon.in/dp/B0DJRJC1XW?psc=1","https://m.media-amazon.com/images/I/91Q3mThdpSL._SX522_.jpg","DIGIMORE","11,999",58,0,"N/A","847,161.02",195,"1,015","N/A","1,968.77",1,4.1,76,8,2,"Cocoblu Retail","Musical Instruments","Standard Size","FBA","58.10 x 11.60 x 47.50 cm",5.23,"N/A","Oct 9, 2024",,"No",16,"Cocoblu Retail"
5.,"kh 8 Channel Audio Mixer (6 Mic + 2 Stereo Input) Interface Sound Board Mixing Console 99 DSP DJ Mixer Audio Reverb Effect +48V Phantom & PAD Switch on each channel, BT/USB/REC, Inbuilt Sound Card","B0DXVPX1VB","https://www.amazon.in/dp/B0DXVPX1VB?psc=1","https://m.media-amazon.com/images/I/51sMRMwnecL._SX425_.jpg","kh","7,599",2,0,"N/A","15,781.73",196,"1,188","N/A","1,308.49",1,2,1,8,0,"Shopn Save","Musical Instruments","Standard Size","FBA","41.60 x 12.00 x 37.70 cm",2.42,"N/A","Feb 20, 2025",,"No",12,"Shopn Save"
6.,"kh 6 Channel Live Sound Mixer with USB & Bluetooth Stereo Digital Echo Mixer Console with MIC Inputs, EQ, PAN, Fader, Gain Control Audio Mixing Console for Studio & Live, Silver","B0FFZ48KR6","https://www.amazon.in/dp/B0FFZ48KR6?psc=1","https://m.media-amazon.com/images/I/61cpWeUVQSL._SX679_.jpg","kh","2,849",25,0,10,"72,117.51",177,"1,209","N/A",645.91,1,5,3,5,0,"Shopn Save","Musical Instruments","Standard Size","FBA","36.29 x 13.40 x 23.10 cm",2.05,"N/A","Jun 28, 2025",,"No",8,"Shopn Save"
7.,"Studiomaster Studio Master Air 6U (6 Channel Mixer) With USB Option, Bluetooth And Remote, black, Medium","B0783RJGX6","https://www.amazon.in/dp/B0783RJGX6?psc=1","https://m.media-amazon.com/images/I/81cUrCRWzcL._SY450_.jpg","Studiomaster","13,944",8,0,"N/A","113,425.15",104,"1,597","N/A","2,178.09",2,4.1,133,3,0,"Cocoblu Retail","Musical Instruments","Standard Size","FBA","39.20 x 16.60 x 37.00 cm",4.4,"N/A","Nov 20, 2017",,"No",99,"Cocoblu Retail"
8.,"Audio Array AM-Mix6 6-Channel Hybrid USB Audio Mixer with 6 Analog + 2 Digital Inputs, 48kHz/16-Bit, +50dB Mic Gain, PAD Switch, Dual AUX Sends, 128 DSP FX, Balanced XLR Main Output, ≥102dB Max SPL","B0G53PRM34","https://www.amazon.in/dp/B0G53PRM34?psc=1","https://m.media-amazon.com/images/I/81jHaIDxIdL._SX425_.jpg","Audio Array","N/A",1,0,"N/A","9,233.83",197,"1,620","N/A","N/A",1,"N/A",0,7,0,,"Musical Instruments","Standard Size","FBA","46.90 x 14.70 x 30.90 cm",3.12,"N/A","Dec 4, 2025",,"No",2,
9.,"Hercules DJ Inpulse 200 Dj Controller With Usb, Black","B07HKWZC4X","https://www.amazon.in/dp/B07HKWZC4X?psc=1","https://m.media-amazon.com/images/I/61YoXvhDMIL._SX679_.jpg","Hercules","10,989",54,0,30,"604,694.36",53,"1,678","N/A","1,656.47",2,4.3,"3,700",3,6,"Crystalarc Lifestyle","Musical Instruments","Standard Size","FBA","38.00 x 8.10 x 23.60 cm",1.3,"N/A","Oct 16, 2018",,"No",88,"Crystalarc Lifestyle"
10.,"kh 6 Channel Professional Analog Audio Mixer 6-Channel Built-In Eq/ 99-Dsp/Recording Mode Reverb Bluetooth/Pc/Usb/Mp3 Playback Concert Karaoke Home Singing Live Audio Equipment 48V Phantom, Black","B0F6Y234JK","https://www.amazon.in/dp/B0F6Y234JK?psc=1","https://m.media-amazon.com/images/I/71EoICLvb+L._SX425_.jpg","kh","6,799",11,0,"N/A","80,701.21",195,"1,703","N/A","1,158.63",2,3.7,65,9,0,"Shopn Save","Musical Instruments","Standard Size","FBA","40.00 x 8.70 x 32.10 cm",2.5,"N/A","Dec 1, 2023",,"No",26,"Shopn Save"
