"Display Order","Product Details","ASIN","URL","Image URL","Brand","Price  ₹","Sales","Variation Sales Strength (1 - 10)","Recent Purchases","Revenue","Title Char. Count","BSR","Seller Country/Region","Fees  ₹","Active Sellers","Ratings","Review Count","Images","Review velocity","Buy Box","Category","Size Tier","Fulfillment","Dimensions","Weight","ABA Most Clicked","Creation Date","Sponsored","Best Seller","Seller Age (mo)","Seller"
1.,"3.5mm Lapel Microphone for Video Recording | Collar Mic | Small Mic for Phone | Wired Mini Mike for Phone | Microphone for Recording","B0CWS2C1HH","https://www.amazon.in/dp/B0CWS2C1HH?psc=1","https://m.media-amazon.com/images/I/51xl2XfyLjL._SY355_.jpg","Like Star",149,"1,503",0,500,"229,205.15",132,"1,325","N/A",101.48,1,3.4,443,7,34,"Clicktech Retail Private Ltd","Electronics","Standard Size","FBA","14.50 x 2.00 x 10.00 cm",0.01,"N/A","Feb 29, 2024",,"No",24,"Clicktech Retail Private Ltd"
2.,"Ant Esports WENTE 220 USB Unidirectional Microphone - Black","B09GG56LM1","https://www.amazon.in/dp/B09GG56LM1?psc=1","https://m.media-amazon.com/images/I/71n59+JUyVL._SX569_.jpg","Ant Esports",899,437,0,400,"407,325.54",59,"1,140","N/A",318.48,1,3.6,240,6,21,"Clicktech Retail Private Ltd","Computers & Accessories","Standard Size","FBA","25.30 x 12.70 x 14.60 cm",0.64,"N/A","Sep 16, 2021",,"No",53,"Clicktech Retail Private Ltd"
3.,"MAONO RGB Condenser Gaming Mic, USB Podcast Microphone with Noise Cancellation, Mic Gain, 1-Click Mute, Adjustable RGB Light for YouTube Recording, PC, Laptop (DGM20-Black)","B0C8HFPZM7","https://www.amazon.in/dp/B0C8HFPZM7?psc=1","https://m.media-amazon.com/images/I/71CT6bknW5L._SY550_.jpg","MAONO","2,772.97",196,0,100,"598,972.96",172,"5,290","N/A",540.48,2,4.2,"1,321",9,23,"Cocoblu Retail","Electronics","Standard Size","FBA","22.30 x 11.70 x 15.00 cm",0.47,"N/A","Jun 19, 2023",,"No",32,"Cocoblu Retail"
4.,"Zebronics Zeb-Klarity USB Gaming Mic for Recording / Streaming, compatible with PC, Omni Directional sound pickup, Flexible Neck, Mute Button","B085NNH52P","https://www.amazon.in/dp/B085NNH52P?psc=1","https://m.media-amazon.com/images/I/71hcfezLonL._SX679_.jpg","ZEBRONICS",840,286,0,200,"240,110.82",141,"2,102","N/A",255.12,1,3.8,"2,751",6,6,"Clicktech Retail Private Ltd","Computers & Accessories","Standard Size","FBA","25.80 x 10.20 x 14.30 cm",0.28,"N/A","Mar 9, 2020",,"No",71,"Clicktech Retail Private Ltd"
5.,"FDUCE M160 Gaming USB Microphone, RGB Condenser Microphone with Tripod, Volume Adjustment and Mute Button Function, Compatible with PC, Laptop, for Gaming, Podcasting, Streaming, YouTube","B0CSYQ7XJW","https://www.amazon.in/dp/B0CSYQ7XJW?psc=1","https://m.media-amazon.com/images/I/61yI89022tL._SX425_.jpg","FDUCE","1,899",77,0,100,"158,889",186,"2,485","N/A",376.29,1,4.1,"2,766",6,39,"FDUCE IN","Computers & Accessories","Standard Size","FBA","20.60 x 5.70 x 10.30 cm",0.32,"N/A","Apr 6, 2024",,"No",22,"FDUCE IN"
6.,"Maono AU-PM461TR USB Condenser Mic for PC and Singing, Recording Microphone with Mic Gain for Gaming, Podcast, Studio, Vlogging","B08MBQYQBQ","https://www.amazon.in/dp/B08MBQYQBQ?psc=1","https://m.media-amazon.com/images/I/617Wy6YFm6L._SY450_.jpg","MAONO","2,499",152,0,100,"380,499.66",127,"7,902","N/A",481.31,1,4,"2,949",7,7,"Cocoblu Retail","Electronics","Standard Size","FBA","18.80 x 6.40 x 13.55 cm",0.34,"N/A","Oct 30, 2020",,"No",64,"Cocoblu Retail"
7.,"Audio Array AM-C28 USB Plug & Play Conference Microphone | Omni Directional Pickup Upto 3M | Mic Mute Button | No Drivers Condenser USB Type-C | Ideal for Meetings & Video Calling (Not a Speaker)","B0BPLWW72Y","https://www.amazon.in/dp/B0BPLWW72Y?psc=1","https://m.media-amazon.com/images/I/51jjON-dHdL._SX466_.jpg","Audio Array","1,548",152,0,50,"269,847.45",195,"7,981","N/A",362.59,2,4,217,8,3,"Cocoblu Retail","Electronics","Standard Size","FBA","12.90 x 3.40 x 11.20 cm",0.23,"N/A","Dec 9, 2022",,"No",38,"Cocoblu Retail"
8.,"USB Microphone for Noise Cancelling Windows and Mac, Professional PC Microphone Computer, Laptop, Desktop and Notebook, Plug and Play Mic","B099JX6DCY","https://www.amazon.in/dp/B099JX6DCY?psc=1","https://m.media-amazon.com/images/I/619JwF2vMYS._SX466_.jpg","ORAIMA",375,138,0,100,"51,921",137,"10,105","N/A",152.52,2,3.8,126,6,2,"Cables Kart","Electronics","Standard Size","FBA","12.90 x 7.90 x 11.20 cm",0.15,"N/A","Jul 14, 2021",,"No",55,"Cables Kart"
9.,"Cables Kart Noise Cancelling USB Microphone for Windows and Mac, Professional PC Microphone Computer, Laptop, Desktop, Plug and Play Mic","B099K464P7","https://www.amazon.in/dp/B099K464P7?psc=1","https://m.media-amazon.com/images/I/61ylaF7UyKL._SY355_.jpg","Cables Kart",371,70,0,50,"26,049.98",136,"11,248","N/A",152.18,1,4,33,9,0,"Cables Kart","Electronics","Standard Size","FBA","12.90 x 8.00 x 11.00 cm",0.15,"N/A","Jul 15, 2021",,"No",55,"Cables Kart"
10.,"HyperX Solocast 2 Wired Microphone for Windows; NGENUITY, Tap-to-Mute Sensor, Cardioid Polar Pattern, Black, 368gm (AR0A0AA)","B0FLKJ7FH7","https://www.amazon.in/dp/B0FLKJ7FH7?psc=1","https://m.media-amazon.com/images/I/71vRU5Ka7EL._SY450_.jpg","HyperX","4,199",273,0,"N/A","1,363,080.42",124,"3,820","N/A","N/A",1,4.4,"80,816",8,373,"Clicktech Retail Private Ltd","Computers & Accessories","Standard Size","FBA","20.40 x 7.80 x 7.90 cm",0.49,"N/A","Aug 22, 2025",,"No",6,"Clicktech Retail Private Ltd"
11.,"Scalebee USB 2.0 Microphone MIC Audio Adapter for PC, Laptop Studio Speech Voice Recognition Mic Audio Adapter Computer Microphones Voice Tube Microphone","B0BVB2FG32","https://www.amazon.in/dp/B0BVB2FG32?psc=1","https://m.media-amazon.com/images/I/51km2kleJ9L._SX355_.jpg","Scalebee",379,91,0,50,"35,058.63",153,"12,201","N/A",152.85,1,3.7,28,8,0,"Technogazet","Electronics","Standard Size","FBA","10.80 x 1.30 x 9.00 cm",0.01,"N/A","Feb 9, 2023",,"No",36,"Technogazet"
12.,"Razer Seiren V3 Mini USB Microphone: Condenser Mic - Supercardioid Pickup Pattern - Tap-to-Mute Sensor with LED Indicator - Shock Absorber - Ultra Compact - PC, Discord, OBS Studio, XSplit - Black","B0CMTQPWQ8","https://www.amazon.in/dp/B0CMTQPWQ8?psc=1","https://m.media-amazon.com/images/I/61YoVaG-ShL._SY450_.jpg","Razer","3,509",61,0,50,"218,302.77",196,"3,977","N/A",884.45,1,4.5,521,9,31,"Clicktech Retail Private Ltd","Computers & Accessories","Standard Size","FBA","18.90 x 6.90 x 17.90 cm",0.44,"N/A","Mar 15, 2024",,"No",23,"Clicktech Retail Private Ltd"
13.,"Audio Array AM-W45 Wireless Conference Microphone with Speaker | Bluetooth, USB & 4 Mics | 360° Pickup Upto 4M | Noise Reduction & Enhanced Voice | Portable Speakerphone for Video Calls/Zoom Meeting","B0CKHVHVQ1","https://www.amazon.in/dp/B0CKHVHVQ1?psc=1","https://m.media-amazon.com/images/I/61dXtGpXiHL._SX569_.jpg","Audio Array","5,099",76,0,50,"385,030.48",198,"4,192","N/A","N/A",3,3.8,195,9,3,"Cocoblu Retail","Computers & Accessories","Standard Size","FBA","18.21 x 6.40 x 16.79 cm",0.55,"N/A","Oct 5, 2023",,"No",28,"Cocoblu Retail"
