"Display Order","Product Details","ASIN","URL","Image URL","Brand","Price  ₹","Sales","Variation Sales Strength (1 - 10)","Recent Purchases","Revenue","Title Char. Count","BSR","Seller Country/Region","Fees  ₹","Active Sellers","Ratings","Review Count","Images","Review velocity","Buy Box","Category","Size Tier","Fulfillment","Dimensions","Weight","ABA Most Clicked","Creation Date","Sponsored","Best Seller","Seller Age (mo)","Seller"
1.,"ADIMAC 2-Pack Itching Stick Back Scratcher & Massager - Plastic Handle, Multicolor Itching Relief Stick for Back, Body Scalp Hard-to-Reach Areas Portable Durable Lightweight Easy-to-Use Scratch Tool","B0DBLVPQ96","https://www.amazon.in/dp/B0DBLVPQ96?psc=1","https://m.media-amazon.com/images/I/71pSq2sZi+L._SX425_.jpg","ADIMAC",199,"N/A",0,700,"N/A",198,"3,354","N/A","N/A",1,4.5,171,"N/A","N/A","KK TRENDS","Health & Personal Care","N/A","FBA","N/A","N/A","N/A","N/A",,"No","N/A","KK TRENDS"
2.,"2Pcs Meridian Brush For Massage, Full Body Massage Brush, Meridian Brush Natural Bristle Dual Set For Daily Wellness(Purple)","B0FKBPKPX6","https://www.amazon.in/dp/B0FKBPKPX6?psc=1","https://m.media-amazon.com/images/I/71gUc5vFPxL._SX569_.jpg","SQUISHY",296,"N/A",0,200,"N/A",124,"4,423","N/A","N/A",1,3.8,18,"N/A","N/A","INLionw","Health & Personal Care","N/A","FBA","N/A","N/A","N/A","N/A",,"No","N/A","INLionw"
3.,"14-Inch Plastic Back Scratcher & Itching Stick – Pack of 2 – Durable & Comfortable Khujli Stick for Men, Women & Kids – Body Massage Stick for Instant Relief – Made in India","B09843BMVR","https://www.amazon.in/dp/B09843BMVR?psc=1","https://m.media-amazon.com/images/I/21oZnUy-JiL._SY355_.jpg","KD ZONE",164,"N/A",0,200,"N/A",173,"4,688","N/A","N/A",1,4,58,"N/A","N/A","KDZONE","Health & Personal Care","N/A","FBA","N/A","N/A","N/A","N/A",,"No","N/A","KDZONE"
4.,"SYGA Portable Stainless Steel Extendable Telescopic Back Scratcher, Hand Massage Tool, with Telescoping Handle, Extends from 6.1 to 19.68 inches","B07N1LHKQS","https://www.amazon.in/dp/B07N1LHKQS?psc=1","https://m.media-amazon.com/images/I/41NVL4s1JTL._SY450_.jpg","SYGA",199,"N/A",0,300,"N/A",144,"5,497","N/A","N/A",3,4.1,410,"N/A","N/A","RK World Infocom Pvt Ltd","Health & Personal Care","N/A","FBA","N/A","N/A","N/A","N/A",,"No","N/A","RK World Infocom Pvt Ltd"
5.,"Recovr Large Wooden Body Massage Roller for Full Pain Relief & Muscle Relaxation | Handheld Acupressure Roller for Back, Legs, Arms, Shoulders & Foot | Lymphatic Drainage Massager for Daily Stress Relief","B0FWRY4QG1","https://www.amazon.in/dp/B0FWRY4QG1?psc=1","https://m.media-amazon.com/images/I/51iO2p+dnOL._SX466_.jpg","Recovr",289,"N/A",0,100,"N/A",203,"5,704","N/A","N/A",2,5,5,"N/A","N/A","ETHICS PROSPERITY PRIVATE LIMITED","Health & Personal Care","N/A","FBA","N/A","N/A","N/A","N/A",,"No","N/A","ETHICS PROSPERITY PRIVATE LIMITED"
6.,"Product Back Stretcher Multi-Level Lumbar Region Back Support for Lower & Upper Muscle Pain Relief Spinal Curve Back Relaxation Device for Bed Chair & Car, Plastic","B09V7ZGS5Y","https://www.amazon.in/dp/B09V7ZGS5Y?psc=1","https://m.media-amazon.com/images/I/713eElkEnRL._SX679_PIbundle-2,TopRight,0,0_SX679SY622SH20_.jpg","WIDE MART",440,"N/A",0,300,"N/A",163,"6,019","N/A","N/A",3,4.2,"7,053","N/A","N/A","WIDE MART","Health & Personal Care","N/A","FBA","N/A","N/A","N/A","N/A",,"No","N/A","WIDE MART"
7.,"Pride of Kerala's Traditional Ayurvedic Bamboo Wooden Back Scratcher & Self Massager Stick with Double Ball - Handcrafted, Portable, 18 Inch, Ideal for Adults, Grandparents, Old Grandpa & Grandma | back scratcher stick- Pack of 2","B0DGQ6QXK2","https://www.amazon.in/dp/B0DGQ6QXK2?psc=1","https://m.media-amazon.com/images/I/61XGHbV2YNL._SX569_.jpg","INEPTA",199,"N/A",0,300,"N/A",229,"6,576","N/A","N/A",1,3.9,49,"N/A","N/A","Knockout Shoppy","Health & Personal Care","N/A","FBA","N/A","N/A","N/A","N/A",,"No","N/A","Knockout Shoppy"
8.,"Plastic Back Pain Relief Product Back Stretcher Spinal Curve Back Relaxation Device Massager Bed Chair Full Set Lumber Region Support Posture Corrector Acupressure Lower And Upper Muscle","B0CSWQTFDL","https://www.amazon.in/dp/B0CSWQTFDL?psc=1","https://m.media-amazon.com/images/I/41Eq9DVXj2S._SX466_.jpg","SWAMINE",265,"N/A",0,200,"N/A",186,"6,579","N/A","N/A",1,3.9,268,"N/A","N/A","Swamine","Health & Personal Care","N/A","FBA","N/A","N/A","N/A","N/A",,"No","N/A","Swamine"
9.,"CULT Deep Cure Pro Back Massager, 4 Deep Kneading Shiatsu Rollers For Back And Waist Pain Relief, Corded Electric Massager, Black","B0DQVCR1QS","https://www.amazon.in/dp/B0DQVCR1QS?psc=1","https://m.media-amazon.com/images/I/61bvqs19dsL._SY450_.jpg","CULT","3,599","N/A",0,100,"N/A",129,"6,296","N/A","N/A",1,3.5,46,"N/A","N/A","Electronics Bazaar  Store","Health & Personal Care","N/A","FBA","N/A","N/A","N/A","N/A",,"No","N/A","Electronics Bazaar  Store"
10.,"LD Handicrafts Wooden Acupressure Body Massager Roller for Back, Neck, Leg & Foot Pain Relief, Handheld Deep Tissue Massage Tool for Muscle Relaxation, Brown","B0F26MV8QG","https://www.amazon.in/dp/B0F26MV8QG?psc=1","https://m.media-amazon.com/images/I/51-sAwxUUYL._SY355_.jpg","Generic",288,"N/A",0,100,"N/A",157,"8,231","N/A","N/A",1,4.2,33,"N/A","N/A","LUXURIOUS DWELLING","Health & Personal Care","N/A","FBA","N/A","N/A","N/A","N/A",,"No","N/A","LUXURIOUS DWELLING"
11.,"KAAS Wooden Back Scratcher/Itcher/Back Itching Stick with Double ball Massager (Pack of 1)","B08VDBHD83","https://www.amazon.in/dp/B08VDBHD83?psc=1","https://m.media-amazon.com/images/I/51SQMVNdzPL._SX425_.jpg","KAAS",179,"N/A",0,100,"N/A",90,"8,638","N/A","N/A",1,4.2,305,"N/A","N/A","Kaas","Health & Personal Care","N/A","FBA","N/A","N/A","N/A","N/A",,"No","N/A","Kaas"
12.,"Master arts shisham Wood back/neck/face/head/Hand/legs Massager Roller Body Stress releif Acupressure Acupuncture Cutter Manual Massagers (set of 5) best massager kit, wooden massager (master 1)","B0CPJ3623Z","https://www.amazon.in/dp/B0CPJ3623Z?psc=1","https://m.media-amazon.com/images/I/61D9MtBm53L._SX425_.jpg","Generic",329,"N/A",0,100,"N/A",194,"6,360","N/A","N/A",1,4,81,"N/A","N/A","Master Arts.,","Health & Personal Care","N/A","FBA","N/A","N/A","N/A","N/A",,"No","N/A","Master Arts.,"
13.,"2Pc Plastic Long Itching Hand Stick Peeth khujane wala stick Relaxation Handcrafted Back Scratcher Telescopic Back Itching Scratcher & Massager Stick khujli Stick Scratch Tool Itching Relief Stick","B0FRMW4WPB","https://www.amazon.in/dp/B0FRMW4WPB?psc=1","https://m.media-amazon.com/images/I/61jRgEs7bnL._SX466_.jpg","SpiderJuice",149,"N/A",0,50,"N/A",196,"9,395","N/A","N/A",1,"N/A",0,"N/A","N/A","SPIDERJUICE PRIVATE LIMITED","Health & Personal Care","N/A","FBA","N/A","N/A","N/A","N/A",,"No","N/A","SPIDERJUICE PRIVATE LIMITED"
14.,"Anaya Handicrafts Wooden Body Massager Combo Set for Pain Relief Acupressure Therapy Handheld Back Neck Leg Muscle Relaxer Natural Wood Roller Massage Tools (Pack of 4)","B0G3Q4DDY1","https://www.amazon.in/dp/B0G3Q4DDY1?psc=1","https://m.media-amazon.com/images/I/718QEid+8uL._SY450_.jpg","Generic",299,"N/A",0,50,"N/A",168,"9,516","N/A","N/A",1,4,1,"N/A","N/A","Anaya Handicrafts","Health & Personal Care","N/A","FBA","N/A","N/A","N/A","N/A",,"No","N/A","Anaya Handicrafts"
15.,"Wooden T Massage (7x4) & D Handle Massager (6x3.5) & Face & Neck Massager for Therapy Combo Kit For Stress, Pain Relief - Brown Colour (Set Of 4)","B08X78FSB9","https://www.amazon.in/dp/B08X78FSB9?psc=1","https://m.media-amazon.com/images/I/711KtcUboVL._SX466_.jpg","FA INDUSTRIES",374.3,"N/A",0,100,"N/A",145,"9,987","N/A","N/A",1,4.2,19,"N/A","N/A","FA INDUSTRIES","Health & Personal Care","N/A","FBA","N/A","N/A","N/A","N/A",,"No","N/A","FA INDUSTRIES"
16.,"Zandu Ayurvedic Pain Relief Potli -180g |Manual Massager Potli | Alleviate Knee, Back, Neck & Leg Pain| Reduce Swelling | Improve Blood Flow with Pain Relief Potli | Blend of 17 Potent Ayurvedic Herbs","B0CKBQLXFL","https://www.amazon.in/dp/B0CKBQLXFL?psc=1","https://m.media-amazon.com/images/I/517+2RHfw1L._SX466_.jpg","Zandu","N/A","N/A",0,"N/A","N/A",200,"10,029","N/A","N/A",1,3.4,199,"N/A","N/A",,"Health & Personal Care","N/A","N/A","N/A","N/A","N/A","N/A",,"No","N/A",
17.,"FOVERA Gel Back Stretcher Lumbar Traction for Upper & Lower Back Pain Relief, Lumbar Support, Sciatica Nerve, Spinal Stenosis, Posture Correction, Back Excercise, Back Cracker","B0CBW4WHXH","https://www.amazon.in/dp/B0CBW4WHXH?psc=1","https://m.media-amazon.com/images/I/91Duf7bVo1L._SX522_.jpg","FOVERA",990,"N/A",0,100,"N/A",175,"1,623","N/A","N/A",2,4,422,"N/A","N/A","RK World Infocom Pvt Ltd","Health & Personal Care","N/A","FBA","N/A","N/A","N/A","N/A",,"No","N/A","RK World Infocom Pvt Ltd"
18.,"Tredy Wood Handicraft Cellulite Remover, Muscle Tension and Skin Health Support, Natural Manual Wooden Massager, Wooden Lymphatic Drainage Massager, Maderoterapia Tool","B0BTMT7XRS","https://www.amazon.in/dp/B0BTMT7XRS?psc=1","https://m.media-amazon.com/images/I/51h7scP6DvL._SY741_.jpg","Generic",249,"N/A",0,50,"N/A",167,"11,018","N/A","N/A",2,4,54,"N/A","N/A","Trendy Wood Handicraft","Health & Personal Care","N/A","FBA","N/A","N/A","N/A","N/A",,"No","N/A","Trendy Wood Handicraft"
