"Display Order","Product Details","ASIN","URL","Image URL","Brand","Price  ₹","Sales","Variation Sales Strength (1 - 10)","Recent Purchases","Revenue","Title Char. Count","BSR","Seller Country/Region","Fees  ₹","Active Sellers","Ratings","Review Count","Images","Review velocity","Buy Box","Category","Size Tier","Fulfillment","Dimensions","Weight","ABA Most Clicked","Creation Date","Sponsored","Best Seller","Seller Age (mo)","Seller"
1.,"Lint Remover for Clothes | Electric Fabric Lint Shaver for Sweater, Woolen Clothes and Blankets (6 Blades, 9000 RPM Motor)","B0DSLKXCYB","https://www.amazon.in/dp/B0DSLKXCYB?psc=1","https://m.media-amazon.com/images/I/71lyXvrJ2zL._SX569_.jpg","VR PRIME",289,"N/A",0,"6,000","N/A",122,97,"N/A","N/A",1,4.3,709,"N/A","N/A","VR PRIME","Home & Kitchen","N/A","FBA","N/A","N/A","N/A","N/A",,"No","N/A","VR PRIME"
2.,"AGARO LR2007 Lint Remover, Fabric Brush, Rechargeable, for Woolen Sweaters, Clothes, Shirts, Jackets, Burr Remover, Pill Remover from Carpets, Curtains.","B0BK1K598K","https://www.amazon.in/dp/B0BK1K598K?psc=1","https://m.media-amazon.com/images/I/615oLHvTIlL._SY450_.jpg","AGARO",753,"N/A",0,"4,000","N/A",152,159,"N/A","N/A",4,4.2,"6,364","N/A","N/A","RetailEZ Pvt Ltd","Home & Kitchen","N/A","FBA","N/A","N/A","N/A","N/A",,"No","N/A","RetailEZ Pvt Ltd"
3.,"NOVA Lint Remover for Clothes & Fabric Shaver for Woolen Clothes & Lint Shaver | 1 Year Warranty | ‎","B0DSLTXYKG","https://www.amazon.in/dp/B0DSLTXYKG?psc=1","https://m.media-amazon.com/images/I/61x3CGPXelL._SX679_.jpg","C (DEVICE)",265,"N/A",0,"4,000","N/A",100,756,"N/A","N/A",3,4,486,"N/A","N/A","Choose And Track","Home & Kitchen","N/A","FBA","N/A","N/A","N/A","N/A",,"No","N/A","Choose And Track"
4.,"Nova Lint Remover for Clothes Fabric Cleaner Machine for Sweaters & Blankets Electric Shaver for Clothes Powerful Fabric Cleaner with Honeycomb Mesh LintPro 360™ 1 Year Warranty (LintPro)","B0DFCY1PPB","https://www.amazon.in/dp/B0DFCY1PPB?psc=1","https://m.media-amazon.com/images/I/71gleVScb0L._SX466_.jpg","NOVA LINT REMOVER",345,"N/A",0,"1,000","N/A",187,965,"N/A","N/A",1,4.6,"3,250","N/A","N/A","GetSetNova","Home & Kitchen","N/A","FBA","N/A","N/A","N/A","N/A",,"No","N/A","GetSetNova"
5.,"1 Handle & 5 Refill (300 Sheets) Lint Roller Fabric Roller Black Lint Remover for Woolen Clothes Pet Hair Fur Remover with Ball Handle Ideal for Car Seats, Carpets, Coat, Furniture&Dust Cleaning","B0DV5FZS41","https://www.amazon.in/dp/B0DV5FZS41?psc=1","https://m.media-amazon.com/images/I/712ESCFWtiL._SX450_PIbundle-5,TopRight,0,0_SX450SY387SH20_.jpg","Sendria",199,"N/A",0,"1,000","N/A",194,"1,412","N/A","N/A",1,4.2,114,"N/A","N/A","SENDRIA","Home & Kitchen","N/A","FBA","N/A","N/A","N/A","N/A",,"No","N/A","SENDRIA"
6.,"GLUN® Lint Remover for Clothes Fuzz Remover for All Woolen Clothes, USB Port, Lint Remover for Clothes, Sweaters, Blankets","B0CWR8MHY3","https://www.amazon.in/dp/B0CWR8MHY3?psc=1","https://m.media-amazon.com/images/I/619Za1fK1RL._SY355_.jpg","GLUN",239,"N/A",0,"2,000","N/A",122,"2,343","N/A","N/A",1,4,"2,486","N/A","N/A","Clicktech Retail Private Ltd","Home & Kitchen","N/A","FBA","N/A","N/A","N/A","N/A",,"No","N/A","Clicktech Retail Private Ltd"
7.,"Sticky Lint Remover Roller for Clothes 180 Sheets Reusable Easy-Tear Pet Hair Remover for Clothes, Sofa, Furniture, Sweater, Dust & Dirt - 3 Rolls 60 Sheets (Multicolor) (Multi Set of 3)","B0CRKMX835","https://www.amazon.in/dp/B0CRKMX835?psc=1","https://m.media-amazon.com/images/I/516TiiXswDL._SX569_.jpg","Foyken",226,"N/A",0,700,"N/A",186,"2,470","N/A","N/A",2,4.1,446,"N/A","N/A","Krishna Lifestyle.","Home & Kitchen","N/A","FBA","N/A","N/A","N/A","N/A",,"No","N/A","Krishna Lifestyle."
8.,"NOVA Lint Remover for Clothes Fabric Cleaner Tint and Dust Remover, Fabric Brush, for Woolen Sweaters, Clothes, Shirts, Jackets, Burr Remover (1 Year Warranty) (Orange White)","B01NCVJMKX","https://www.amazon.in/dp/B01NCVJMKX?psc=1","https://m.media-amazon.com/images/I/71l+8NT0lQL._SX522_.jpg","SHOPTOSHOP",299,"N/A",0,"2,000","N/A",174,"3,421","N/A","N/A",2,4.1,"8,244","N/A","N/A","Shop Too Shop®","Home & Kitchen","N/A","FBA","N/A","N/A","N/A","N/A",,"No","N/A","Shop Too Shop®"
9.,"NUUK RIZZ Rechargeable Lint Remover for Clothes with FREE Storage Pouch | 2 Speed Modes For All Fabrics | 60 Min Runtime with Type-C Charging | Fabric Shaver for Woolen Sweaters, Shawls, Coats, Shirts","B0DQL6WN4P","https://www.amazon.in/dp/B0DQL6WN4P?psc=1","https://m.media-amazon.com/images/I/71Par702GfL._SX522_.jpg","NUUK",999,"N/A",0,200,"N/A",200,"3,437","N/A","N/A",2,4.6,683,"N/A","N/A","NUUK","Home & Kitchen","N/A","FBA","N/A","N/A","N/A","N/A",,"No","N/A","NUUK"
10.,"Phillips Nova Lint Remover for Clothes Woolen Sweaters, Blankets, Jackets, Burr & Pill Remover for Carpets and Clothes – Dust & Lint Removal Tool (2 Year Warranty)","B0FX97344H","https://www.amazon.in/dp/B0FX97344H?psc=1","https://m.media-amazon.com/images/I/51Ff+RrjInL._SX466_.jpg","OLICOM",299,"N/A",0,800,"N/A",163,"4,592","N/A","N/A",1,4.7,180,"N/A","N/A","Multi Store 2021","Home & Kitchen","N/A","FBA","N/A","N/A","N/A","N/A",,"No","N/A","Multi Store 2021"
