"Display Order","Product Details","ASIN","URL","Image URL","Brand","Price  ₹","Sales","Variation Sales Strength (1 - 10)","Recent Purchases","Revenue","Title Char. Count","BSR","Seller Country/Region","Fees  ₹","Active Sellers","Ratings","Review Count","Images","Review velocity","Buy Box","Category","Size Tier","Fulfillment","Dimensions","Weight","ABA Most Clicked","Creation Date","Sponsored","Best Seller","Seller Age (mo)","Seller"
1.,"Gala Steel Scrubber Combo Set (Pack of 6)","B01568SIG8","https://www.amazon.in/dp/B01568SIG8?psc=1","https://m.media-amazon.com/images/I/81zZOwtLGqL._SX466_.jpg","Gala",155,"N/A",0,"4,000","N/A",41,46,"N/A","N/A",4,4.3,"2,638","N/A","N/A","Clicktech Retail Private Ltd","Home Improvement","N/A","FBA","N/A","N/A","N/A","N/A",,"No","N/A","Clicktech Retail Private Ltd"
2.,"Gala - 151810 Scrubber with Long Handle (Multicolour)","B01LZBVOMD","https://www.amazon.in/dp/B01LZBVOMD?psc=1","https://m.media-amazon.com/images/I/613Ei3S8s3L._SY450_.jpg","Gala",180,"N/A",0,"3,000","N/A",53,60,"N/A","N/A",1,3.8,"9,540","N/A","N/A","Clicktech Retail Private Ltd","Home Improvement","N/A","FBA","N/A","N/A","N/A","N/A",,"No","N/A","Clicktech Retail Private Ltd"
3.,"AGARO Royal Electric Spin Scrubber, Cleaning Brush Scrubber for Home, 300RPM/Min, 8 Replaceable Brush Heads, 90 Min Work Time, 3 Adjustable Size, 2 Adjustable Speeds, for Bathroom, Floor Tiles, White","B0CNLQYLS4","https://www.amazon.in/dp/B0CNLQYLS4?psc=1","https://m.media-amazon.com/images/I/71zBxjyW9OL._SY355_.jpg","AGARO","2,899","N/A",0,"2,000","N/A",199,76,"N/A","N/A",2,4,"2,712","N/A","N/A","Clicktech Retail Private Ltd","Home Improvement","N/A","FBA","N/A","N/A","N/A","N/A",,"No","N/A","Clicktech Retail Private Ltd"
4.,"Scotch-Brite Height Adjustable Handle Bathroom Tile Scrubber Brush- Cleans Tiles, Hard to Reach Corners, Floors Without Bending, Tough Stain Removal, 180° Rotating Triangular Head for Easy Cleaning","B0FT33QZN3","https://www.amazon.in/dp/B0FT33QZN3?psc=1","https://m.media-amazon.com/images/I/51ZpskuTBtL._SY450_.jpg","Scotch-Brite",499,"N/A",0,"1,000","N/A",197,231,"N/A","N/A",2,4.3,85,"N/A","N/A","Clicktech Retail Private Ltd","Home Improvement","N/A","FBA","N/A","N/A","N/A","N/A",,"No","N/A","Clicktech Retail Private Ltd"
5.,"Royal Electric Spin Scrubber, Cleaning Brush Scrubber for Home, 300RPM/Min, 9 Replaceable Brush Heads, 90 Min Work Time, 3 Adjustable Size, 2 Adjustable Speeds, for Bathroom, Floor Tiles","B0DYNGL97X","https://www.amazon.in/dp/B0DYNGL97X?psc=1","https://m.media-amazon.com/images/I/71BDnwCVolL._SX679_.jpg","NELVINEXPORTS",999,"N/A",0,"1,000","N/A",186,275,"N/A","N/A",1,4,152,"N/A","N/A","NELVIN EXPORTS","Home Improvement","N/A","FBA","N/A","N/A","N/A","N/A",,"No","N/A","NELVIN EXPORTS"
6.,"Fengbao S i n k Stopper 2 in 1 Floor Brushes with Long Handle Bathroom Cleaning Brush with Wiper -Long Handle","B0GF2YHQF9","https://www.amazon.in/dp/B0GF2YHQF9?psc=1","https://m.media-amazon.com/images/I/51cSH3ZbE7L.jpg","Fengbao",249,"N/A",0,500,"N/A",109,341,"N/A","N/A",1,4.7,"44,224","N/A","N/A","RadheDecor","Home Improvement","N/A","FBA","N/A","N/A","N/A","N/A",,"No","N/A","RadheDecor"
7.,"Gala Stainless Steel Scrubber - 1 Piece for Kitchen Utensils Cleaning","B00M6P65ZQ","https://www.amazon.in/dp/B00M6P65ZQ?psc=1","https://m.media-amazon.com/images/I/81kOzUDWLLL._SX679_.jpg","Gala",30,"N/A",0,500,"N/A",69,371,"N/A","N/A",2,4.2,666,"N/A","N/A","Clicktech Retail Private Ltd","Home Improvement","N/A","FBA","N/A","N/A","N/A","N/A",,"No","N/A","Clicktech Retail Private Ltd"
8.,"Vow Steel Scrubber (Pack of 3)","B0751FHYTP","https://www.amazon.in/dp/B0751FHYTP?psc=1","https://m.media-amazon.com/images/I/71WlxNjyh1L._SX342_.jpg","Vow",149,"N/A",0,500,"N/A",30,385,"N/A","N/A",3,4,"1,152","N/A","N/A","SARASWATHI DECALS","Home Improvement","N/A","FBA","N/A","N/A","N/A","N/A",,"No","N/A","SARASWATHI DECALS"
9.,"MinuteToCleanIt Floor Scrub Brush with Squeegee, 45.3-55.9"" Extendable Handle, 11.8"" Wide Head, for Tiles, Hardwood, Patio, Yellow (2 in 1 Brush)","B0DDCRWQ7P","https://www.amazon.in/dp/B0DDCRWQ7P?psc=1","https://m.media-amazon.com/images/I/61YFWuog68L._SY355_.jpg","MinuteToCleanIt",999,"N/A",0,300,"N/A",145,686,"N/A","N/A",2,4.2,274,"N/A","N/A","MinuteToCleanIt","Home Improvement","N/A","FBA","N/A","N/A","N/A","N/A",,"No","N/A","MinuteToCleanIt"
10.,"9 in 1 Electric Spin Scrubber, Cleaning Brush Scrubber for Home, 400RPM/Mins-9 Replaceable Brush Heads-90Mins Work Time, Adjustable Size, 2 Adjustable Speeds for Bathroom Shower (1)","B0GL23Z3L7","https://www.amazon.in/dp/B0GL23Z3L7?psc=1","https://m.media-amazon.com/images/I/71t7ymiJiNL._SX466_.jpg","DADLM",998,"N/A",0,"N/A","N/A",181,705,"N/A","N/A",1,5,24,"N/A","N/A","DADLM®","Home Improvement","N/A","FBA","N/A","N/A","N/A","N/A",,"No","N/A","DADLM®"
11.,"Seseno 9 in 1 Electric Spin Scrubber, Cleaning Brush Scrubber for Home, 300RPM/Min, 8 Replaceable Brush Heads, 3 Adjustable Size, 2 Adjustable Speeds, for Bathroom, Floor Tiles","B0G4DBRQ2F","https://www.amazon.in/dp/B0G4DBRQ2F?psc=1","https://m.media-amazon.com/images/I/71XnyG3peFL._SX355_.jpg","Seseno",999,"N/A",0,100,"N/A",176,836,"N/A","N/A",1,4.7,"11,722","N/A","N/A","DOKEHOM","Home Improvement","N/A","FBA","N/A","N/A","N/A","N/A",,"No","N/A","DOKEHOM"
12.,"2 in 1 Floor Brushes with Handle Bathroom Cleaning Brush with Wiper -Handle","B0GFDDPN6M","https://www.amazon.in/dp/B0GFDDPN6M?psc=1","https://m.media-amazon.com/images/I/51cSH3ZbE7L.jpg","LYPLO",219,"N/A",0,100,"N/A",75,"1,092","N/A","N/A",1,4.7,18,"N/A","N/A","UMA ENTERPRISES_01","Home Improvement","N/A","FBA","N/A","N/A","N/A","N/A",,"No","N/A","UMA ENTERPRISES_01"
13.,"Electric Spin Scrubber - 5-in-1 Handheld Power Scrubber with LED Display, 2-Speed Rechargeable Cleaning Brush, 1200mAh Battery & 5 Interchangeable Heads for Bathroom, Kitchen & Tile","B0FZSQXSQQ","https://www.amazon.in/dp/B0FZSQXSQQ?psc=1","https://m.media-amazon.com/images/I/51ZtupNO5QL._SX569_.jpg","OVIOL",799,"N/A",0,200,"N/A",181,"1,133","N/A","N/A",1,4.6,36,"N/A","N/A","OVIOL® STORE","Home Improvement","N/A","FBA","N/A","N/A","N/A","N/A",,"No","N/A","OVIOL® STORE"
