"Display Order","Product Details","ASIN","URL","Image URL","Brand","Price  ₹","Sales","Variation Sales Strength (1 - 10)","Recent Purchases","Revenue","Title Char. Count","BSR","Seller Country/Region","Fees  ₹","Active Sellers","Ratings","Review Count","Images","Review velocity","Buy Box","Category","Size Tier","Fulfillment","Dimensions","Weight","ABA Most Clicked","Creation Date","Sponsored","Best Seller","Seller Age (mo)","Seller"
1.,"Billebon Premium Neck Pillow for Travelling Airplane Travel Pillow Comfortable Head Rest Neck Holder Pillow (Grey)","B082F88NKP","https://www.amazon.in/dp/B082F88NKP?psc=1","https://m.media-amazon.com/images/I/81fBDyL6+KL._SX679_.jpg","Billebon",201,"N/A",0,"3,000","N/A",114,7,"N/A","N/A",2,3.9,"15,292","N/A","N/A","RetailEZ Pvt Ltd","Bags, Wallets and Luggage","N/A","FBA","N/A","N/A","N/A","N/A",,"No","N/A","RetailEZ Pvt Ltd"
2.,"Trajectory Travel Neck Pillow for Travelling and Sleeping in Airplane Flight, Cab, Car, Train, Bus for Men and Women Grey (As seen on Shark Tank)","B0FPDLT1CC","https://www.amazon.in/dp/B0FPDLT1CC?psc=1","https://m.media-amazon.com/images/I/51g5CjQBYCL._SX425_.jpg","Trajectory",201,"N/A",0,"1,000","N/A",145,19,"N/A","N/A",1,3.9,"14,534","N/A","N/A","RetailEZ Pvt Ltd","Bags, Wallets and Luggage","N/A","FBA","N/A","N/A","N/A","N/A",,"No","N/A","RetailEZ Pvt Ltd"
3.,"Amazon Basics Memory Foam Travel Neck Pillow with Eye Mask & Ear Plugs Combo|Ultra Soft Velvet Fabric|Ergonomically Designed for Ultimate Comfort for Air, Car, Train, Bus Travel- Black, Standard Size","B0C7BM18PB","https://www.amazon.in/dp/B0C7BM18PB?psc=1","https://m.media-amazon.com/images/I/71gqZE6HL+L._SX450_.jpg","amazon basics",359,"N/A",0,800,"N/A",199,29,"N/A","N/A",1,4.1,"10,681","N/A","N/A","ETrade Online","Bags, Wallets and Luggage","N/A","FBA","N/A","N/A","N/A","N/A",,"No","N/A","ETrade Online"
4.,"Frido Travel Neck Pillow, 100% Hi-Per Foam, Lightweight Neck Support Pillow, Neck Pillow for Flight Travel, Memory Foam, Adjustable Velcro Straps, Free Travel Pouch (Core Black)","B0DMKCT2C5","https://www.amazon.in/dp/B0DMKCT2C5?psc=1","https://m.media-amazon.com/images/I/61ktHYSbSIL._SX466_.jpg","Frido","1,498","N/A",0,700,"N/A",177,42,"N/A","N/A",2,4.1,914,"N/A","N/A","ETrade Online","Bags, Wallets and Luggage","N/A","FBA","N/A","N/A","N/A","N/A",,"No","N/A","ETrade Online"
5.,"Billebon Gel Infused Memory Foam Neck Pillow, Travel Pillow with Adjustable Velcro Straps, Neck Pillow for Travelling & Flight Travel, Ergonomic Support for Comfort & Pain Relief(Grey Combo)","B0FJ69MJ5Y","https://www.amazon.in/dp/B0FJ69MJ5Y?psc=1","https://m.media-amazon.com/images/I/71w8XDSAWsL._SY355_.jpg","Billebon",699,"N/A",0,500,"N/A",190,51,"N/A","N/A",1,4.2,123,"N/A","N/A","RetailEZ Pvt Ltd","Bags, Wallets and Luggage","N/A","FBA","N/A","N/A","N/A","N/A",,"No","N/A","RetailEZ Pvt Ltd"
6.,"Trajectory Travel Neck Pillow for Travelling and Sleeping in Airplane Flight, Cab, Car, Train, Bus for Men and Women Blue (As seen on Shark Tank)","B0FPDLDY86","https://www.amazon.in/dp/B0FPDLDY86?psc=1","https://m.media-amazon.com/images/I/51x1gS6JeuL._SX425_.jpg","Trajectory",298,"N/A",0,"1,000","N/A",145,55,"N/A","N/A",1,3.8,"4,294","N/A","N/A","RetailEZ Pvt Ltd","Bags, Wallets and Luggage","N/A","FBA","N/A","N/A","N/A","N/A",,"No","N/A","RetailEZ Pvt Ltd"
7.,"Polyester Comfort Ultralight Inflatable By Pressing Air Pillow - Compact, Ergonomic Pillow For Neck Head Lumbar Support For Travel, Camping, Home, Office.(Multicolor)","B0F2HZPRZ6","https://www.amazon.in/dp/B0F2HZPRZ6?psc=1","https://m.media-amazon.com/images/I/31OQQKcvEDL._SX679_.jpg","Brienstripe",379,"N/A",0,700,"N/A",166,176,"N/A","N/A",1,4.3,271,"N/A","N/A","Brienstripe","Bags, Wallets and Luggage","N/A","FBA","N/A","N/A","N/A","N/A",,"No","N/A","Brienstripe"
8.,"FLYNGO Memory Foam Neck Pillow for Travel Neck Support Pillow with Rest Eye Mask, Noise Isolating Ear Plugs Portable Combo (Black, pack of 1)","B0BQC5VYV8","https://www.amazon.in/dp/B0BQC5VYV8?psc=1","https://m.media-amazon.com/images/I/81h0-2f8dCL._SY450_.jpg","FLYNGO",499,"N/A",0,700,"N/A",141,197,"N/A","N/A",1,4.1,737,"N/A","N/A","SHREE Retails","Bags, Wallets and Luggage","N/A","FBA","N/A","N/A","N/A","N/A",,"No","N/A","SHREE Retails"
9.,"ADOFYS Neck Pillow for Travelling Memory Foam, Comfortable & Supportive, Pain Relief Sleeping Travel Neck Pillow, Airplane Pillow for Sleeping in Flight, Car, Office and Home","B081RQZ1FG","https://www.amazon.in/dp/B081RQZ1FG?psc=1","https://m.media-amazon.com/images/I/51Xanhl3m4L._SX425_.jpg","ADOFYS",652,"N/A",0,300,"N/A",174,223,"N/A","N/A",1,4,"3,333","N/A","N/A","Adofys India-(Customer Happiness Is Top Priority)","Bags, Wallets and Luggage","N/A","FBA","N/A","N/A","N/A","N/A",,"No","N/A","Adofys India-(Customer Happiness Is Top Priority)"
10.,"Billebon Premium Fiber Filled Neck Pillow, Aeroplane Travel Pillow Neck Adjustable 360 Degree Support Headrest Neck Support Comfortable Pillow with Eye Mask","B0CF1PXZK5","https://www.amazon.in/dp/B0CF1PXZK5?psc=1","https://m.media-amazon.com/images/I/617nFkso7OL._SY355_.jpg","Billebon",257,"N/A",0,"N/A","N/A",156,247,"N/A","N/A",3,3.8,950,"N/A","N/A","RetailEZ Pvt Ltd","Bags, Wallets and Luggage","N/A","FBA","N/A","N/A","N/A","N/A",,"No","N/A","RetailEZ Pvt Ltd"
