"Display Order","Product Details","ASIN","URL","Image URL","Brand","Price  ₹","Sales","Variation Sales Strength (1 - 10)","Recent Purchases","Revenue","Title Char. Count","BSR","Seller Country/Region","Fees  ₹","Active Sellers","Ratings","Review Count","Images","Review velocity","Buy Box","Category","Size Tier","Fulfillment","Dimensions","Weight","ABA Most Clicked","Creation Date","Sponsored","Best Seller","Seller Age (mo)","Seller"
1.,"PHILIPS Handheld Garment Steamer STH3000/20 - Compact & Foldable, Convenient Vertical Steaming, 1000 Watt Quick Heat Up, up to 20g/min, Kills 99.9%* Bacteria","B08TM71L54","https://www.amazon.in/dp/B08TM71L54?psc=1","https://m.media-amazon.com/images/I/4169lLQJ1VL._SX679_.jpg","Philips","3,499","N/A",0,"4,000","N/A",157,247,"N/A","N/A",1,4,"9,021","N/A","N/A","RetailEZ Pvt Ltd","Home & Kitchen","N/A","FBA","N/A","N/A","N/A","N/A",,"No","N/A","RetailEZ Pvt Ltd"
2.,"OWNAIR Steamer for Ironing Clothes - 1800W Handheld Garment Steamer - 24g/min High Steam, Fast Heat-Up in 15s, 110ml Tank, Vertical & Horizontal Hand Hold Steam Iron for Clothes and Fabrics","B0F3V7TWSM","https://www.amazon.in/dp/B0F3V7TWSM?psc=1","https://m.media-amazon.com/images/I/712CqUyz-HL._SX679_.jpg","OWNAIR","2,848","N/A",0,"2,000","N/A",189,443,"N/A","N/A",1,4.3,"3,071","N/A","N/A","OWNAIR LIFESTYLE PVT LTD","Home & Kitchen","N/A","FBA","N/A","N/A","N/A","N/A",,"No","N/A","OWNAIR LIFESTYLE PVT LTD"
3.,"NUUK STROM GO V2 Super Compact and Lightweight Travel Garment Steamer For Clothes | FREE Heat Resistant Travel Pouch | Vertical & Horizontal Steaming | 20g/min Steam | 30 Sec Heat Up","B0FV34C51P","https://www.amazon.in/dp/B0FV34C51P?psc=1","https://m.media-amazon.com/images/I/51aUbBoWsIL._SX466_.jpg","NUUK","2,899","N/A",0,700,"N/A",182,"1,563","N/A","N/A",1,4.4,978,"N/A","N/A","RetailEZ Pvt Ltd","Home & Kitchen","N/A","FBA","N/A","N/A","N/A","N/A",,"No","N/A","RetailEZ Pvt Ltd"
4.,"INALSA Steamer for Ironing Clothes - 1600W Handheld Garment Steamer - 25g/min High Steam, Fast Heat-Up time, 340 ml Tank, Vertical & Horizontal Steam Iron for Clothes, Garment Steamer (Cosicosy)","B0DB5NGVYN","https://www.amazon.in/dp/B0DB5NGVYN?psc=1","https://m.media-amazon.com/images/I/61KeO0-plNL._SY355_.jpg","Inalsa","2,199","N/A",0,"N/A","N/A",194,"2,053","N/A","N/A",3,3.9,"1,969","N/A","N/A","RetailEZ Pvt Ltd","Home & Kitchen","N/A","FBA","N/A","N/A","N/A","N/A",,"No","N/A","RetailEZ Pvt Ltd"
5.,"Hamilton Beach Professional Garment Steamer, Steam Iron for Clothes, 1740Watt Fast Heat Up, Turbo Steam Mode, Detachable Fabric Brush, Large 300ml Water Tank, Ergonomic Handle, 2m Cord, Black","B0F18VFW6T","https://www.amazon.in/dp/B0F18VFW6T?psc=1","https://m.media-amazon.com/images/I/61kNtekD4jL._SX522_.jpg","Hamilton Beach","3,499","N/A",0,900,"N/A",191,"2,718","N/A","N/A",2,4,"7,414","N/A","N/A","Trade Connect","Home & Kitchen","N/A","FBA","N/A","N/A","N/A","N/A",,"No","N/A","Trade Connect"
6.,"Goodscity Handheld Garment Steamer for clothes, Vertical & Horizontal Steam iron for clothes, 30s Fast heating |Travel Freindly Iron Steamer Press| 1200 Watt |250ml tank | 1 year Waranty- GC111","B0FJHDD3S2","https://www.amazon.in/dp/B0FJHDD3S2?psc=1","https://m.media-amazon.com/images/I/51hooqrZcmL._SY450_.jpg","GOODSCITY","2,398","N/A",0,300,"N/A",193,"3,359","N/A","N/A",2,4.3,318,"N/A","N/A","GOODSCITY","Home & Kitchen","N/A","FBA","N/A","N/A","N/A","N/A",,"No","N/A","GOODSCITY"
7.,"PHILIPS Standing Garment Steamer STE1040/20-1800 Watts, 1.8 LTR Water Tank, Refresh All Fabrics with upto 36 gm Steam Output with Styling Board- No Burns Guaranteed from World's No.1 Ironing Brand","B0CZR38J79","https://www.amazon.in/dp/B0CZR38J79?psc=1","https://m.media-amazon.com/images/I/41srdc-EL2L._SX569_.jpg","Philips","7,499","N/A",0,600,"N/A",196,"3,702","N/A","N/A",1,4,95,"N/A","N/A","RetailEZ Pvt Ltd","Home & Kitchen","N/A","FBA","N/A","N/A","N/A","N/A",,"No","N/A","RetailEZ Pvt Ltd"
8.,"INALSA Garment Steamer for Clothes/fabric, Steam Iron -Vertical & Horizontal Steaming up to 20g/min, Travel Iron, 1200 Watt, 260 ml Water tank & 20 sec Fast Heating, 1 Yr warranty, White/Pink (Steamax)","B0843YHKKB","https://www.amazon.in/dp/B0843YHKKB?psc=1","https://m.media-amazon.com/images/I/51FWK5Y+e2L._SX425_.jpg","Inalsa","2,000","N/A",0,500,"N/A",201,"3,844","N/A","N/A",1,3.9,"4,097","N/A","N/A","RetailEZ Pvt Ltd","Home & Kitchen","N/A","FBA","N/A","N/A","N/A","N/A",,"No","N/A","RetailEZ Pvt Ltd"
9.,"Iron for clothes, Steamer for Clothes & Iron 2in1, Steam Iron for Travel Ironing foldable steamer cloth dryer, portable handheld garment drying, 1200W Travel Steam Iron, 5 Modes LCD, 180ml for 20 Min Steam","B0FLDP6V4L","https://www.amazon.in/dp/B0FLDP6V4L?psc=1","https://m.media-amazon.com/images/I/51wfcKQdiUL._SY355_.jpg","kikvi","2,280","N/A",0,500,"N/A",205,"4,964","N/A","N/A",1,4.2,156,"N/A","N/A","Kikvi Technologies","Home & Kitchen","N/A","FBA","N/A","N/A","N/A","N/A",,"No","N/A","Kikvi Technologies"
10.,"PHILIPS Standing Garment Steamer STE1020/40-1800 Watts, 1.8 LTR Water Tank, Refresh Woolens with Upto 36 gm Steam Output, Adjustable Double Pole- No Burns Guaranteed from World's No.1 Ironing Brand","B0CZR9CCRX","https://www.amazon.in/dp/B0CZR9CCRX?psc=1","https://m.media-amazon.com/images/I/41pHC2T98PL._SX522_.jpg","Philips","5,946","N/A",0,800,"N/A",197,"5,576","N/A","N/A",5,4.1,"4,003","N/A","N/A","RetailEZ Pvt Ltd","Home & Kitchen","N/A","FBA","N/A","N/A","N/A","N/A",,"No","N/A","RetailEZ Pvt Ltd"
