"Display Order","Product Details","ASIN","URL","Image URL","Brand","Price  ₹","Sales","Variation Sales Strength (1 - 10)","Recent Purchases","Revenue","Title Char. Count","BSR","Seller Country/Region","Fees  ₹","Active Sellers","Ratings","Review Count","Images","Review velocity","Buy Box","Category","Size Tier","Fulfillment","Dimensions","Weight","ABA Most Clicked","Creation Date","Sponsored","Best Seller","Seller Age (mo)","Seller"
1.,"Edifier MR4 Studio Monitor - Smooth Frequency, 1' Silk Dome Tweeter, 4' Diaphragm Woofer, Wooden, RCA TRS, AUX, Ideal for Content Creators - White","B09FXG9BLR","https://www.amazon.in/dp/B09FXG9BLR?psc=1","https://m.media-amazon.com/images/I/61j4TrjRlwL._SX679_.jpg","Edifier","12,990",226,0,100,"2,937,528.99",146,"5,921","N/A","2,535.42",6,4.6,"3,142",8,66,"Clicktech Retail Private Ltd","Electronics","Standard Size","FBA","42.90 x 18.76 x 31.20 cm",5.16,"N/A","Aug 22, 2025",,"No",6,"Clicktech Retail Private Ltd"
2.,"Edifier R1280DB Powered Bluetooth Bookshelf Speakers - Optical Input - Wireless Studio Monitors - 4 Inch Near Field Speaker - 42w RMS - Black","B06XGG6MFV","https://www.amazon.in/dp/B06XGG6MFV?psc=1","https://m.media-amazon.com/images/I/913SI3UTzTL._SY450_.jpg","Edifier","12,900",77,0,"N/A","995,690.6",141,"16,098","N/A","2,520.87",1,4.3,"1,261",8,0,"Edifier online store","Electronics","Standard Size","FBA","44.20 x 18.80 x 32.89 cm",5.83,"N/A","Jun 10, 2017",,"No",104,"Edifier online store"
3.,"Edifier R1280T 21W 2.0 Channel Auxiliary, RCA Bookshelf Speaker - Brown","B016P9HJIA","https://www.amazon.in/dp/B016P9HJIA?psc=1","https://m.media-amazon.com/images/I/71o5w0ZfptL._SY450_.jpg","Edifier","10,990",28,0,"N/A","301,923.81",71,"21,234","N/A","2,205.33",1,4.3,"18,132",7,35,"Edifier online store","Electronics","Standard Size","FBA","44.50 x 18.69 x 33.20 cm",5.73,"N/A","Oct 12, 2015",,"No",124,"Edifier online store"
4.,"Sonos Era 100 | Smart Speaker with WiFi, Bluetooth, Amazon Alexa - Black","B0CKL1TXHN","https://www.amazon.in/dp/B0CKL1TXHN?psc=1","https://m.media-amazon.com/images/I/71o7CiJtipL._SY741_.jpg","Sonos","19,549",60,0,"N/A","1,303,790.09",72,"13,096","N/A","3,505.61",1,4.4,67,8,5,"Clicktech Retail Private Ltd","Electronics","Standard Size","FBA","26.40 x 18.10 x 18.50 cm",2.71,"N/A","Oct 6, 2023",,"No",28,"Clicktech Retail Private Ltd"
5.,"Tech-Lobby 95W Dual Stereo Bookshelf Speakers with Built-in Tweeter | Premium 5-Inch Silicon Woofer | Wooden Cabinet Home Audio Speakers for Amplifier, TV & Music","B0FWCXBZPL","https://www.amazon.in/dp/B0FWCXBZPL?psc=1","https://m.media-amazon.com/images/I/51mVtJBJHsL._SX569_.jpg","Tech-Lobby","1,549",53,0,"N/A","81,574.91",162,"23,913","N/A",485.99,1,3.9,8,5,3,"TECH-UNIQUE","Electronics","Standard Size","FBA","12.00 x 9.00 x 9.00 cm",1.5,"N/A","Oct 15, 2025",,"No",4,"TECH-UNIQUE"
6.,"Edifier R33BT Bluetooth Bookshelf Speakers 2.0 10 Watts (Black)","B08HCBMSTP","https://www.amazon.in/dp/B08HCBMSTP?psc=1","https://m.media-amazon.com/images/I/61bhjKHyZxL._SX569_.jpg","Edifier","5,990",22,0,"N/A","133,194.29",63,"28,463","N/A","1,362.43",1,4.2,535,6,4,"Edifier online store","Electronics","Standard Size","FBA","40.80 x 17.40 x 29.80 cm",3.6,"N/A","Sep 1, 2025",,"No",5,"Edifier online store"
7.,"Edifier R1280DBs Powered Bluetooth 5.0 Wireless Desktop/Bookshelf Speakers - 42 Watts Black","B08869TSQ4","https://www.amazon.in/dp/B08869TSQ4?psc=1","https://m.media-amazon.com/images/I/71yir9yyAfL._SY450_.jpg","Edifier","16,450",39,0,"N/A","638,349.24",91,"31,717","N/A","3,104.82",5,4.6,"4,078",6,42,"Clicktech Retail Private Ltd","Electronics","Standard Size","FBA","44.20 x 18.90 x 32.89 cm",5.47,"N/A","Jan 15, 2022",,"No",49,"Clicktech Retail Private Ltd"
8.,"micca COVO-S 2-Way Passive Bookshelf Speakers, Amplifier Required, Not for Turntable, 3-Inch Woofer, 0.75-Inch Tweeter, Wall Mountable, Pair, Black","B00N8265I8","https://www.amazon.in/dp/B00N8265I8?psc=1","https://m.media-amazon.com/images/I/81dUx+nwMYL._SX522_.jpg","micca","5,979",11,0,"N/A","62,928.44",147,"36,204","N/A","1,255.58",2,4.1,"1,405",5,2,"Micca online Store","Electronics","Standard Size","FBA","33.40 x 16.21 x 17.50 cm",1.99,"N/A","Feb 15, 2015",,"No",132,"Micca online Store"
9.,"Edifier R1855DB Multimedia 2.0 Bookshelf Speaker with Bluetooth 5.0, Optical, Coaxial line in with Sub Out","B08GJCLKW3","https://www.amazon.in/dp/B08GJCLKW3?psc=1","https://m.media-amazon.com/images/I/81xI7ASeooL._SX425_.jpg","Edifier","21,790",17,0,"N/A","380,704.37",106,"36,263","N/A","N/A",2,4.6,660,7,11,"Clicktech Retail Private Ltd","Electronics","Standard Size","FBA","44.90 x 19.30 x 31.20 cm",7.37,"N/A","Nov 26, 2020",,"No",63,"Clicktech Retail Private Ltd"
10.,"Sonos Five | HiFi Speaker with WiFi, 3.5 mm Line in, Support for Hi-Res Audio Streaming - White","B0876H4X8X","https://www.amazon.in/dp/B0876H4X8X?psc=1","https://m.media-amazon.com/images/I/71XEvyY3sIL._SX569_.jpg","Sonos","43,999",17,0,"N/A","858,832.27",95,"21,868","N/A","N/A",1,4.5,"1,093",8,6,"Clicktech Retail Private Ltd","Electronics","Standard Size","FBA","50.00 x 26.60 x 31.00 cm",8.68,"N/A","May 12, 2020",,"No",69,"Clicktech Retail Private Ltd"
11.,"Edifier R1700BTs Powered Bluetooth 5.0 Wireless Bookshelf Speakers - 66 Watts (Brown)","B0886B1TWC","https://www.amazon.in/dp/B0886B1TWC?psc=1","https://m.media-amazon.com/images/I/81CfJWhWw3L._SY450_.jpg","Edifier","19,990",22,0,"N/A","442,672.25",85,"43,424","N/A","N/A",4,4.5,"2,225",7,20,"Clicktech Retail Private Ltd","Electronics","Standard Size","FBA","45.00 x 19.62 x 31.09 cm",7.26,"N/A","Sep 8, 2021",,"No",53,"Clicktech Retail Private Ltd"
12.,"Edifier R1700BT Bluetooth Wireless 2.0 Book Shelf Speakers - 66 Watts (White)","B0CDPPNKFF","https://www.amazon.in/dp/B0CDPPNKFF?psc=1","https://m.media-amazon.com/images/I/81AYxhxbzaL._SY450_.jpg","Edifier","15,990",0,0,"N/A",0,77,"47,678","N/A","3,291.51",1,4.5,116,7,0,"Edifier online store","Electronics","Standard Size","FBA","46.40 x 35.40 x 41.80 cm",17.04,"N/A","Dec 22, 2024",,"No",14,"Edifier online store"
13.,"micca RB42 200 Watt Bookshelf Wired Speaker (Dark Walnut)","B07JC416LG","https://www.amazon.in/dp/B07JC416LG?psc=1","https://m.media-amazon.com/images/I/81Wr6spBWAL._SX450_.jpg","micca","17,979",7,0,"N/A","128,374.06",57,"51,891","N/A","N/A",2,4.4,49,6,2,"Clicktech Retail Private Ltd","Electronics","Standard Size","FBA","51.56 x 19.86 x 31.24 cm",7.17,"N/A","Mar 22, 2019",,"No",83,"Clicktech Retail Private Ltd"
14.,"Micca MB42 Bookshelf Speakers with 4-Inch Carbon Fiber Woofer and Silk Dome Tweeter (Black, Pair)","B009IUIV4A","https://www.amazon.in/dp/B009IUIV4A?psc=1","https://m.media-amazon.com/images/I/71bQ9jQWd3L._SY450_.jpg","micca","9,479",14,0,"N/A","135,873.65",97,"52,014","N/A","1,955.34",1,4.5,"1,779",8,0,"Clicktech Retail Private Ltd","Electronics","Standard Size","FBA","43.00 x 19.81 x 29.49 cm",4.19,"N/A","Oct 17, 2013",,"No",148,"Clicktech Retail Private Ltd"
15.,"Edifier R1700BT Bluetooth Bookshelf Speakers (Black) - Active Near-Field Studio Monitors - Powered Speakers 2.0 Setup Wooden Enclosure - 66w RMS","B01N7QFBUU","https://www.amazon.in/dp/B01N7QFBUU?psc=1","https://m.media-amazon.com/images/I/71cSGprsJSL._SX679_.jpg","Edifier","15,990",16,0,"N/A","260,296.09",144,"52,062","N/A","3,074.53",1,4.5,"3,801",8,10,"Edifier online store","Electronics","Standard Size","FBA","44.70 x 20.10 x 33.70 cm",8.01,"N/A","Mar 29, 2017",,"No",107,"Edifier online store"
