"Display Order","Product Details","ASIN","URL","Image URL","Brand","Price  ₹","Sales","Variation Sales Strength (1 - 10)","Recent Purchases","Revenue","Title Char. Count","BSR","Seller Country/Region","Fees  ₹","Active Sellers","Ratings","Review Count","Images","Review velocity","Buy Box","Category","Size Tier","Fulfillment","Dimensions","Weight","ABA Most Clicked","Creation Date","Sponsored","Best Seller","Seller Age (mo)","Seller"
1.,"Boat Aavante Bar 610, 25W Signature Sound, 2.0 CH with Dual Passive Radiators, 7 HRS Battery, Sleek Design, Multi Connectivity, Bluetooth Sound Bar, Soundbar Speaker (Charcoal Black)","B0BZ4DJ7GZ","https://www.amazon.in/dp/B0BZ4DJ7GZ?psc=1","https://m.media-amazon.com/images/I/51SFh0i5HHL._SY450_.jpg","boAt","1,998","4,517",0,"N/A","32,338,910.22",182,349,"N/A",371.56,1,4.1,"35,925",7,131,"Clicktech Retail Private Ltd","Electronics","Standard Size","FBA","45.43 x 10.66 x 11.06 cm",0.91,"N/A","May 31, 2022",,"No",45,"Clicktech Retail Private Ltd"
2.,"Boat Aavante Bar 490 10W Signature Sound, Dual Full-Range Drivers, 7 HRS Battery, Built-in Mic, 2.0 CH, Free Music Streaming on JioSaavn, Bluetooth Sound Bar, Soundbar Speaker (Classic Black)","B0CH3G9VR2","https://www.amazon.in/dp/B0CH3G9VR2?psc=1","https://m.media-amazon.com/images/I/71-I9Bk8dgL._SY450_.jpg","boAt","1,099","3,344",0,"1,000","3,806,390.34",191,398,"N/A",362.09,1,3.9,"5,448",9,174,"Clicktech Retail Private Ltd","Electronics","Standard Size","FBA","40.98 x 10.31 x 10.50 cm",0.75,"N/A","Feb 9, 2025",,"No",12,"Clicktech Retail Private Ltd"
3.,"ZEBRONICS Astra 35, Portable Bluetooth Speaker, 16 Watts, Upto 8h Backup, Dual Drivers + Dual Passive Radiators, Call Function, Bluetooth v5.3 | USB | mSD| AUX, TWS, RGB LED","B0DJ3FFC8R","https://www.amazon.in/dp/B0DJ3FFC8R?psc=1","https://m.media-amazon.com/images/I/71Gn7eWoLUL._SY450_.jpg","ZEBRONICS",965,"3,493",0,"1,000","2,765,442.53",173,403,"N/A",282,1,3.9,"2,786",7,108,"Clicktech Retail Private Ltd","Electronics","Standard Size","FBA","38.74 x 9.10 x 11.20 cm",0.69,"N/A","Sep 27, 2024",,"No",17,"Clicktech Retail Private Ltd"
4.,"Boat 2025 Launch Aavante 2.0 150, 2.0 CH, 16W Signature Sound, RGB LEDs, Dual Full-Range Drivers, Upto 5H Battery, TWS, Multi Ports, Bluetooth Sound bar, Home Theatre Soundbar Speaker (Premium Black)","B0F5BC2161","https://www.amazon.in/dp/B0F5BC2161?psc=1","https://m.media-amazon.com/images/I/81t+HbL-ESL._SX466_.jpg","boAt","1,399","4,031",0,"1,000","25,623,194.87",199,472,"N/A","N/A",1,4,"7,776",7,86,"Clicktech Retail Private Ltd","Electronics","Standard Size","FBA","42.70 x 10.70 x 10.80 cm",0.85,"N/A","Apr 17, 2025",,"No",10,"Clicktech Retail Private Ltd"
5.,"ZEBRONICS 90 Watts, Compact Soundbar, Home Theatre, Dual Driver Soundbar, 11.43cm Subwoofer, HDMI ARC, Bluetooth v5.1, Wall Mountable, Glossy Finish (Juke BAR 200A)","B0F7XNF1QF","https://www.amazon.in/dp/B0F7XNF1QF?psc=1","https://m.media-amazon.com/images/I/71+Y1B4HaqL._SX466_.jpg","ZEBRONICS","3,299","1,952",0,"1,000","7,037,384.34",164,495,"N/A",956.34,2,4,"1,416",7,62,"Clicktech Retail Private Ltd","Electronics","Standard Size","FBA","54.90 x 18.80 x 31.70 cm",3.26,"N/A","May 8, 2025",,"No",9,"Clicktech Retail Private Ltd"
6.,"ZEBRONICS Juke bar 9550 pro 5.2 Soundbar (625 Watts), Dolby Audio, Dual Wireless Subwoofer & Wired Satellite, BT v5.3, HDMI ARC, Optical, Powerful Bass, RGB LED Lights, Wall Mountable, Silver","B0CJM2NST8","https://www.amazon.in/dp/B0CJM2NST8?psc=1","https://m.media-amazon.com/images/I/71r-bf42LqL._SX679_.jpg","ZEBRONICS","11,999","1,887",0,"N/A","19,912,111.97",191,709,"N/A","2,774.01",1,4,"13,380",9,70,"Clicktech Retail Private Ltd","Electronics","Standard Size","FBA","103.00 x 28.00 x 51.00 cm",15,"N/A","Jul 31, 2025",,"No",7,"Clicktech Retail Private Ltd"
7.,"Boat 2025 Launch Aavante 2.1 1600D / Orion Plus, Dolby Audio, 160W Signature Sound, 2.1CH Wired Subwoofer, Multiple Ports & EQ Modes, Bluetooth Sound bar, Home Theatre Soundbar Speaker (Premium Black)","B0FDFRGWLQ","https://www.amazon.in/dp/B0FDFRGWLQ?psc=1","https://m.media-amazon.com/images/I/813Ru0LsF9L._SY450_.jpg","boAt","5,999","2,677",0,500,"18,942,538.37",200,989,"N/A","1,684.61",1,4,"4,580",8,93,"Clicktech Retail Private Ltd","Electronics","Standard Size","FBA","89.67 x 23.78 x 45.67 cm",7.7,"N/A","Jun 17, 2025",,"No",8,"Clicktech Retail Private Ltd"
8.,"Sony HT-S20R Real 5.1ch Dolby Digital Soundbar for TV with subwoofer and Compact Rear Speakers, 5.1ch Home Theatre System (400W, Bluetooth & USB Connectivity, HDMI & Optical connectivity)","B084685MT1","https://www.amazon.in/dp/B084685MT1?psc=1","https://m.media-amazon.com/images/I/71h7fLNEQPL._SX679_.jpg","Sony","15,990","1,453",0,500,"24,501,655.45",187,"1,069","N/A","N/A",1,4.6,"21,160",13,125,"Clicktech Retail Private Ltd","Electronics","Standard Size","FBA","84.35 x 24.40 x 55.02 cm",12.32,"N/A","Jan 24, 2020",,"No",73,"Clicktech Retail Private Ltd"
9.,"ZEBRONICS VITA BAR 150 Wireless Bluetooth Soundbar, 20W RMS, 2.0 Channel, Dual (52mm Driver & Passive Radiator), Upto 8 Hours Playback, Built in Battery, BTv5.3 | USB | mSD | AUX | | TWS, RGB LED","B0DJP7ZFTW","https://www.amazon.in/dp/B0DJP7ZFTW?psc=1","https://m.media-amazon.com/images/I/71Tu1SzRh4L._SY450_.jpg","ZEBRONICS","1,220","1,390",0,500,"1,429,366.38",195,"1,355","N/A","N/A",1,3.7,"5,034",7,43,"Clicktech Retail Private Ltd","Electronics","Standard Size","FBA","44.29 x 9.40 x 9.70 cm",1.08,"N/A","Oct 8, 2024",,"No",16,"Clicktech Retail Private Ltd"
10.,"JBL Cinema SB271, Dolby Digital Soundbar with Wireless Subwoofer for Extra Deep Bass, 2.1 Channel Home Theatre with Remote, HDMI ARC, Bluetooth & Optical Connectivity (220W)","B0B6441RNK","https://www.amazon.in/dp/B0B6441RNK?psc=1","https://m.media-amazon.com/images/I/61tg0idP5cL._SX569_.jpg","JBL","9,999","1,409",0,"1,000","13,738,073.94",173,"1,376","N/A","2,266.61",1,4,"3,615",7,63,"Clicktech Retail Private Ltd","Electronics","Standard Size","FBA","99.20 x 24.00 x 40.60 cm",6,"N/A","Jul 8, 2022",,"No",43,"Clicktech Retail Private Ltd"
