"Display Order","Product Details","ASIN","URL","Image URL","Brand","Price  ₹","Sales","Variation Sales Strength (1 - 10)","Recent Purchases","Revenue","Title Char. Count","BSR","Seller Country/Region","Fees  ₹","Active Sellers","Ratings","Review Count","Images","Review velocity","Buy Box","Category","Size Tier","Fulfillment","Dimensions","Weight","ABA Most Clicked","Creation Date","Sponsored","Best Seller","Seller Age (mo)","Seller"
1.,"Audio Array AM-S1 BT v5.3 |Professional 4"" Studio Monitor Speaker Pair| 60W Class D Amplification, Woven Composite Woofer, 1"" Silk-Dome Tweeter, EQ Controls|Music/Monitor Mode, Aux, HDMI, USB C, TRS, RCA","B0DXFPM4N2","https://www.amazon.in/dp/B0DXFPM4N2?psc=1","https://m.media-amazon.com/images/I/715nvr3Sn6L._SY450_.jpg","Audio Array","8,549",223,0,100,"2,211,703.54",203,243,"N/A","1,477.82",2,4,189,9,20,"Cocoblu Retail","Musical Instruments","Standard Size","FBA","38.50 x 21.30 x 29.20 cm",4.19,"N/A","Feb 17, 2025",,"No",12,"Cocoblu Retail"
2.,"PreSonus Eris 3.5 2nd Gen HD Professional Studio Monitors with 3.5"" Woven Composite Woofer, 1"" Silk-Dome Tweeter, 50W Class AB Power and Tuning Controls (Auxillary) - Pair (Black)","B0CC3BJKGN","https://www.amazon.in/dp/B0CC3BJKGN?psc=1","https://m.media-amazon.com/images/I/81xvBmatFWL._SY355_.jpg","PreSonus","11,990",200,0,50,"3,120,770.53",179,387,"N/A","2,016.54",8,4.4,"24,158",8,107,"Cocoblu Retail","Musical Instruments","Standard Size","FBA","39.50 x 22.60 x 29.20 cm",4.26,"N/A","Sep 15, 2023",,"No",29,"Cocoblu Retail"
3.,"hayden E-3.5BT 3.5"" Near Field Studio Monitors with Bluetooth, 50W Class AB Power, 1"" Silk-Dome Tweeter, Woven Composite Woofer, and Tuning Controls - Pair","B0DNFSLDW9","https://www.amazon.in/dp/B0DNFSLDW9?psc=1","https://m.media-amazon.com/images/I/718LAwtlSHL._SX466_.jpg","hayden","5,999",148,0,50,"977,308.81",155,471,"N/A","1,231.2",2,4.3,148,8,10,"HAYDEN AUDIO","Musical Instruments","Standard Size","FBA","39.00 x 19.20 x 29.40 cm",4.02,"N/A","Aug 22, 2023",,"No",30,"HAYDEN AUDIO"
4.,"Pioneer DJ Dm-40D 4-Inch Desktop Active Monitor Speaker - Black","B0B23RTNBN","https://www.amazon.in/dp/B0B23RTNBN?psc=1","https://m.media-amazon.com/images/I/71Na0r+KKmL._SY355_.jpg","Pioneer DJ","17,660",15,0,"N/A","271,513.69",63,"1,013","N/A","2,725.41",3,4.5,172,4,2,"Cocoblu Retail","Musical Instruments","Standard Size","FBA","39.00 x 28.40 x 34.60 cm",6.22,"N/A","Aug 18, 2023",,"No",30,"Cocoblu Retail"
5.,"Yamaha HS4 Powered XLR Connection Studio Monitor in White, Pair (HS4 W)","B0CKTTQMQ8","https://www.amazon.in/dp/B0CKTTQMQ8?psc=1","https://m.media-amazon.com/images/I/81Lf-5K-C7L._SX466_.jpg","Yamaha","21,999",30,0,"N/A","670,184.37",71,"1,151","N/A","N/A",3,4.5,67,10,1,"SOUNDGLITZ","Musical Instruments","Standard Size","FBA","38.10 x 29.85 x 32.72 cm",8.44,"N/A","Nov 15, 2023",,"No",27,"SOUNDGLITZ"
6.,"Kali Audio LP-6 V2 6.5-inch Powered Studio Monitor with 1"" Soft-Wired Dome Tweeter, 3-D Imaging Waveguide, Low-Noise Port Tube, Boundary EQ, and LF/HF Trims - White (Single)","B09MLVK9NC","https://www.amazon.in/dp/B09MLVK9NC?psc=1","https://m.media-amazon.com/images/I/61BkxCtN5kL._SX466_.jpg","Kali Audio","22,495",97,0,"N/A","2,155,496.52",173,"1,211","N/A","3,528.86",3,4.5,61,3,0,"Cocoblu Retail","Musical Instruments","Standard Size","FBA","46.99 x 29.21 x 33.02 cm",7.96,"N/A","Nov 26, 2021",,"No",51,"Cocoblu Retail"
7.,"Yamaha HS5 Pair 2-way bass-reflex bi-amplified nearfield studio monitors with 5 inch woofers","B00II08GZK","https://www.amazon.in/dp/B00II08GZK?psc=1","https://m.media-amazon.com/images/I/41V2-xc2SKL._SX425_.jpg","Yamaha","33,999",18,0,"N/A","573,988.25",92,"1,262","N/A","5,220.3",2,4.5,198,6,2,"ProAudioBrands","Musical Instruments","Standard Size","FBA","52.07 x 30.99 x 45.09 cm",15.22,"N/A","Feb 16, 2016",,"No",120,"ProAudioBrands"
8.,"BenQ PV3200U 32” 4K UHD Monitor for Video Editing, 95% DCI-P3, 100% Rec.709/sRGB, 2.1ch Speakers, 65W USB-C, Mac Compatible, Factory-Calibrated, Software Calibration, Ergonomic Stand","B0F9XXQC51","https://www.amazon.in/dp/B0F9XXQC51?psc=1","https://m.media-amazon.com/images/I/71x+FvsXgQL._SX466_.jpg","BenQ","59,989",15,0,"N/A","922,751.69",182,"2,178","N/A","12,669.81",2,4.6,6,14,0,"Clicktech Retail Private Ltd","Musical Instruments","Standard Size","FBA","79.50 x 19.00 x 67.00 cm",12.2,"N/A","Jun 10, 2025",,"No",8,"Clicktech Retail Private Ltd"
9.,"Mackie CR4.5 4.5"" Creative Reference Powered Studio Monitors With Tone Knob and Location Switch — Active Speakers for Music Production, Desktop Computer, Gaming, HiFi Listening","B0DFZW2S9G","https://www.amazon.in/dp/B0DFZW2S9G?psc=1","https://m.media-amazon.com/images/I/61j07yL5ouL._SY450_.jpg","Mackie","13,499",13,0,"N/A","177,416.61",176,"2,324","N/A","2,163.25",6,4.4,44,6,8,"Bajaao","Musical Instruments","Standard Size","FBA","41.91 x 25.40 x 27.94 cm",5.9,"N/A","Nov 8, 2024",,"No",15,"Bajaao"
10.,"Yamaha HS5 MP Powered Studio Monitors 50th Anniversary Special Edition Matched Pair, Black, RCA","B08BMLKF5N","https://www.amazon.in/dp/B08BMLKF5N?psc=1","https://m.media-amazon.com/images/I/A1zczt4fuwL._SY450_.jpg","Yamaha","31,999",27,0,"N/A","856,302.62",95,"2,395","N/A","N/A",1,4.6,38,4,0,,"Musical Instruments","Standard Size","MFN","55.30 x 33.00 x 45.20 cm",15.92,"N/A","Mar 27, 2024",,"No",23,
