"Display Order","Product Details","ASIN","URL","Image URL","Brand","Price  ₹","Sales","Variation Sales Strength (1 - 10)","Recent Purchases","Revenue","Title Char. Count","BSR","Seller Country/Region","Fees  ₹","Active Sellers","Ratings","Review Count","Images","Review velocity","Buy Box","Category","Size Tier","Fulfillment","Dimensions","Weight","ABA Most Clicked","Creation Date","Sponsored","Best Seller","Seller Age (mo)","Seller"
1.,"DR.RASHEL Bamboo Charcoal Nose Pore Strips | Activated Charcoal & Tea Tree Oil | Painless Blackhead Removal, Oil Control & Deep Dirt Cleansing | 20 PCS","B0CVL4ZK4Y","https://www.amazon.in/dp/B0CVL4ZK4Y?psc=1","https://m.media-amazon.com/images/I/71YOEyUaH3L._SX425_PIbundle-20,TopRight,0,0_AA425SH20_.jpg","DR.RASHEL",185,"N/A",0,"4,000","N/A",151,415,"N/A","N/A",3,3.9,"1,814","N/A","N/A","RK World Infocom Pvt Ltd","Beauty","N/A","FBA","N/A","N/A","N/A","N/A",,"No","N/A","RK World Infocom Pvt Ltd"
2.,"Sanfe Deep Purifying Nose Strips for Women & Men - With Fuji Green Tea & Witch Hazel extracts | Removes Whiteheads | Blackheads and cleanses pores (Pack of 6) | Instant Result","B09878ZR9L","https://www.amazon.in/dp/B09878ZR9L?psc=1","https://m.media-amazon.com/images/I/51XWOKweSDL._SX569_.jpg","Sanfe",156,"N/A",0,"2,000","N/A",175,"1,166","N/A","N/A",6,3.7,"4,500","N/A","N/A","RK World Infocom Pvt Ltd","Beauty","N/A","FBA","N/A","N/A","N/A","N/A",,"No","N/A","RK World Infocom Pvt Ltd"
3.,"4-in-1 Blackhead Remover Vacuum – Electric Pore Cleaner with Adjustable Suction & Interchangeable Heads - Facial Device for Men & Women (Blue) (POWER CELL (AA) BATTERY INCLUDED)","B0F9FPML9W","https://www.amazon.in/dp/B0F9FPML9W?psc=1","https://m.media-amazon.com/images/I/51ao1R2B7pL._SX679_.jpg","Eloxee",259,"N/A",0,"2,000","N/A",177,"1,263","N/A","N/A",3,4.2,372,"N/A","N/A","ENISLEY","Beauty","N/A","FBA","N/A","N/A","N/A","N/A",,"No","N/A","ENISLEY"
4.,"Sirona Blackhead Remover Bamboo Charcoal Nose Strips for Women (Pack of 4) | Painless & Instant Removal of Whiteheads, Blackheads, Pore Cleanser, Dirt & Oil","B0BXWYTS4T","https://www.amazon.in/dp/B0BXWYTS4T?psc=1","https://m.media-amazon.com/images/I/61thdScU-FL._SX569_.jpg","Sirona",86,"N/A",0,"1,000","N/A",156,"1,333","N/A","N/A",2,3.6,"2,232","N/A","N/A","RK World Infocom Pvt Ltd","Beauty","N/A","FBA","N/A","N/A","N/A","N/A",,"No","N/A","RK World Infocom Pvt Ltd"
5.,"BAKE 2% Salicylic Acid Nose Strips for Blackheads Removal, Whiteheads & Pore Cleansing | Hydrocolloid Nose Patches for Clogged Pores, Deep Cleansing, Controlled Sebum Production (3 Strips)","B0DMPFCG43","https://www.amazon.in/dp/B0DMPFCG43?psc=1","https://m.media-amazon.com/images/I/61NJvwm09NL._SX425_PIbundle-3,TopRight,0,0_AA425SH20_.jpg","BAKE",284,"N/A",0,"1,000","N/A",188,"1,428","N/A","N/A",2,4,555,"N/A","N/A","RK World Infocom Pvt Ltd","Beauty","N/A","FBA","N/A","N/A","N/A","N/A",,"No","N/A","RK World Infocom Pvt Ltd"
6.,"4 In 1 Multi-Function Blackhead Whitehead Extractor Remover Device Facial Cleansing Tool, Skin Cleaner, Pimple Removal Tool, Acne Pimple Pore Cleaner Vacuum Suction Tool For Men & Women (MULTI)","B0GLP1GBD9","https://www.amazon.in/dp/B0GLP1GBD9?psc=1","https://m.media-amazon.com/images/I/51-2e3bbLuL._SX466_.jpg","BELOXY",329,"N/A",0,"N/A","N/A",193,"1,594","N/A","N/A",1,4.5,105,"N/A","N/A","JAY  BHAVANI  ENTERPRISE","Beauty","N/A","FBA","N/A","N/A","N/A","N/A",,"No","N/A","JAY  BHAVANI  ENTERPRISE"
7.,"DR.RASHEL Vitamin C Nose Strips | With Witch Hazel & Charcoal | Blackhead Removal | Oil Control | Deep Pore Cleansing | 10 Strips + 10 Wipes","B0CTFLQ37M","https://www.amazon.in/dp/B0CTFLQ37M?psc=1","https://m.media-amazon.com/images/I/819frZwP2gL._SX522_.jpg","DR.RASHEL",168,"N/A",0,"1,000","N/A",140,"1,681","N/A","N/A",2,4.1,"1,553","N/A","N/A","PP Consumer Private Limited","Beauty","N/A","FBA","N/A","N/A","N/A","N/A",,"No","N/A","PP Consumer Private Limited"
8.,"4 In 1 Multi-Function Blackhead Whitehead Remover Extractor Device, Skin Cleaner, Pimple Removal Tool, Acne Pimple Pore Cleaner Vacuum Suction Tool For Men And Women (White)","B0GHZSN5VR","https://www.amazon.in/dp/B0GHZSN5VR?psc=1","https://m.media-amazon.com/images/I/41kUilb3FYL._SY355_.jpg","KUMarte",299,"N/A",0,900,"N/A",173,"3,000","N/A","N/A",1,4.5,"1,027","N/A","N/A","GLOBLE_Mart","Beauty","N/A","FBA","N/A","N/A","N/A","N/A",,"No","N/A","GLOBLE_Mart"
9.,"FURR By Pee Safe Blackhead Remover Bamboo Charcoal Nose Strips (9 Pcs) | With Aloe Vera & Tea Tree Oil | Reduces & Prevents Blackheads, Whiteheads, Dirt and Oil | Cleanses Pores","B09MTB6PCB","https://www.amazon.in/dp/B09MTB6PCB?psc=1","https://m.media-amazon.com/images/I/61Cg9i49R3L._SX522_PIbundle-9,TopRight,0,0_AA522SH20_.jpg","FURR",199,"N/A",0,400,"N/A",177,"3,120","N/A","N/A",1,3.9,"1,178","N/A","N/A","Redcliffe Hygiene Private Limited","Beauty","N/A","FBA","N/A","N/A","N/A","N/A",,"No","N/A","Redcliffe Hygiene Private Limited"
10.,"MACPLUS 4Pcs Blackhead Pimple Golden Remover Tools for Professional Tweezers Kit for Remove Acne Comedone Extractor, Black Heads Removing on Face Removal","B09H2JJ1MV","https://www.amazon.in/dp/B09H2JJ1MV?psc=1","https://m.media-amazon.com/images/I/61CiD79xrrL._SX425_PIbundle-4,TopRight,0,0_AA425SH20_.jpg","MACPLUS",164,"N/A",0,700,"N/A",153,"3,554","N/A","N/A",1,4.1,"1,546","N/A","N/A","ThaBeautystore","Beauty","N/A","FBA","N/A","N/A","N/A","N/A",,"No","N/A","ThaBeautystore"
