"Display Order","Product Details","ASIN","URL","Image URL","Brand","Price  ₹","Sales","Variation Sales Strength (1 - 10)","Recent Purchases","Revenue","Title Char. Count","BSR","Seller Country/Region","Fees  ₹","Active Sellers","Ratings","Review Count","Images","Review velocity","Buy Box","Category","Size Tier","Fulfillment","Dimensions","Weight","ABA Most Clicked","Creation Date","Sponsored","Best Seller","Seller Age (mo)","Seller"
1.,"AGARO Supreme High Pressure Washer, Car Washer, 1800 Watts Motor, 120 Bars, 6.5L/Min Flow Rate, 8 Meters Outlet Hose, Portable, Car, Bike & Home Cleaning, Black and Orange","B09VKWGZD7","https://www.amazon.in/dp/B09VKWGZD7?psc=1","https://m.media-amazon.com/images/I/71VQc4-JnqL._SX569_.jpg","AGARO","4,399","N/A",0,"2,000","N/A",171,48,"N/A","N/A",1,4,"8,505","N/A","N/A","ETrade Online","Garden & Outdoors","N/A","FBA","N/A","N/A","N/A","N/A",,"No","N/A","ETrade Online"
2.,"DYLECT Ultra Clean Plus High Pressure Car Washer Pump, 1800 Watts Motor, 130 Bars Pressure, 6.5L/Min Flow Rate, 5m Outlet Hose, Portable, for Bike and Home Cleaning, Includes 11 Accessories","B0CMXRP1YS","https://www.amazon.in/dp/B0CMXRP1YS?psc=1","https://m.media-amazon.com/images/I/717RJmIesWL._SX569_.jpg","Dylect","4,399","N/A",0,"1,000","N/A",189,113,"N/A","N/A",1,4.2,"3,695","N/A","N/A","ETrade Online","Garden & Outdoors","N/A","FBA","N/A","N/A","N/A","N/A",,"No","N/A","ETrade Online"
3.,"Asian Paints TruCare High Pressure Washer 1500W, 110 Bar | 6.5 Litre/min Flow Rate | 8 Meters Outlet Hose provided | Portable, Used for Home Bike and Car Cleaning","B0D8BZK45B","https://www.amazon.in/dp/B0D8BZK45B?psc=1","https://m.media-amazon.com/images/I/718BbyumNNL._SY450_.jpg","Asian Paints","3,799","N/A",0,800,"N/A",162,111,"N/A","N/A",1,3.9,"2,603","N/A","N/A","ETrade Online","Garden & Outdoors","N/A","FBA","N/A","N/A","N/A","N/A",,"No","N/A","ETrade Online"
4.,"Shakti Technology S5 High Pressure Car Washer Machine 1900 Watts, Pressure 125 Bar, 8L/Min Flow Rate and 10 Meter Hose Pipe with Professional 1L Foam Cannon Snow Lance","B0B2CWRDB1","https://www.amazon.in/dp/B0B2CWRDB1?psc=1","https://m.media-amazon.com/images/I/71tuewWK6QL._SX569_.jpg","Shakti Technology","6,099","N/A",0,"1,000","N/A",167,851,"N/A","N/A",1,4.3,"12,386","N/A","N/A","ETrade Online","Home & Kitchen","N/A","FBA","N/A","N/A","N/A","N/A",,"No","N/A","ETrade Online"
5.,"(Double Battery) Cordless Portable Wireless Pressure Washer Gun 48V 12000mAh High Pressure Water Gun for Car Wash and Bikes Cleaning with Adjustable Nozzles and 5M Hose Pipe (Car Washer Gun)","B0GHN96K15","https://www.amazon.in/dp/B0GHN96K15?psc=1","https://m.media-amazon.com/images/I/61F8u7xKQ4L._SX466_.jpg","DADLM","1,698","N/A",0,100,"N/A",190,907,"N/A","N/A",1,4.9,56,"N/A","N/A","DADLM®","Home & Kitchen","N/A","FBA","N/A","N/A","N/A","N/A",,"No","N/A","DADLM®"
6.,"Car Washer High Pressure Gun TEKCOOL Cordless Portable Wireless Pressure Washer Gun 48V 12000mah High Pressure Water Gun for Car Wash Bike Washing Cleaning| Adjustable Nozzle and 5M Hose Pipe++","B0G93MMV5M","https://www.amazon.in/dp/B0G93MMV5M?psc=1","https://m.media-amazon.com/images/I/61F8u7xKQ4L._SX466_.jpg","TEKCOOL","1,689","N/A",0,"3,000","N/A",193,961,"N/A","N/A",1,4.4,922,"N/A","N/A","ETrade Online","Home & Kitchen","N/A","FBA","N/A","N/A","N/A","N/A",,"No","N/A","ETrade Online"
7.,"IBELL YO1800 High Pressure Washer, 1800W Induction Motor, 120 Bar Car Washer High Pressure Gun, 6.5 L/Min Flow, 8M Hose, Portable Pressure Washer for Car, Bike, Home & Outdoor Cleaning","B0DJT7FX8H","https://www.amazon.in/dp/B0DJT7FX8H?psc=1","https://m.media-amazon.com/images/I/81BMAlJ6YgL._SX466_.jpg","IBELL","3,988","N/A",0,600,"N/A",184,"1,669","N/A","N/A",1,4,835,"N/A","N/A","Matrix Store India","Home & Kitchen","N/A","FBA","N/A","N/A","N/A","N/A",,"No","N/A","Matrix Store India"
8.,"YAMATIC (Double Battery) Wireless High Pressure Car Washer & Car Cleaning 48V Rechargeable Electric Pressure Washer Gun Machine Tool for Top Flexible Pressure Washer Hose (Double Battery Gun)","B0FBG68NMP","https://www.amazon.in/dp/B0FBG68NMP?psc=1","https://m.media-amazon.com/images/I/61NTZjyzzBL._SX569_.jpg","YAMATIC","1,479","N/A",0,"1,000","N/A",191,"2,997","N/A","N/A",2,3.1,"1,920","N/A","N/A","DHRUVI DESIGNER HUB","Home & Kitchen","N/A","FBA","N/A","N/A","N/A","N/A",,"No","N/A","DHRUVI DESIGNER HUB"
9.,"BOSCH Universal Aquatak 125 High Pressure Washer | 1500 W Motor | Max Pressure 125 Bar | 3-in-1 Nozzle with Pencil Jet | BOSCH Gun, 0.5m Self-Priming | Versatile & Portable | 6.4 Kg","B07BLCWPNR","https://www.amazon.in/dp/B07BLCWPNR?psc=1","https://m.media-amazon.com/images/I/717wYrO+b0L._SY741_.jpg","Bosch","10,599","N/A",0,500,"N/A",181,"3,166","N/A","N/A",3,4.1,"9,005","N/A","N/A","ETrade Online","Home & Kitchen","N/A","FBA","N/A","N/A","N/A","N/A",,"No","N/A","ETrade Online"
10.,"Double Battery Cordless Portable Wireless Pressure Washer Gun 48V 12000mah High Pressure Gun for Car Bike Washing Cleaning|5M Hose Pipe with CAR WASH Shampoo(Best Heavy Quality)","B0GMX1YL3T","https://www.amazon.in/dp/B0GMX1YL3T?psc=1","https://m.media-amazon.com/images/I/71jaYjufd1L._SY355_.jpg","Generic","1,399","N/A",0,"N/A","N/A",177,"3,353","N/A","N/A",1,5,1,"N/A","N/A","GANPATIENTERPRISE","Home & Kitchen","N/A","FBA","N/A","N/A","N/A","N/A",,"No","N/A","GANPATIENTERPRISE"
