"Display Order","Product Details","ASIN","URL","Image URL","Brand","Price  ₹","Sales","Variation Sales Strength (1 - 10)","Recent Purchases","Revenue","Title Char. Count","BSR","Seller Country/Region","Fees  ₹","Active Sellers","Ratings","Review Count","Images","Review velocity","Buy Box","Category","Size Tier","Fulfillment","Dimensions","Weight","ABA Most Clicked","Creation Date","Sponsored","Best Seller","Seller Age (mo)","Seller"
1.,"Humidifier With Colorful Light For Room, Bedroom, Office, Car (Grey), 300 ML","B0CCRLDTDL","https://www.amazon.in/dp/B0CCRLDTDL?psc=1","https://m.media-amazon.com/images/I/41Zx+vUba-L._SX425_.jpg","SELLER ZONE",289,"N/A",0,"1,000","N/A",76,605,"N/A","N/A",2,3.9,"2,390","N/A","N/A","SELLER ZONE-","Home & Kitchen","N/A","FBA","N/A","N/A","N/A","N/A",,"No","N/A","SELLER ZONE-"
2.,"Cool Mist Ultrasonic Humidifier, 2.0L Humidifiers for Bedroom and Baby Nursery, Small Quiet Air Humidifier, Ultrasonic, Auto Shut-Off, 360° Nozzle","B0F31ZQD1H","https://www.amazon.in/dp/B0F31ZQD1H?psc=1","https://m.media-amazon.com/images/I/510XkRdNGwL._SY355_.jpg","Rosekm","2,395","N/A",0,"1,000","N/A",146,955,"N/A","N/A",1,4,"9,872","N/A","N/A","XKT store","Home & Kitchen","N/A","FBA","N/A","N/A","N/A","N/A",,"No","N/A","XKT store"
3.,"Portronics Magma Lite Type-C Powered Humidifier with RGB Light, 260ml Water Tank, 35ml/h Mist Output, Continuous & Intermittent Modes, One-Button Control, for Home, Car & Bedside (Water Use Only)","B0GK6WSD1N","https://www.amazon.in/dp/B0GK6WSD1N?psc=1","https://m.media-amazon.com/images/I/51NnU6ZcbAL._SY450_.jpg","Portronics",399,"N/A",0,"N/A","N/A",195,"2,190","N/A","N/A",1,"N/A",0,"N/A","N/A","Portronics Digital Pvt Ltd","Home & Kitchen","N/A","FBA","N/A","N/A","N/A","N/A",,"No","N/A","Portronics Digital Pvt Ltd"
4.,"Panda Cool Mist Humidifier & Essential Oil Aroma Diffuser – Ultrasonic Quiet Air Humidifier for Room, Office, Car & Baby | Portable Moisture & Relaxing Night Light for Home","B0GP136ZNY","https://www.amazon.in/dp/B0GP136ZNY?psc=1","https://m.media-amazon.com/images/I/61cidlGYHqL._SX425_.jpg","Vintoney",294,"N/A",0,"N/A","N/A",172,"2,783","N/A","N/A",1,3.8,"8,551","N/A","N/A","Fenimo","Home & Kitchen","N/A","FBA","N/A","N/A","N/A","N/A",,"No","N/A","Fenimo"
5.,"Hygiene 3-in-1 Portable Room Air Purifier, Aroma Diffuser & Cool Mist Humidifier | 750 ml Large Water Tank | Electric Revitalizer for Home, Office, Bedroom & Spa (Green)","B07Z1P29XC","https://www.amazon.in/dp/B07Z1P29XC?psc=1","https://m.media-amazon.com/images/I/51azzytuZTL._SY355_.jpg","Ssanvi","1,045","N/A",0,300,"N/A",169,"3,444","N/A","N/A",2,3.8,617,"N/A","N/A","RetailEZ Pvt Ltd","Home & Kitchen","N/A","FBA","N/A","N/A","N/A","N/A",,"No","N/A","RetailEZ Pvt Ltd"
6.,"raydrop Humidifiers for Home, 2.5L Cool Mist Ultrasonic Humidifiers for Large Room & Bedroom, Top Fill Air Humidifier for Baby Nursery & Plants, Color Lights, Auto Shut-Off","B0DJJPBTM9","https://www.amazon.in/dp/B0DJJPBTM9?psc=1","https://m.media-amazon.com/images/I/41rGMZnjaUL._SY450_.jpg","raydrop","2,231","N/A",0,400,"N/A",172,"3,781","N/A","N/A",1,4,"1,669","N/A","N/A","XKT store","Home & Kitchen","N/A","FBA","N/A","N/A","N/A","N/A",,"No","N/A","XKT store"
7.,"COSTAR Humidifier for Room Moisture with 6 Litres Water Tank, Top-Refill Cool Mist Ultrasonic Humidifier for Home Bedroom Whisper-Quiet, Auto-Shut off, Effective Cold & Cough Relief","B0CR36G3G5","https://www.amazon.in/dp/B0CR36G3G5?psc=1","https://m.media-amazon.com/images/I/41S5a2Jhs3L._SY550_.jpg","COSTAR","2,899","N/A",0,200,"N/A",181,"3,782","N/A","N/A",1,4,537,"N/A","N/A","RetailEZ Pvt Ltd","Home & Kitchen","N/A","FBA","N/A","N/A","N/A","N/A",,"No","N/A","RetailEZ Pvt Ltd"
8.,"Bear® 5L Humidifier for Room Moisture Essential Oil Allow 28dB Silent for Plants Household Top Filling Ultrasonic Cool Mist Desktop Humidifier with 360° Steam Nozzle & Stepless Mist Adjust","B0D59XLNM5","https://www.amazon.in/dp/B0D59XLNM5?psc=1","https://m.media-amazon.com/images/I/61TPvUavIPL._SX569_.jpg","Bear","3,299","N/A",0,500,"N/A",188,"5,100","N/A","N/A",1,3.9,"6,673","N/A","N/A","Bear indian Store","Home & Kitchen","N/A","FBA","N/A","N/A","N/A","N/A",,"No","N/A","Bear indian Store"
9.,"KENT Dew Humidifier with Ultrasonic Mist 4L | Eliminates Dryness Caused by AC's & Room Heater | UV LED Light Kills Bacteria & Viruses | Keeps Room Cool in Summer | No Water Droplets | 25W | White","B0GLPLHNMC","https://www.amazon.in/dp/B0GLPLHNMC?psc=1","https://m.media-amazon.com/images/I/41TowntuJxL._SY450_.jpg","KENT","2,549","N/A",0,"N/A","N/A",195,"6,668","N/A","N/A",1,"N/A",0,"N/A","N/A","KENT RO SYSTEMS LTD","Home & Kitchen","N/A","FBA","N/A","N/A","N/A","N/A",,"No","N/A","KENT RO SYSTEMS LTD"
10.,"Homvana Humidifire for Room Moisture, Aroma Diffuser for Home, Mist Maker, Cool Mist Humidifier, Small Quiet Air Humidifier, Ultrasonic Essential Oil Diffuser Electric","B0GK4F5PHX","https://www.amazon.in/dp/B0GK4F5PHX?psc=1","https://m.media-amazon.com/images/I/6151WH+2tpS._SY355_.jpg","Homvana","N/A","N/A",0,"N/A","N/A",167,"6,854","N/A","N/A",1,4.3,733,"N/A","N/A",,"Home & Kitchen","N/A","N/A","N/A","N/A","N/A","N/A",,"No","N/A",
11.,"Aroma Diffuser Humidifier with LED Light, Wood Grain Finish, Mist Output, Touch Power Button","B0GDQ7693L","https://www.amazon.in/dp/B0GDQ7693L?psc=1","https://m.media-amazon.com/images/I/71SVMWJzH2L._SY450_.jpg","Lakshiv Enterprise",455.05,"N/A",0,200,"N/A",92,"8,163","N/A","N/A",2,4.2,15,"N/A","N/A","Lakshiv Enterprise","Home & Kitchen","N/A","FBA","N/A","N/A","N/A","N/A",,"No","N/A","Lakshiv Enterprise"
